uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,btc_aligned,conf,conf_count,mae,mfe,quality,is_ny,pyramid_adds,sector,label
bd26e3ac-f429-498e-80ce-bde8d63f98a9,NMRUSDT,LONG,2026-02-02T00:44:59.999000+00:00,2026-02-02T01:39:59.999000+00:00,8.855771,8.941211,2296.396144,3,0.174186,186.9658,0.5008,18.391,11,expansion_decay,0,10177.81,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3546,0.7936,0.5,False,0,OTHER,baseline
261e4557-ff5f-46e0-86af-bc635446fa31,NMRUSDT,LONG,2026-02-02T06:44:59.999000+00:00,2026-02-02T07:34:59.999000+00:00,8.963792,9.107178,1468.162968,2,0.277294,204.4969,0.5237,11.939,10,expansion_decay,0,10376.39,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2625,0.9348,0.5,False,0,OTHER,baseline
9aa913d9-1bc0-4d75-b384-1abb17dc7f60,NMRUSDT,LONG,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:44:59.999000+00:00,9.35287,9.526201,4595.637965,5,0.135473,776.8647,1.2935,39.0426,25,vol_trail,0,11133.91,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1393,2.3557,0.5,True,0,OTHER,baseline
744cf91c-bde8-4ae5-957a-0a828ce6595f,NMRUSDT,LONG,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.790958,9.613514,1903.009217,2,0.175521,-345.9096,-1.0,16.6171,15,stop_loss,0,10779.62,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2019,0.1085,0.5,True,0,OTHER,baseline
da14e2b3-1447-408b-b982-d27967a385c0,NMRUSDT,LONG,2026-02-02T21:59:59.999000+00:00,2026-02-02T22:24:59.999000+00:00,9.816963,9.670036,4460.764496,5,0.144992,-674.817,-1.0,39.1171,5,stop_loss,0,10085.09,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1033,0.1451,0.5,True,0,OTHER,baseline
5ae5b1a0-72c5-46ea-b654-776aeebf3e0d,UNIUSDT,LONG,2026-02-13T01:49:59.999000+00:00,2026-02-13T05:44:59.999000+00:00,3.278656,3.29934,11439.562666,4,0.035264,219.6361,0.6053,33.8622,47,expansion_decay,0,10287.85,1,"{'breakout': True, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",5,-0.9827,0.8889,0.5,False,0,DEFI,baseline
e417a2cb-ea74-4889-9005-b9246210f17a,UNIUSDT,LONG,2026-02-13T06:54:59.999000+00:00,2026-02-13T07:34:59.999000+00:00,3.288658,3.317336,5939.777551,2,0.034169,161.4788,0.8587,17.7784,8,expansion_decay,0,10440.42,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1363,1.2977,0.5,False,0,DEFI,baseline
2bb9729a-737e-40e4-80e9-0b4f972b90e1,BNBUSDT,LONG,2026-02-13T10:19:59.999000+00:00,2026-02-13T11:34:59.999000+00:00,601.980372,598.283051,115.007666,7,3.57764,-456.1834,-1.0,62.5843,15,stop_loss,0,9952.62,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.0586,0.5,False,0,OTHER,baseline
7d2a3b87-588a-48c9-afbc-d6fd981045a5,UNIUSDT,LONG,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:44:59.999000+00:00,3.343669,3.360328,18273.058735,7,0.03268,276.783,0.5303,55.1261,8,expansion_decay,0,10201.9,1,"{'breakout': True, 'imb': True, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",6,-0.3571,1.3565,0.5,True,0,DEFI,baseline
59b4719e-3650-4b8f-b201-090d60554dbb,BNBUSDT,LONG,2026-02-13T14:29:59.999000+00:00,2026-02-13T15:04:59.999000+00:00,598.739724,602.289518,64.649725,4,4.703806,211.9712,0.7803,35.0529,7,expansion_decay,0,10396.34,0,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.5378,1.3649,0.5,True,0,OTHER,baseline
76156a05-3e2b-4852-90c9-7d67522c59cb,UNIUSDT,LONG,2026-02-13T16:09:59.999000+00:00,2026-02-13T22:19:59.999000+00:00,3.472694,3.399436,8522.84081,3,0.072578,-637.4036,-1.0,26.4687,74,stop_loss,0,9745.51,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.0429,0.2798,0.5,True,0,DEFI,baseline
f25064c3-28a7-411c-9c7d-a83dce33cb5c,ZECUSDT,LONG,2026-02-14T00:34:59.999000+00:00,2026-02-14T00:44:59.999000+00:00,270.664122,272.587539,59.151766,2,3.295087,388.5275,0.6003,10.8325,2,vol_trail,1,9791.56,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1105,3.4402,0.5,False,0,OTHER,baseline
1ab38b53-77de-4633-9312-a364e92b12e0,ZECUSDT,LONG,2026-02-14T05:14:59.999000+00:00,2026-02-14T07:54:59.999000+00:00,283.836756,286.622664,32.76412,1,5.679349,87.0519,0.5006,8.6301,32,expansion_decay,0,9874.21,0,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-0.9925,0.888,0.5,False,0,OTHER,baseline
6b60e40e-5c4e-4b10-a794-d086041ec737,ZECUSDT,LONG,2026-02-14T12:34:59.999000+00:00,2026-02-14T14:49:59.999000+00:00,286.0572,280.518353,72.038621,3,5.482732,-408.1046,-1.0,18.3669,27,stop_loss,0,9456.83,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0154,0.3252,0.5,False,0,OTHER,baseline
c9412523-bdc5-4db2-96ba-616c9f1587e1,ZECUSDT,LONG,2026-02-14T18:14:59.999000+00:00,2026-02-14T19:34:59.999000+00:00,288.917772,299.137296,56.924914,2,4.983846,763.5663,2.0625,11.2324,16,vol_trail,1,9736.47,0,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-0.1019,3.3593,0.5,True,0,OTHER,baseline
51a7d93a-d1b0-424f-a0e5-b4e5b5093686,ZECUSDT,LONG,2026-02-16T00:09:59.999000+00:00,2026-02-16T01:04:59.999000+00:00,301.970382,296.766922,75.709914,3,5.144095,-404.0642,-1.0,20.3987,11,stop_loss,0,9301.54,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.2831,1.3665,0.5,False,0,OTHER,baseline
87de8965-1eac-4d72-b5fb-0e99549f3fe6,TAOUSDT,LONG,2026-02-16T00:29:59.999000+00:00,2026-02-16T01:29:59.999000+00:00,185.267046,186.642664,246.887041,5,1.575812,318.8864,0.8967,41.3189,12,expansion_decay,0,9620.43,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2456,1.582,0.5,False,0,AI,baseline
257c6336-f7c0-43ba-a8ee-c7a9f5fcd332,TAOUSDT,LONG,2026-02-16T05:04:59.999000+00:00,2026-02-16T07:44:59.999000+00:00,200.019996,189.682198,37.361405,1,10.299854,-389.4237,-1.0,6.5519,32,stop_loss,0,9227.64,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-1.4437,0.4631,0.5,False,0,AI,baseline
