uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,btc_aligned,conf,conf_count,mae,mfe,quality,is_ny,pyramid_adds,sector,label,aggression_score,aggression_vars
bd26e3ac-f429-498e-80ce-bde8d63f98a9,NMRUSDT,LONG,2026-02-02T00:44:59.999000+00:00,2026-02-02T01:39:59.999000+00:00,8.855771,8.941211,2296.396144,3,0.174186,186.9658,0.5008,18.391,11,expansion_decay,0,10177.81,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3546,0.7936,0.5,False,0,OTHER,baseline,0.6251,"{'taker_imb_z': -1.1505896759986889, 'delta_persistence': 8.0, 'range_expansion_pctile': 36.666666666666664, 'volume_concentration': 67.26747860639418, 'clv': 0.8913043478260685, 'wick_rejection': 0.0, 'velocity': 1.2232765519606643, 'cascade_intensity': 1.013781215177511, 'oi_acceleration': -1.223549498764673, 'spread_expansion': 0.10869565217393151}"
261e4557-ff5f-46e0-86af-bc635446fa31,NMRUSDT,LONG,2026-02-02T06:44:59.999000+00:00,2026-02-02T07:34:59.999000+00:00,8.963792,9.107178,1468.162968,2,0.277294,204.4969,0.5237,11.939,10,expansion_decay,0,10376.39,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2625,0.9348,0.5,False,0,OTHER,baseline,0.6988,"{'taker_imb_z': 0.26807254876927206, 'delta_persistence': 1.0, 'range_expansion_pctile': 100.0, 'volume_concentration': 59.22578087318402, 'clv': 0.6952380952380944, 'wick_rejection': 0.0095238095238099, 'velocity': 0.15645954403217865, 'cascade_intensity': 1.013781215177511, 'oi_acceleration': 14.037828572799523, 'spread_expansion': 0.29523809523809563}"
9aa913d9-1bc0-4d75-b384-1abb17dc7f60,NMRUSDT,LONG,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:44:59.999000+00:00,9.35287,9.526201,4595.637965,5,0.135473,776.8647,1.2935,39.0426,25,vol_trail,0,11133.91,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1393,2.3557,0.5,True,0,OTHER,baseline,0.6437,"{'taker_imb_z': -0.43917102093953575, 'delta_persistence': 1.0, 'range_expansion_pctile': 86.66666666666667, 'volume_concentration': 69.69150999434619, 'clv': 0.9000000000000051, 'wick_rejection': 0.2857142857142785, 'velocity': 1.0263612791702748, 'cascade_intensity': 1.013781215177511, 'oi_acceleration': -1.0930188499877644, 'spread_expansion': 0.18571428571428353}"
744cf91c-bde8-4ae5-957a-0a828ce6595f,NMRUSDT,LONG,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.790958,9.613514,1903.009217,2,0.175521,-345.9096,-1.0,16.6171,15,stop_loss,0,10779.62,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2019,0.1085,0.5,True,0,OTHER,baseline,0.6986,"{'taker_imb_z': 1.726087083574638, 'delta_persistence': 5.0, 'range_expansion_pctile': 61.66666666666667, 'volume_concentration': 58.672330352308954, 'clv': 0.9833333333333422, 'wick_rejection': 0.18333333333332444, 'velocity': 2.631578947368415, 'cascade_intensity': 1.013781215177511, 'oi_acceleration': -2.9143072154658785, 'spread_expansion': 0.16666666666666666}"
da14e2b3-1447-408b-b982-d27967a385c0,NMRUSDT,LONG,2026-02-02T21:59:59.999000+00:00,2026-02-02T22:24:59.999000+00:00,9.816963,9.670036,4460.764496,5,0.144992,-674.817,-1.0,39.1171,5,stop_loss,0,10085.09,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1033,0.1451,0.5,True,0,OTHER,baseline,0.7379,"{'taker_imb_z': 2.1796382849150895, 'delta_persistence': 3.0, 'range_expansion_pctile': 8.333333333333332, 'volume_concentration': 42.29346237699196, 'clv': 1.0, 'wick_rejection': 0.1428571428571646, 'velocity': 0.4503121481936209, 'cascade_intensity': 1.013781215177511, 'oi_acceleration': 5.248236919890372, 'spread_expansion': 0.1428571428571646}"
5ae5b1a0-72c5-46ea-b654-776aeebf3e0d,UNIUSDT,LONG,2026-02-13T01:49:59.999000+00:00,2026-02-13T05:44:59.999000+00:00,3.278656,3.29934,11439.562666,4,0.035264,219.6361,0.6053,33.8622,47,expansion_decay,0,10287.85,1,"{'breakout': True, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",5,-0.9827,0.8889,0.5,False,0,DEFI,baseline,0.663,"{'taker_imb_z': 2.1770072521072383, 'delta_persistence': 3.0, 'range_expansion_pctile': 58.333333333333336, 'volume_concentration': 59.91767732062678, 'clv': 1.0, 'wick_rejection': 0.16666666666664817, 'velocity': 0.8305136880959747, 'cascade_intensity': 0.5431874428133637, 'oi_acceleration': -7.991716558630509, 'spread_expansion': 0.16666666666664817}"
e417a2cb-ea74-4889-9005-b9246210f17a,UNIUSDT,LONG,2026-02-13T06:54:59.999000+00:00,2026-02-13T07:34:59.999000+00:00,3.288658,3.317336,5939.777551,2,0.034169,161.4788,0.8587,17.7784,8,expansion_decay,0,10440.42,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1363,1.2977,0.5,False,0,DEFI,baseline,0.6619,"{'taker_imb_z': 2.2310970316544148, 'delta_persistence': 1.0, 'range_expansion_pctile': 91.66666666666666, 'volume_concentration': 39.82374472238362, 'clv': 1.0, 'wick_rejection': 0.0, 'velocity': 0.9208103130755004, 'cascade_intensity': 0.5431874428133637, 'oi_acceleration': -2.2418993737634745, 'spread_expansion': 0.0}"
2bb9729a-737e-40e4-80e9-0b4f972b90e1,BNBUSDT,LONG,2026-02-13T10:19:59.999000+00:00,2026-02-13T11:34:59.999000+00:00,601.980372,598.283051,115.007666,7,3.57764,-456.1834,-1.0,62.5843,15,stop_loss,0,9952.62,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.0586,0.5,False,0,OTHER,baseline,0.6816,"{'taker_imb_z': 2.28904349049258, 'delta_persistence': 1.0, 'range_expansion_pctile': 93.33333333333333, 'volume_concentration': 52.15457968179826, 'clv': 0.8225806451613074, 'wick_rejection': 0.020161290322563086, 'velocity': -0.10456605088881067, 'cascade_intensity': 0.6794508855319772, 'oi_acceleration': 0.10528186978516102, 'spread_expansion': 0.1572580645161296}"
7d2a3b87-588a-48c9-afbc-d6fd981045a5,UNIUSDT,LONG,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:44:59.999000+00:00,3.343669,3.360328,18273.058735,7,0.03268,276.783,0.5303,55.1261,8,expansion_decay,0,10201.9,1,"{'breakout': True, 'imb': True, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",6,-0.3571,1.3565,0.5,True,0,DEFI,baseline,0.7686,"{'taker_imb_z': 3.282937510745087, 'delta_persistence': 1.0, 'range_expansion_pctile': 98.33333333333333, 'volume_concentration': 51.819866980273396, 'clv': 0.8928571428571389, 'wick_rejection': 0.03571428571428175, 'velocity': 0.7231093702922573, 'cascade_intensity': 0.5431874428133637, 'oi_acceleration': 12.216492079800577, 'spread_expansion': 0.07142857142857936}"
59b4719e-3650-4b8f-b201-090d60554dbb,BNBUSDT,LONG,2026-02-13T14:29:59.999000+00:00,2026-02-13T15:04:59.999000+00:00,598.739724,602.289518,64.649725,4,4.703806,211.9712,0.7803,35.0529,7,expansion_decay,0,10396.34,0,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.5378,1.3649,0.5,True,0,OTHER,baseline,0.6234,"{'taker_imb_z': -0.6277968080983415, 'delta_persistence': 1.0, 'range_expansion_pctile': 96.66666666666667, 'volume_concentration': 53.09576855085459, 'clv': 0.7043478260869559, 'wick_rejection': 0.07536231884057856, 'velocity': 0.24616930419493047, 'cascade_intensity': 0.6794508855319772, 'oi_acceleration': 0.6615704995350801, 'spread_expansion': 0.22028985507246548}"
