symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
NMRUSDT,2026-02-02T00:44:59.999000+00:00,2026-02-02T02:49:59.999000+00:00,8.855770799999998,8.852514857142856,-0.0429,-17.18,vol_trail,1,52.7,25,-0.3025,0.8008,0.04,0.06742857142857137,9973.37,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",0.17941895044929254
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,178.79,vol_trail,2,68.2,20,-0.4856,1.3015,0.04,0.1005,10145.63,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.927603585043651
NMRUSDT,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:49:59.999000+00:00,9.352870200000002,9.506384057142856,1.0069,408.62,vol_trail,1,61.9,26,0.0,1.9027,0.04,0.059285714285714164,10542.73,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",-0.5517719681469381
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.3542,149.36,vol_trail,1,59.2,71,-0.7208,1.3861,0.04,0.01442857142857133,10674.84,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",-0.31051556412984066
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,167.12,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,10819.19,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.649507478001635
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1282.16,vol_trail,2,68.6,46,0.0,3.7478,0.04,2.0257142857142867,12078.33,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.9489241811713396
ZECUSDT,2026-02-14T19:19:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,298.51969199999996,308.63254685714287,1.6022,774.1,vol_trail,1,61.6,10,-0.0771,3.2177,0.04,2.489999999999997,12842.0,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",0.49832997265590595
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,2.1392,1098.84,vol_trail,8,82.1,33,-0.1329,2.8272,0.04,0.6621428571428579,13914.82,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.5633,313.53,vol_trail,3,72.8,7,-0.272,1.1534,0.04,2.3235714285714346,14215.46,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",2.7018968573505773
TAOUSDT,2026-02-16T19:34:59.999000+00:00,2026-02-16T19:49:59.999000+00:00,192.698532,193.09851542857143,0.1188,67.54,vol_trail,3,72.0,3,-0.0493,0.7626,0.04,1.0542857142857156,14264.3,"{""breakout"": true, ""imb"": false, ""vol"": false, ""body"": true, ""impulse"": true, ""momentum"": true}",0.14665918966278596
