symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,179.26,vol_trail,2,68.2,20,-0.4856,1.3015,0.04,0.1005,10172.73,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.927603585043651
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,159.26,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,10310.29,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.649507478001635
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1221.85,vol_trail,2,68.6,46,0.0,3.7478,0.04,2.0257142857142867,11510.2,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.9489241811713396
ZECUSDT,2026-02-14T21:14:59.999000+00:00,2026-02-15T00:39:59.999000+00:00,328.785744,320.10418064285716,-1.032,-475.15,stop_loss,7,80.1,41,-1.0512,0.373,0.04,3.420714285714285,11027.08,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.19018946660615
ZECUSDT,2026-02-16T12:54:59.999000+00:00,2026-02-16T13:19:59.999000+00:00,299.989986,301.7175015714286,0.2791,123.1,vol_trail,2,69.2,5,-0.0491,1.5446,0.04,2.281428571428575,11139.74,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.645030446462556
TAOUSDT,2026-02-16T19:49:59.999000+00:00,2026-02-16T20:59:59.999000+00:00,192.568506,195.0045627142857,0.7493,333.89,vol_trail,8,80.9,14,-0.2968,1.5316,0.04,1.2535714285714314,11461.31,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.3866334719792253
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,2.1001,962.79,vol_trail,5,75.8,1,0.0,3.1231,0.04,0.0037142857142857494,12396.45,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.5814344994456833
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0243,-12.07,vol_trail,9,84.0,14,-0.3155,0.1577,0.04,0.0005071428571428538,12353.63,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.526975179655015
APTUSDT,2026-02-25T01:49:59.999000+00:00,2026-02-25T03:24:59.999000+00:00,0.8601719999999999,0.8461521642857143,-1.0528,-521.33,stop_loss,2,68.8,19,-1.0454,0.2924,0.04,0.0054714285714285715,11832.3,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.020690422985249
ARBUSDT,2026-02-25T16:54:59.999000+00:00,2026-02-25T20:19:59.999000+00:00,0.10332066000000001,0.10357928,0.1079,51.04,vol_trail,3,72.4,41,-0.7127,0.56,0.04,0.0007857142857142854,11861.98,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.15825674268149
DOTUSDT,2026-02-25T11:54:59.999000+00:00,2026-02-25T22:39:59.999000+00:00,1.3892778000000001,1.6691661,9.59,4538.87,vol_trail,2,67.8,129,-0.481,12.0589,0.04,0.011642857142857146,16400.85,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.0409189403502666
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.9568,1283.75,vol_trail,8,81.0,11,-0.4273,2.1365,0.04,0.0003557142857142851,17671.58,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.679884740895855
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T15:39:59.999000+00:00,0.041468292,0.03997343228571428,-1.0232,-723.25,stop_loss,5,76.2,2,-0.8928,0.0,0.04,0.0005914285714285707,16939.41,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.050990868312095
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:24:59.999000+00:00,1.38157626,1.3510475935714286,-1.0385,-703.67,stop_loss,8,82.1,3,-0.9839,0.0,0.04,0.011992857142857123,16221.69,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.964942426558394
NEARUSDT,2026-03-02T01:14:59.999000+00:00,2026-03-02T01:24:59.999000+00:00,1.1862371999999999,1.1636243714285712,-1.0449,-677.98,stop_loss,8,82.4,2,-1.1742,0.0,0.04,0.008857142857142897,15528.07,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.173038929600182
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.8844,549.32,vol_trail,7,79.2,10,0.0,1.9923,0.04,0.0007428571428571423,16002.38,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.430336139858807
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,2.47,1532.62,vol_trail,7,79.7,30,0.0,3.6365,0.04,0.005642857142857172,17535.01,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.9380381044952295
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.2449,151.68,vol_trail,2,69.4,25,0.0,1.4642,0.04,0.0009507142857142868,17686.69,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.182625355473267
ENAUSDT,2026-03-02T15:14:59.999000+00:00,2026-03-02T21:24:59.999000+00:00,0.10812162,0.11510554571428572,3.1561,1952.58,vol_trail,1,66.8,74,-0.0911,4.1886,0.04,0.000878571428571428,19639.27,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.492665043503507
SOLUSDT,2026-03-03T16:09:59.999000+00:00,2026-03-03T16:44:59.999000+00:00,86.307258,84.76232985714286,-1.0479,-823.2,stop_loss,2,70.2,7,-0.94,0.6156,0.04,0.6042857142857139,18795.88,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.299844650111556
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,112.05,vol_trail,7,80.3,24,-0.4375,0.8167,0.04,0.013714285714285743,18855.89,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.281060756038988
FETUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.18173634,0.1845595092857143,0.5641,423.76,vol_trail,8,82.3,28,0.0,1.2559,0.04,0.001942857142857139,19279.65,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",6.83251165466584
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,2.8079,2107.73,vol_trail,8,81.9,32,-0.1238,3.6457,0.04,1.3242857142857116,21387.37,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",8.305401863175911
RENDERUSDT,2026-03-13T07:09:59.999000+00:00,2026-03-13T07:29:59.999000+00:00,1.8913782000000001,1.8477732285714286,-1.0369,-887.02,stop_loss,9,82.7,4,-0.8633,0.0,0.04,0.017142857142857158,20483.36,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.897317794728913
TAOUSDT,2026-03-13T09:49:59.999000+00:00,2026-03-13T10:04:59.999000+00:00,240.778146,241.82591085714287,0.2677,219.35,vol_trail,6,77.7,3,0.0,1.1006,0.04,1.402857142857146,20677.41,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.525295527804564
FETUSDT,2026-03-15T01:04:59.999000+00:00,2026-03-15T03:19:59.999000+00:00,0.18133626,0.19124745714285712,4.9126,4063.17,vol_trail,3,72.8,27,-0.1,5.9,0.04,0.0007999999999999952,24671.07,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.4293484561000027
RENDERUSDT,2026-03-15T01:34:59.999000+00:00,2026-03-15T04:09:59.999000+00:00,1.9263852,1.89187155,-1.0479,-864.65,stop_loss,3,71.4,31,-0.9778,0.4444,0.04,0.013499999999999988,23806.42,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.3205381779945626
TAOUSDT,2026-03-15T01:19:59.999000+00:00,2026-03-15T04:24:59.999000+00:00,256.481286,264.38425542857146,1.1897,982.39,vol_trail,2,70.1,37,-0.0764,2.0786,0.04,2.6171428571428583,24788.8,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.094550209210382
FETUSDT,2026-03-15T12:24:59.999000+00:00,2026-03-15T12:29:59.999000+00:00,0.19413882,0.1961321942857143,0.762,755.61,vol_trail,7,80.6,1,0.0,1.96,0.04,0.000999999999999995,25509.76,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.5908030068415533
TAOUSDT,2026-03-15T14:09:59.999000+00:00,2026-03-15T16:19:59.999000+00:00,268.463682,271.26359357142854,0.499,509.21,vol_trail,8,82.2,26,-0.2758,1.4238,0.04,2.1464285714285722,25996.0,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.977100930887854
NEARUSDT,2026-03-16T03:24:59.999000+00:00,2026-03-16T06:04:59.999000+00:00,1.3872774,1.405433142857143,0.846,879.65,vol_trail,5,75.8,32,-0.3379,1.3517,0.04,0.008285714285714276,26844.31,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.229863574301113
FETUSDT,2026-03-16T07:04:59.999000+00:00,2026-03-16T07:24:59.999000+00:00,0.20684136,0.20744421714285713,0.1204,129.27,vol_trail,3,71.6,4,0.0,0.9688,0.04,0.0016928571428571407,26949.97,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.2564178071212138
FETUSDT,2026-03-16T12:04:59.999000+00:00,2026-03-16T12:19:59.999000+00:00,0.2215443,0.22248406571428572,0.134,144.31,vol_trail,6,77.6,3,-0.0798,1.037,0.04,0.0025071428571428528,27058.22,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.532522255053391
TAOUSDT,2026-03-16T11:29:59.999000+00:00,2026-03-16T14:39:59.999000+00:00,288.25764,290.9039504285714,0.3403,366.88,vol_trail,2,68.2,38,-0.1475,1.3868,0.04,2.9564285714285745,27395.24,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.1901638154045937
NEARUSDT,2026-03-16T13:54:59.999000+00:00,2026-03-16T14:54:59.999000+00:00,1.4232846000000001,1.399505757142857,-1.0514,-1138.01,stop_loss,1,60.4,12,-0.6462,0.4308,0.04,0.009285714285714357,26257.22,"{""breakout"": false, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.357721086523771
FETUSDT,2026-03-16T16:14:59.999000+00:00,2026-03-16T18:14:59.999000+00:00,0.23644728,0.24459392857142856,0.9784,1027.57,vol_trail,2,68.5,24,0.0,2.3739,0.04,0.0032857142857142846,27245.86,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.1673390829720605
ZECUSDT,2026-03-16T17:14:59.999000+00:00,2026-03-16T18:24:59.999000+00:00,247.689528,258.7396702857143,2.3668,2484.52,vol_trail,5,76.6,14,0.0,3.6583,0.04,1.8478571428571453,29730.38,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.498656566160056
ZECUSDT,2026-03-17T17:54:59.999000+00:00,2026-03-17T18:04:59.999000+00:00,277.065402,279.65977114285715,0.6324,752.03,vol_trail,3,71.8,2,0.0,1.7446,0.04,1.5614285714285725,30444.43,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.390736625318849
FETUSDT,2026-03-20T01:44:59.999000+00:00,2026-03-20T04:49:59.999000+00:00,0.22134426,0.22604049714285715,1.1138,1356.39,vol_trail,6,77.9,37,-0.9212,1.8909,0.04,0.0016499999999999948,31771.41,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.093544099064757
TAOUSDT,2026-03-20T05:14:59.999000+00:00,2026-03-20T06:09:59.999000+00:00,305.771142,294.8403058571429,-1.0234,-1300.57,stop_loss,3,71.1,11,-0.9657,0.1304,0.04,4.324285714285712,30454.66,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.322546793918515
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,1058.21,vol_trail,8,81.0,60,-0.4159,1.6232,0.04,0.39428571428571296,31468.52,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.783553404148477
