symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,179.26,vol_trail,2,68.2,20,-0.4856,1.3015,0.04,0.1005,10172.73,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.927603585043651
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,159.26,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,10310.29,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.649507478001635
BNBUSDT,2026-02-13T14:49:59.999000+00:00,2026-02-13T18:04:59.999000+00:00,604.22082,614.322111,1.5595,643.16,vol_trail,7,79.9,39,-0.3302,2.1429,0.04,2.5199999999999982,10935.64,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.675089098436929
ZECUSDT,2026-02-14T21:14:59.999000+00:00,2026-02-15T00:39:59.999000+00:00,328.785744,320.10418064285716,-1.032,-451.43,stop_loss,7,80.1,41,-1.0512,0.373,0.04,3.420714285714285,10476.64,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.19018946660615
ZECUSDT,2026-02-16T12:54:59.999000+00:00,2026-02-16T13:19:59.999000+00:00,299.989986,301.7175015714286,0.2791,116.95,vol_trail,2,69.2,5,-0.0491,1.5446,0.04,2.281428571428575,10583.68,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.645030446462556
TAOUSDT,2026-02-16T20:59:59.999000+00:00,2026-02-16T22:14:59.999000+00:00,197.36946600000002,197.58190428571427,0.0426,18.05,vol_trail,6,77.8,15,-0.8217,0.8252,0.04,1.1585714285714326,10588.75,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.561269626571358
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0243,-10.31,vol_trail,9,84.0,14,-0.3155,0.1577,0.04,0.0005071428571428538,10564.14,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.526975179655015
APTUSDT,2026-02-25T12:54:59.999000+00:00,2026-02-25T13:54:59.999000+00:00,0.89337864,0.8947674392857143,0.0839,35.43,vol_trail,9,82.5,12,-0.2128,0.5277,0.04,0.004700000000000005,10576.05,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",7.86317416990766
ARBUSDT,2026-02-25T16:54:59.999000+00:00,2026-02-25T20:19:59.999000+00:00,0.10332066000000001,0.10357928,0.1079,45.66,vol_trail,3,72.4,41,-0.7127,0.56,0.04,0.0007857142857142854,10604.57,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.15825674268149
APTUSDT,2026-02-25T17:19:59.999000+00:00,2026-02-25T20:59:59.999000+00:00,1.00660128,1.07058584,2.3645,999.32,vol_trail,2,68.9,44,-0.9085,3.6713,0.04,0.010742857142857134,11603.89,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.539374974453895
DOTUSDT,2026-02-25T11:54:59.999000+00:00,2026-02-25T22:39:59.999000+00:00,1.3892778000000001,1.6691661,9.59,4052.4,vol_trail,2,67.8,129,-0.481,12.0589,0.04,0.011642857142857146,15656.29,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.0409189403502666
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.9568,1225.47,vol_trail,8,81.0,11,-0.4273,2.1365,0.04,0.0003557142857142851,16869.34,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.679884740895855
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:24:59.999000+00:00,1.38157626,1.3510475935714286,-1.0385,-700.76,stop_loss,8,82.1,3,-0.9839,0.0,0.04,0.011992857142857123,16154.59,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.964942426558394
NEARUSDT,2026-03-02T01:14:59.999000+00:00,2026-03-02T01:24:59.999000+00:00,1.1862371999999999,1.1636243714285712,-1.0449,-675.18,stop_loss,8,82.4,2,-1.1742,0.0,0.04,0.008857142857142897,15463.84,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.173038929600182
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.8844,547.05,vol_trail,7,79.2,10,0.0,1.9923,0.04,0.0007428571428571423,15936.19,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.430336139858807
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,2.47,1526.28,vol_trail,7,79.7,30,0.0,3.6365,0.04,0.005642857142857172,17462.47,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.9380381044952295
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.2449,151.06,vol_trail,2,69.4,25,0.0,1.4642,0.04,0.0009507142857142868,17613.53,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.182625355473267
ENAUSDT,2026-03-02T15:14:59.999000+00:00,2026-03-02T21:24:59.999000+00:00,0.10812162,0.11510554571428572,3.1561,1944.5,vol_trail,1,66.8,74,-0.0911,4.1886,0.04,0.000878571428571428,19558.03,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.492665043503507
SOLUSDT,2026-03-03T16:09:59.999000+00:00,2026-03-03T16:44:59.999000+00:00,86.307258,84.76232985714286,-1.0479,-819.79,stop_loss,2,70.2,7,-0.94,0.6156,0.04,0.6042857142857139,18718.13,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.299844650111556
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,111.58,vol_trail,7,80.3,24,-0.4375,0.8167,0.04,0.013714285714285743,18777.89,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.281060756038988
FETUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.18173634,0.1845595092857143,0.5641,422.01,vol_trail,8,82.3,28,0.0,1.2559,0.04,0.001942857142857139,19199.89,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",6.83251165466584
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,2.8079,2099.01,vol_trail,8,81.9,32,-0.1238,3.6457,0.04,1.3242857142857116,21298.9,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",8.305401863175911
RENDERUSDT,2026-03-13T07:09:59.999000+00:00,2026-03-13T07:29:59.999000+00:00,1.8913782000000001,1.8477732285714286,-1.0369,-883.35,stop_loss,9,82.7,4,-0.8633,0.0,0.04,0.017142857142857158,20398.63,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.897317794728913
TAOUSDT,2026-03-13T09:49:59.999000+00:00,2026-03-13T10:04:59.999000+00:00,240.778146,241.82591085714287,0.2677,218.45,vol_trail,6,77.7,3,0.0,1.1006,0.04,1.402857142857146,20591.87,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.525295527804564
FETUSDT,2026-03-15T01:04:59.999000+00:00,2026-03-15T03:19:59.999000+00:00,0.18133626,0.19124745714285712,4.9126,4046.36,vol_trail,3,72.8,27,-0.1,5.9,0.04,0.0007999999999999952,24569.01,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.4293484561000027
RENDERUSDT,2026-03-15T01:34:59.999000+00:00,2026-03-15T04:09:59.999000+00:00,1.9263852,1.89187155,-1.0479,-861.07,stop_loss,3,71.4,31,-0.9778,0.4444,0.04,0.013499999999999988,23707.94,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.3205381779945626
TAOUSDT,2026-03-15T01:19:59.999000+00:00,2026-03-15T04:24:59.999000+00:00,256.481286,264.38425542857146,1.1897,978.32,vol_trail,2,70.1,37,-0.0764,2.0786,0.04,2.6171428571428583,24686.26,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.094550209210382
FETUSDT,2026-03-15T12:24:59.999000+00:00,2026-03-15T12:29:59.999000+00:00,0.19413882,0.1961321942857143,0.762,752.48,vol_trail,7,80.6,1,0.0,1.96,0.04,0.000999999999999995,25404.24,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.5908030068415533
TAOUSDT,2026-03-15T14:14:59.999000+00:00,2026-03-15T16:09:59.999000+00:00,269.77394400000003,272.0898568571428,0.398,404.47,vol_trail,3,72.6,23,-0.5063,1.1487,0.04,2.204285714285711,25786.33,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.7687378892539796
NEARUSDT,2026-03-16T03:24:59.999000+00:00,2026-03-16T06:04:59.999000+00:00,1.3872774,1.405433142857143,0.846,872.56,vol_trail,5,75.8,32,-0.3379,1.3517,0.04,0.008285714285714276,26627.8,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.229863574301113
FETUSDT,2026-03-16T07:04:59.999000+00:00,2026-03-16T07:24:59.999000+00:00,0.20684136,0.20744421714285713,0.1204,128.23,vol_trail,3,71.6,4,0.0,0.9688,0.04,0.0016928571428571407,26732.6,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.2564178071212138
FETUSDT,2026-03-16T12:04:59.999000+00:00,2026-03-16T12:19:59.999000+00:00,0.2215443,0.22248406571428572,0.134,143.24,vol_trail,6,77.6,3,-0.0798,1.037,0.04,0.0025071428571428528,26858.84,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.532522255053391
FETUSDT,2026-03-16T16:14:59.999000+00:00,2026-03-16T18:14:59.999000+00:00,0.23644728,0.24459392857142856,0.9784,1051.11,vol_trail,2,68.5,24,0.0,2.3739,0.04,0.0032857142857142846,27870.13,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.1673390829720605
ZECUSDT,2026-03-16T17:14:59.999000+00:00,2026-03-16T18:24:59.999000+00:00,247.689528,258.7396702857143,2.3668,2541.45,vol_trail,5,76.6,14,0.0,3.6583,0.04,1.8478571428571453,30411.58,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.498656566160056
ZECUSDT,2026-03-17T17:54:59.999000+00:00,2026-03-17T18:04:59.999000+00:00,277.065402,279.65977114285715,0.6324,769.26,vol_trail,3,71.8,2,0.0,1.7446,0.04,1.5614285714285725,31141.98,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.390736625318849
FETUSDT,2026-03-20T01:44:59.999000+00:00,2026-03-20T04:49:59.999000+00:00,0.22134426,0.22604049714285715,1.1138,1387.47,vol_trail,6,77.9,37,-0.9212,1.8909,0.04,0.0016499999999999948,32499.37,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.093544099064757
TAOUSDT,2026-03-20T05:14:59.999000+00:00,2026-03-20T06:09:59.999000+00:00,305.771142,294.8403058571429,-1.0234,-1330.37,stop_loss,3,71.1,11,-0.9657,0.1304,0.04,4.324285714285712,31152.45,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.322546793918515
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,1082.46,vol_trail,8,81.0,60,-0.4159,1.6232,0.04,0.39428571428571296,32189.54,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.783553404148477
FETUSDT,2026-03-20T22:04:59.999000+00:00,2026-03-20T22:24:59.999000+00:00,0.23164632,0.22691175142857142,-1.0417,-1341.33,stop_loss,7,80.7,4,-1.12,0.0,0.04,0.001857142857142857,30819.3,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.946593681879065
TAOUSDT,2026-03-24T02:04:59.999000+00:00,2026-03-24T03:49:59.999000+00:00,301.90036799999996,308.3511745714286,0.8152,1004.97,vol_trail,5,76.0,21,-0.1899,1.4065,0.04,3.09714285714285,31802.64,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.315524562257858
TAOUSDT,2026-03-25T07:14:59.999000+00:00,2026-03-25T08:59:59.999000+00:00,343.878762,345.9600798571429,0.3521,447.86,vol_trail,8,82.3,21,-0.4498,1.0074,0.04,2.1878571428571507,32214.5,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.462341113582387
