symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
NMRUSDT,2026-02-02T00:44:59.999000+00:00,2026-02-02T02:49:59.999000+00:00,8.855770799999998,8.852514857142856,-0.0429,-17.18,vol_trail,1,52.7,25,-0.3025,0.8008,0.04,0.06742857142857137,9973.37
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,178.79,vol_trail,2,68.2,20,-0.4856,1.3015,0.04,0.1005,10145.63
NMRUSDT,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:49:59.999000+00:00,9.352870200000002,9.506384057142856,1.0069,408.62,vol_trail,1,61.9,26,0.0,1.9027,0.04,0.059285714285714164,10542.73
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.3542,149.36,vol_trail,1,59.2,71,-0.7208,1.3861,0.04,0.01442857142857133,10674.84
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,167.12,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,10819.19
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1282.16,vol_trail,2,68.6,46,0.0,3.7478,0.04,2.0257142857142867,12078.33
ZECUSDT,2026-02-14T19:19:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,298.51969199999996,308.63254685714287,1.6022,774.1,vol_trail,1,61.6,10,-0.0771,3.2177,0.04,2.489999999999997,12842.0
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,2.1392,1098.84,vol_trail,8,82.1,33,-0.1329,2.8272,0.04,0.6621428571428579,13914.82
ZECUSDT,2026-02-16T12:54:59.999000+00:00,2026-02-16T13:19:59.999000+00:00,299.989986,301.7175015714286,0.2791,155.33,vol_trail,2,69.2,5,-0.0491,1.5446,0.04,2.281428571428575,14056.98
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:04:59.999000+00:00,194.08881000000002,191.2492425,-1.0591,-595.48,stop_loss,8,82.4,5,-0.8724,0.2244,0.04,1.105000000000002,13443.72
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,2.1001,1129.32,vol_trail,5,75.8,1,0.0,3.1231,0.04,0.0037142857142857494,14503.54
APTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.8336667,0.8417030542857143,1.4106,756.72,vol_trail,2,70.4,1,0.0,3.1132,0.04,0.0021714285714285702,15260.26
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0243,-14.86,vol_trail,9,84.0,14,-0.3155,0.1577,0.04,0.0005071428571428538,15224.8
DOTUSDT,2026-02-25T08:54:59.999000+00:00,2026-02-25T10:14:59.999000+00:00,1.2852569999999999,1.3152369,2.5715,1562.71,vol_trail,1,66.2,16,0.0,3.675,0.04,0.004571428571428575,16683.63
APTUSDT,2026-02-25T08:54:59.999000+00:00,2026-02-25T10:54:59.999000+00:00,0.8544708599999999,0.8575963035714285,0.484,293.51,vol_trail,7,80.3,24,-0.1767,1.3779,0.04,0.002264285714285711,16977.14
APTUSDT,2026-02-25T13:59:59.999000+00:00,2026-02-25T17:59:59.999000+00:00,0.8905780799999999,0.9860241842857143,7.42,5038.81,vol_trail,1,54.9,48,0.0,9.06,0.04,0.005121428571428547,21982.54
ARBUSDT,2026-02-25T08:54:59.999000+00:00,2026-02-25T19:14:59.999000+00:00,0.09361872,0.10202959,10.4097,6339.44,vol_trail,1,66.5,124,-0.1244,12.0711,0.04,0.0003214285714285727,28321.98
DOTUSDT,2026-02-25T14:59:59.999000+00:00,2026-02-25T22:39:59.999000+00:00,1.5073013999999998,1.6691661,4.2558,2886.46,vol_trail,1,62.8,92,-0.0264,6.1547,0.04,0.015142857142857125,31208.44
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.9568,2442.79,vol_trail,8,81.0,11,-0.4273,2.1365,0.04,0.0003557142857142851,33626.46
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T15:39:59.999000+00:00,0.041468292,0.03997343228571428,-1.0232,-1376.24,stop_loss,5,76.2,2,-0.8928,0.0,0.04,0.0005914285714285707,32233.25
DOTUSDT,2026-02-28T18:14:59.999000+00:00,2026-02-28T22:04:59.999000+00:00,1.5583116000000001,1.6302453142857145,2.5235,3253.69,vol_trail,2,67.1,46,-0.4962,3.8633,0.04,0.01128571428571428,35454.89
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:24:59.999000+00:00,1.38157626,1.3510475935714286,-1.0385,-1472.8,stop_loss,8,82.1,3,-0.9839,0.0,0.04,0.011992857142857123,33952.68
NEARUSDT,2026-03-02T00:19:59.999000+00:00,2026-03-02T01:24:59.999000+00:00,1.1662332,1.1701944857142856,0.1943,263.86,vol_trail,2,67.2,13,-0.3394,1.1313,0.04,0.00707142857142857,34080.38
ARBUSDT,2026-03-02T00:39:59.999000+00:00,2026-03-02T02:29:59.999000+00:00,0.10112022,0.10117976,0.0107,14.58,vol_trail,2,67.0,22,-0.537,0.9205,0.04,0.0005214285714285705,34094.95
1000LUNCUSDT,2026-03-02T03:49:59.999000+00:00,2026-03-02T04:49:59.999000+00:00,0.043378674,0.04293998171428571,-1.0868,-1482.2,stop_loss,1,66.8,12,-0.7593,0.0,0.04,0.00016857142857142865,32502.49
NEARUSDT,2026-03-02T04:29:59.999000+00:00,2026-03-02T04:54:59.999000+00:00,1.2082416,1.192047257142857,-1.0647,-1449.33,stop_loss,1,63.0,5,-1.3364,0.5091,0.04,0.006285714285714307,31053.16
ENAUSDT,2026-03-02T00:44:59.999000+00:00,2026-03-02T04:54:59.999000+00:00,0.10512102,0.10588596142857144,0.5428,735.3,vol_trail,1,66.8,50,-0.3784,1.4378,0.04,0.0005285714285714288,31788.46
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.8844,1124.55,vol_trail,7,79.2,10,0.0,1.9923,0.04,0.0007428571428571423,32759.46
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,2.47,3137.52,vol_trail,7,79.7,30,0.0,3.6365,0.04,0.005642857142857172,35896.98
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.2449,310.52,vol_trail,2,69.4,25,0.0,1.4642,0.04,0.0009507142857142868,36207.51
ENAUSDT,2026-03-02T15:14:59.999000+00:00,2026-03-02T21:24:59.999000+00:00,0.10812162,0.11510554571428572,3.1561,3997.25,vol_trail,1,66.8,74,-0.0911,4.1886,0.04,0.000878571428571428,40204.75
SOLUSDT,2026-03-03T16:04:59.999000+00:00,2026-03-03T17:44:59.999000+00:00,85.387074,85.52074957142857,0.0674,108.38,vol_trail,1,60.7,20,-0.715,1.3097,0.04,0.5649999999999997,40269.39
SOLUSDT,2026-03-03T23:09:59.999000+00:00,2026-03-04T02:59:59.999000+00:00,86.977392,87.03973142857143,0.0231,37.19,vol_trail,2,69.0,46,-0.6278,0.6776,0.04,0.40142857142857274,40243.76
SOLUSDT,2026-03-04T08:44:59.999000+00:00,2026-03-04T10:29:59.999000+00:00,87.91758,89.85059771428571,1.9305,3107.63,vol_trail,2,66.9,21,0.0,3.1111,0.04,0.39214285714285985,43286.43
SOLUSDT,2026-03-04T19:19:59.999000+00:00,2026-03-04T20:34:59.999000+00:00,93.238644,93.24420457142857,-0.0385,-66.72,vol_trail,5,76.8,15,-0.741,0.5716,0.04,0.37785714285714433,43142.8
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,256.99,vol_trail,7,80.3,24,-0.4375,0.8167,0.04,0.013714285714285743,43276.93
FETUSDT,2026-03-13T00:14:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.17923584,0.1845595092857143,1.2228,2110.22,vol_trail,7,80.7,29,0.0,2.0067,0.04,0.0017142857142857099,45387.15
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,2.8079,4837.56,vol_trail,8,81.9,32,-0.1238,3.6457,0.04,1.3242857142857116,50224.71
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,1.3958,2804.18,vol_trail,8,81.7,25,-0.3027,2.5427,0.04,0.013214285714285734,52979.43
TAOUSDT,2026-03-13T08:09:59.999000+00:00,2026-03-13T10:04:59.999000+00:00,235.707132,241.82591085714287,1.5119,3204.07,vol_trail,5,76.9,23,-0.3069,2.2465,0.04,1.5900000000000034,56126.95
RENDERUSDT,2026-03-13T14:14:59.999000+00:00,2026-03-13T14:39:59.999000+00:00,1.9423884,1.8812665285714285,-1.0267,-2305.01,stop_loss,1,55.4,5,-1.4249,0.0,0.04,0.024142857142857115,53789.42
TAOUSDT,2026-03-13T23:19:59.999000+00:00,2026-03-13T23:49:59.999000+00:00,236.177226,236.62409428571428,0.1085,233.42,vol_trail,5,75.5,6,-0.1371,0.7044,0.04,1.2549999999999955,53949.96
TAOUSDT,2026-03-14T03:09:59.999000+00:00,2026-03-14T04:14:59.999000+00:00,242.12841600000002,242.106569,-0.0348,-75.02,vol_trail,2,69.9,13,0.0,0.8159,0.04,1.5050000000000014,53812.45
FETUSDT,2026-03-15T02:04:59.999000+00:00,2026-03-15T03:19:59.999000+00:00,0.1855371,0.19049403642857143,1.7599,3781.62,vol_trail,8,81.9,15,0.0,2.7458,0.04,0.001107142857142854,57435.37
RENDERUSDT,2026-03-15T01:24:59.999000+00:00,2026-03-15T03:34:59.999000+00:00,1.9083816,1.9087610285714287,-0.0145,-31.22,vol_trail,1,65.8,26,0.0,0.9989,0.04,0.013214285714285703,57404.15
TAOUSDT,2026-03-15T01:19:59.999000+00:00,2026-03-15T04:24:59.999000+00:00,256.481286,264.38425542857146,1.1897,2560.81,vol_trail,2,70.1,37,-0.0764,2.0786,0.04,2.6171428571428583,59964.96
FETUSDT,2026-03-15T12:19:59.999000+00:00,2026-03-15T12:29:59.999000+00:00,0.19293858,0.1961321942857143,1.3481,3233.46,vol_trail,8,81.5,2,0.0,2.6481,0.04,0.0009214285714285651,63108.02
