[1/28] NEARUSDT: +2308 rows | 2025-12-25 → 2026-05-22
[2/28] ZECUSDT: +1675 rows | 2026-03-11 → 2026-05-22
[3/28] ADAUSDT: +2542 rows | 2025-12-25 → 2026-05-22
[4/28] WLDUSDT: +2426 rows | 2025-12-25 → 2026-05-22
[5/28] UNIUSDT: +2120 rows | 2025-12-25 → 2026-05-21
[6/28] NMRUSDT: +926 rows | 2025-12-25 → 2026-05-22
[7/28] PENDLEUSDT: +1725 rows | 2025-12-25 → 2026-05-22
[8/28] ARBUSDT: +2159 rows | 2025-12-25 → 2026-05-22
[9/28] RENDERUSDT: +2092 rows | 2025-12-25 → 2026-05-21
[10/28] RUNEUSDT: +1222 rows | 2025-12-25 → 2026-05-21
[11/28] FETUSDT: +2225 rows | 2025-12-25 → 2026-05-21
[12/28] DOTUSDT: +2331 rows | 2025-12-25 → 2026-05-22
[13/28] TONUSDT: +2203 rows | 2025-12-25 → 2026-05-22
[14/28] SOLUSDT: +1871 rows | 2026-03-02 → 2026-05-22
[15/28] 1000LUNCUSDT: +2150 rows | 2025-12-25 → 2026-05-22
[16/28] ENAUSDT: +2453 rows | 2025-12-25 → 2026-05-22
[17/28] 1000PEPEUSDT: +2263 rows | 2026-02-06 → 2026-05-22
[18/28] XRPUSDT: +2160 rows | 2026-02-14 → 2026-05-22
[19/28] FILUSDT: +2298 rows | 2025-12-25 → 2026-05-22
[20/28] BNBUSDT: +2469 rows | 2026-01-10 → 2026-05-22
[21/28] TAOUSDT: +2208 rows | 2026-02-01 → 2026-05-22
[22/28] CHZUSDT: +2308 rows | 2025-12-25 → 2026-05-22
[23/28] DASHUSDT: +2553 rows | 2026-01-12 → 2026-05-22
[24/28] QNTUSDT: +1014 rows | 2025-12-25 → 2026-05-21
[25/28] ICPUSDT: +2243 rows | 2025-12-25 → 2026-05-21
[26/28] XLMUSDT: +2333 rows | 2025-12-25 → 2026-05-22
[27/28] APTUSDT: +2300 rows | 2025-12-25 → 2026-05-22
[28/28] ETHUSDT: +1600 rows | 2026-03-15 → 2026-05-22

sanity ETHUSDT: 67 overlapping days, median rel diff hourly-sum vs daily = 0.0%
DONE
