uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,conf,conf_count,mae,mfe,aggression_score,aggression_decile,sector,regime_score,label
ae86bb47-b86c-43dc-8887-816cb9d691af,NMRUSDT,LONG,2026-02-02T00:44:59.999000+00:00,2026-02-02T01:39:59.999000+00:00,8.855771,8.941211,574.099036,1,0.174186,46.7415,0.5008,4.5978,11,expansion_decay,0,10044.45,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3546,0.7936,0.6251,1,OTHER,1.0,agg_correlation
4f874b90-1c54-46b7-a3e3-6c46de72d19c,NMRUSDT,LONG,2026-02-02T06:44:59.999000+00:00,2026-02-02T07:34:59.999000+00:00,8.963792,9.107178,362.231374,1,0.277294,50.4543,0.5237,2.9456,10,expansion_decay,0,10093.45,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2625,0.9348,0.6988,2,OTHER,1.0,agg_correlation
247a011b-a7a7-4bcc-9aeb-d86087ffb9b2,NMRUSDT,LONG,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:44:59.999000+00:00,9.35287,9.526201,745.054094,1,0.135473,170.6821,1.2935,4.7327,25,vol_trail,1,10153.28,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1393,2.3557,0.6448,1,OTHER,1.0,agg_correlation
7da1caf7-30eb-4fb8-a260-6d878f168203,NMRUSDT,LONG,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.790958,9.613514,578.466769,1,0.175521,-105.1478,-1.0,5.0512,15,stop_loss,0,10045.59,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2019,0.1085,0.6994,2,OTHER,1.0,agg_correlation
a5b98f7a-e706-4cc2-8eae-0f310e83a694,NMRUSDT,LONG,2026-02-02T21:59:59.999000+00:00,2026-02-02T22:24:59.999000+00:00,9.816963,9.670036,1385.670737,2,0.144992,-209.622,-1.0,12.1512,5,stop_loss,0,9829.84,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1033,0.1451,0.7385,4,OTHER,1.0,agg_correlation
59dace06-062b-40e5-ba0f-7f36e6f4eb41,UNIUSDT,LONG,2026-02-13T01:49:59.999000+00:00,2026-02-13T05:44:59.999000+00:00,3.278656,3.29934,2787.507904,1,0.035264,53.5193,0.6053,8.2513,47,expansion_decay,0,9879.25,"{'breakout': True, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",5,-0.9827,0.8889,0.6637,1,DEFI,1.0,agg_correlation
c858bae3-7fdb-4657-a31d-4dc8d6358335,UNIUSDT,LONG,2026-02-13T06:54:59.999000+00:00,2026-02-13T07:34:59.999000+00:00,3.288658,3.317336,2853.170275,1,0.034169,77.5663,0.8587,8.538,8,expansion_decay,0,9952.54,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1363,1.2977,0.6619,1,DEFI,1.0,agg_correlation
d359f968-89cf-4434-8bf2-54e78be7bf89,BNBUSDT,LONG,2026-02-13T10:19:59.999000+00:00,2026-02-13T11:34:59.999000+00:00,601.980372,598.283051,27.818726,2,3.57764,-110.3443,-1.0,15.0254,15,stop_loss,0,9834.66,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.0586,0.6817,1,OTHER,1.0,agg_correlation
2464bacd-b06f-4fa0-a5b9-65c1cd5d39a0,UNIUSDT,LONG,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:44:59.999000+00:00,3.343669,3.360328,6018.829633,3,0.03268,91.1675,0.5303,18.1576,8,expansion_decay,0,9916.77,"{'breakout': True, 'imb': True, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",6,-0.3571,1.3565,0.7688,5,DEFI,1.0,agg_correlation
130034fe-481d-4c75-9195-28c8c61ad2c4,BNBUSDT,LONG,2026-02-13T14:29:59.999000+00:00,2026-02-13T15:04:59.999000+00:00,598.739724,602.289518,21.08244,2,4.703806,69.1243,0.7803,11.3943,7,expansion_decay,0,9980.21,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.5378,1.3649,0.6237,1,OTHER,1.0,agg_correlation
9ecc050c-4970-45b6-9098-fc8a482e649f,UNIUSDT,LONG,2026-02-13T16:09:59.999000+00:00,2026-02-13T22:19:59.999000+00:00,3.472694,3.399436,2729.585355,1,0.072578,-204.1394,-1.0,8.4734,74,stop_loss,0,9771.78,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.0429,0.2798,0.7413,4,DEFI,1.0,agg_correlation
e63da0b7-36ed-43af-9fe9-b24ddd7103b0,ZECUSDT,LONG,2026-02-14T00:34:59.999000+00:00,2026-02-14T00:44:59.999000+00:00,270.664122,272.587539,59.311197,2,3.295087,389.5746,0.6003,10.8617,2,vol_trail,1,9817.96,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1105,3.4402,0.7663,5,OTHER,1.0,agg_correlation
