uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,conf,conf_count,mae,mfe,aggression_score,aggression_decile,sector,regime_score,label
5a2513e2-80f0-4080-b032-d27ddb45bd3c,NMRUSDT,LONG,2026-02-02T00:44:59.999000+00:00,2026-02-02T03:19:59.999000+00:00,8.855771,8.679849,358.811898,1,0.174186,-64.5245,-1.0,2.8314,31,stop_loss,0,9934.05,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2215,0.7936,0.6251,1,OTHER,0.625,full_stack
e3bf52c1-f7e0-46a4-a144-cc4838f85454,NMRUSDT,LONG,2026-02-02T06:44:59.999000+00:00,2026-02-02T08:54:59.999000+00:00,8.963792,9.25581,223.906093,1,0.277294,94.6071,1.0598,1.3695,26,vol_trail,1,9965.37,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2625,2.0094,0.6988,2,OTHER,0.625,full_stack
eea0e09c-d36c-4610-b92d-d5c214903ce7,NMRUSDT,LONG,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:44:59.999000+00:00,9.35287,9.526201,459.749942,1,0.135473,105.3227,1.2935,2.9204,25,vol_trail,1,10002.29,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1393,2.3557,0.6448,1,OTHER,0.625,full_stack
1ebd0c73-a7b6-4806-ba17-e21de016f233,NMRUSDT,LONG,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.790958,9.613514,356.165152,1,0.175521,-64.7401,-1.0,3.11,15,stop_loss,0,9935.98,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2019,0.1085,0.6994,2,OTHER,0.625,full_stack
0251cd9a-1312-4955-b821-b50af09dc415,NMRUSDT,LONG,2026-02-02T21:59:59.999000+00:00,2026-02-02T22:24:59.999000+00:00,9.816963,9.670036,856.595018,1,0.144992,-129.5843,-1.0,7.5116,5,stop_loss,0,9802.61,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1033,0.1451,0.7385,4,OTHER,0.625,full_stack
d59e87c9-04da-4d45-a9cd-e453bc3cafaa,UNIUSDT,LONG,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:39:59.999000+00:00,3.278656,3.307338,1737.36634,1,0.035264,47.2468,0.8321,5.149,70,expansion_decay,0,9847.3,"{'breakout': True, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",5,-0.9827,1.5411,0.6637,1,DEFI,0.625,full_stack
ebb60e15-cd0e-4252-b056-a4cc4d99ab0c,BNBUSDT,LONG,2026-02-13T10:19:59.999000+00:00,2026-02-13T11:34:59.999000+00:00,601.980372,598.283051,17.202852,2,3.57764,-68.2359,-1.0,9.2916,15,stop_loss,0,9774.4,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.0586,0.6817,1,OTHER,0.625,full_stack
24591f1a-dbdc-4202-9664-bd8e78e2989b,UNIUSDT,LONG,2026-02-13T13:04:59.999000+00:00,2026-02-13T14:44:59.999000+00:00,3.343669,3.372489,3738.720357,2,0.03268,197.4687,0.9026,8.4624,20,vol_trail,1,9816.32,"{'breakout': True, 'imb': True, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",6,-0.3571,2.3969,0.7688,5,DEFI,0.625,full_stack
63c1725a-a97f-45ae-9d38-377090c77c17,BNBUSDT,LONG,2026-02-13T14:29:59.999000+00:00,2026-02-13T15:49:59.999000+00:00,598.739724,607.538468,12.979885,1,4.703806,116.7257,1.8964,5.2715,16,expansion_decay,1,9871.65,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.5378,3.561,0.6237,1,OTHER,0.625,full_stack
5fc6c98a-2563-4519-b9fc-bc44d398808c,UNIUSDT,LONG,2026-02-13T16:09:59.999000+00:00,2026-02-13T22:19:59.999000+00:00,3.472694,3.399436,1700.180732,1,0.072578,-127.1526,-1.0,5.2577,74,stop_loss,0,9741.84,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.0429,0.2798,0.7413,4,DEFI,0.625,full_stack
