symbol,ts,tier,direction,share,hour,fwd_1h,fwd_2h,fwd_4h,fwd_8h,fwd_24h,dd_24h,ru_24h
FILUSDT,1767286800,0.2,short_dom,0.2245,17,-0.84651162790697,-1.1720930232558147,-2.3441860465116147,-3.906976744186034,-5.339534883720918,-7.748837209302322,0.6511627906976748
ADAUSDT,1767294000,0.2,short_dom,0.2736,19,-0.9722222222222253,-1.847222222222239,-1.458333333333338,4.18055555555559,29.65277777777787,-3.402777777777789,34.70833333333342
WLDUSDT,1767304800,0.1,short_dom,0.1344,22,-1.2115384615384817,-3.3653846153846296,-1.548076923076982,1.7499999999999625,21.875000000000057,-4.913461538461611,23.49038461538465
CHZUSDT,1767315600,0.35,short_dom,0.3536,1,-0.46153846153846656,0.6593406593406491,3.7802197802197863,2.02197802197802,2.6813186813186842,-1.846153846153851,7.296703296703304
ADAUSDT,1767322800,0.35,short_dom,0.4652,3,-2.0231213872832345,-3.398843930635861,-5.421965317919096,-1.3757225433526263,29.132947976878533,-5.745664739884377,29.861271676300504
WLDUSDT,1767322800,0.2,short_dom,0.3225,3,-0.7046979865771547,-0.09395973154361366,-2.395973154362409,-0.7046979865771547,18.46308724832212,-2.9597315436241436,19.167785234899327
CHZUSDT,1767330000,0.35,short_dom,0.6171,5,-1.5040000000000076,-0.11200000000000115,-1.2800000000000054,-2.4320000000000044,-0.8000000000000019,-2.624000000000008,0.8800000000000043
ENAUSDT,1767344400,0.35,short_dom,0.4712,9,0.8383233532934184,-1.8443113772455253,0.3353293413173534,7.4610778443114105,8.718562874251539,-3.0179640718562974,14.41916167664678
ARBUSDT,1767344400,0.35,short_dom,1.1777,9,-0.35897435897435387,-2.6324786324786174,-1.7948717948717694,2.3931623931624033,3.1111111111111445,-4.42735042735042,9.572649572649613
ADAUSDT,1767344400,0.2,short_dom,0.2683,9,-0.30973451327433493,-2.7876106194690142,-0.371681415929195,14.681415929203462,13.814159292035317,-4.3362831858406885,21.123893805309635
ENAUSDT,1767362400,0.35,short_dom,0.5413,14,1.298969072164953,2.9347079037800676,2.116838487972517,4.426116838487982,3.4158075601374565,-1.3470790378006865,6.30240549828179
ADAUSDT,1767362400,0.2,short_dom,0.2194,14,1.329608938547472,8.134078212290511,5.357541899441346,10.324022346368723,7.234636871508377,-1.2905027932961013,12.083798882681577
NEARUSDT,1767362400,0.35,short_dom,0.5231,14,0.0,2.4594594594594668,3.1216216216216415,4.635135135135159,5.202702702702728,-1.4189189189189126,7.75675675675678
1000LUNCUSDT,1767366000,0.1,short_dom,0.1829,15,0.12556053811658666,0.816143497757835,4.959641255605369,10.923766816143475,17.39013452914793,-1.6950672645739853,19.461883408071717
ARBUSDT,1767369600,0.1,short_dom,0.1181,16,-0.6631578947368493,-0.8105263157894643,0.5894736842105214,1.2526315789473708,2.357894736842106,-1.9157894736841996,3.7578947368420916
WLDUSDT,1767369600,0.2,short_dom,0.2224,16,-0.8964218455743727,-1.212806026365326,-1.2919020715630865,1.2919020715630865,11.073446327683572,-2.1355932203389716,13.340866290018763
FETUSDT,1767369600,0.2,short_dom,0.2542,16,1.0666666666666778,0.9333333333333408,1.9333333333333407,3.866666666666663,5.866666666666663,-0.13333333333331854,9.600000000000007
DOTUSDT,1767380400,0.35,short_dom,0.3664,19,-1.589189189189178,0.5297297297297372,3.9351351351351282,3.708108108108093,1.6648648648648452,-2.6486486486486522,8.021621621621591
FILUSDT,1767384000,0.1,short_dom,0.1678,20,0.19178082191782803,3.6438356164383494,7.479452054794442,11.698630136986191,1.9178082191780674,-4.602739726027362,19.561643835616287
WLDUSDT,1767387600,0.35,short_dom,0.8357,21,3.499999999999981,3.989999999999924,4.68999999999992,20.019999999999843,18.269999999999893,-0.35000000000003695,34.92999999999974
DOTUSDT,1767398400,0.1,short_dom,0.1408,0,-1.600000000000005,-1.9999999999999913,-2.9333333333333425,-4.666666666666666,-4.066666666666672,-5.599999999999988,0.40000000000001606
XLMUSDT,1767398400,0.2,short_dom,0.3012,0,0.26312880044223874,0.5572139303482576,3.28911000552792,-3.0027639579878356,1.7722498618020908,-4.8214483139856394,3.6064123825317846
FILUSDT,1767405600,0.35,short_dom,0.8741,2,-1.2081218274111563,-1.5634517766497418,-3.7664974619289153,-6.609137055837537,-5.187817258883226,-7.604060913705554,0.2131979695431545
ARBUSDT,1767405600,0.1,short_dom,0.154,2,4.888888888888884,2.2222222222222143,-2.888888888888866,-8.444444444444402,3.3333333333333215,-11.555555555555465,5.7777777777777946
FETUSDT,1767409200,0.2,short_dom,0.2239,3,-0.8672566371681488,0.24778761061947602,-9.044247787610617,-7.061946902654877,14.0,-11.15044247787611,26.14159292035398
XLMUSDT,1767412800,0.35,short_dom,1.0788,4,-3.771790808240914,-7.654516640253607,-9.019017432646617,-9.107765451664045,0.8985736925515139,-11.625990491283728,2.4183835182250326
WLDUSDT,1767420000,0.35,short_dom,0.3701,6,-1.621184919210039,-1.5080789946139874,-0.904847396768398,-0.8043087971274618,1.7971274685816947,-2.350089766606809,2.815080789946144
ARBUSDT,1767423600,0.2,long_dom,0.2426,7,0.9655172413793068,1.568965517241378,0.48275862068963665,2.5344827586206846,6.275862068965512,-1.206896551724142,9.775862068965536
CHZUSDT,1767445200,0.35,long_dom,0.3529,13,-3.3426966292135094,-2.713483146067438,-0.9831460674157348,-0.9831460674157348,-3.9719101123595535,-5.112359550561827,3.5786516853932757
1000LUNCUSDT,1767452400,0.1,short_dom,0.1067,15,-1.784615384615374,2.1538461538461706,3.4153846153846112,4.584615384615396,3.6615384615384685,-2.6769230769230608,7.815384615384608
CHZUSDT,1767466800,0.1,long_dom,0.1777,19,-0.18502202643169016,-0.4933920704845642,-0.12334801762114105,1.0484581497797631,-4.933920704845813,-6.969162995594747,3.3920704845815286
RENDERUSDT,1767470400,0.2,short_dom,0.301,20,-0.44637681159419884,3.692753623188405,4.098550724637681,4.6260869565217435,8.400000000000004,-1.1768115942028952,11.524637681159422
WLDUSDT,1767477600,0.35,short_dom,0.4305,22,-0.7752442996742898,-0.31921824104236357,-0.09120521172637512,1.3224755700325912,5.061889250814376,-3.8306188925082107,10.397394136807877
FETUSDT,1767484800,0.2,short_dom,0.34,0,0.3540856031128389,-0.24513618677042343,-0.3540856031128389,0.27237354085603105,6.7003891050583615,-0.871595330739301,7.326848249027224
FILUSDT,1767484800,0.2,short_dom,0.2028,0,0.1728395061728594,-2.0740740740740824,-2.419753086419763,3.6296296296296253,0.6913580246913609,-6.049382716049388,4.839506172839526
ENAUSDT,1767484800,0.35,short_dom,0.5129,0,-0.5860465116279158,-1.56279069767443,-1.4325581395348912,-1.237209302325592,4.948837209302331,-3.0604651162790812,7.097674418604659
TONUSDT,1767492000,0.1,short_dom,0.1311,2,1.2325581395349021,1.6511627906976982,0.9302325581395351,-0.16279069767440058,6.2790697674418885,-4.604651162790704,9.837209302325576
ADAUSDT,1767492000,0.35,short_dom,0.3965,2,5.799999999999967,4.0,0.6999999999999778,9.5,10.5,-1.3000000000000222,14.199999999999978
ARBUSDT,1767495600,0.1,short_dom,0.1276,3,-1.1914893617021214,0.29787234042554067,-2.6808510638297838,-0.29787234042549937,8.340425531914933,-5.0638297872340265,12.063829787234088
XLMUSDT,1767513600,0.2,short_dom,0.2044,8,3.2291021671826536,5.417956656346771,4.7244582043343835,5.84055727554182,2.2647058823529274,-0.8018575851393414,7.108359133126938
