rule,symbol,ts,entry_time,side,tier,share,pnl_r,exit_reason
squeeze_long,FILUSDT,1767286800,2026-01-01T18:00:00+00:00,long,0.2,0.2245,-1.0433,stop
squeeze_long,ADAUSDT,1767294000,2026-01-01T20:00:00+00:00,long,0.2,0.2736,-1.1508,stop
squeeze_long,CHZUSDT,1767315600,2026-01-02T02:00:00+00:00,long,0.35,0.3536,0.6403,time
squeeze_long,WLDUSDT,1767322800,2026-01-02T04:00:00+00:00,long,0.2,0.3225,-1.1072,stop
squeeze_long,ADAUSDT,1767322800,2026-01-02T04:00:00+00:00,long,0.35,0.4652,-1.127,stop
squeeze_long,CHZUSDT,1767330000,2026-01-02T06:00:00+00:00,long,0.35,0.6171,-0.8364,time
squeeze_long,ADAUSDT,1767344400,2026-01-02T10:00:00+00:00,long,0.2,0.2683,-1.098,stop
squeeze_long,ARBUSDT,1767344400,2026-01-02T10:00:00+00:00,long,0.35,1.1777,-1.1055,stop
squeeze_long,ENAUSDT,1767344400,2026-01-02T10:00:00+00:00,long,0.35,0.4712,2.4333,time
squeeze_long,ENAUSDT,1767362400,2026-01-02T15:00:00+00:00,long,0.35,0.5413,1.4116,time
squeeze_long,ADAUSDT,1767362400,2026-01-02T15:00:00+00:00,long,0.2,0.2194,3.392,time
squeeze_long,NEARUSDT,1767362400,2026-01-02T15:00:00+00:00,long,0.35,0.5231,1.478,time
squeeze_long,WLDUSDT,1767369600,2026-01-02T17:00:00+00:00,long,0.2,0.2224,0.3679,time
squeeze_long,FETUSDT,1767369600,2026-01-02T17:00:00+00:00,long,0.2,0.2542,1.2466,time
squeeze_long,DOTUSDT,1767380400,2026-01-02T20:00:00+00:00,long,0.35,0.3664,1.192,time
squeeze_long,WLDUSDT,1767387600,2026-01-02T22:00:00+00:00,long,0.35,0.8357,6.5298,time
squeeze_long,XLMUSDT,1767398400,2026-01-03T01:00:00+00:00,long,0.2,0.3012,-1.0748,stop
squeeze_long,FILUSDT,1767405600,2026-01-03T03:00:00+00:00,long,0.35,0.8741,-1.048,stop
squeeze_long,FETUSDT,1767409200,2026-01-03T04:00:00+00:00,long,0.2,0.2239,-1.1258,stop
squeeze_long,XLMUSDT,1767412800,2026-01-03T05:00:00+00:00,long,0.35,1.0788,-1.1093,stop
squeeze_long,WLDUSDT,1767420000,2026-01-03T07:00:00+00:00,long,0.35,0.3701,-0.2994,time
cascade_short,ARBUSDT,1767423600,2026-01-03T08:00:00+00:00,short,0.2,0.2426,-1.1071,stop
cascade_short,CHZUSDT,1767445200,2026-01-03T14:00:00+00:00,short,0.35,0.3529,-1.078,stop
cascade_short,CHZUSDT,1767466800,2026-01-03T20:00:00+00:00,short,0.1,0.1777,-1.1219,stop
squeeze_long,RENDERUSDT,1767470400,2026-01-03T21:00:00+00:00,long,0.2,0.301,1.4982,time
squeeze_long,WLDUSDT,1767477600,2026-01-03T23:00:00+00:00,long,0.35,0.4305,-1.1159,stop
squeeze_long,ENAUSDT,1767484800,2026-01-04T01:00:00+00:00,long,0.35,0.5129,-0.459,time
squeeze_long,FILUSDT,1767484800,2026-01-04T01:00:00+00:00,long,0.2,0.2028,-1.1121,stop
squeeze_long,FETUSDT,1767484800,2026-01-04T01:00:00+00:00,long,0.2,0.34,0.0708,time
squeeze_long,ADAUSDT,1767492000,2026-01-04T03:00:00+00:00,long,0.35,0.3965,2.9961,time
squeeze_long,XLMUSDT,1767513600,2026-01-04T09:00:00+00:00,long,0.2,0.2044,1.8353,time
squeeze_long,CHZUSDT,1767513600,2026-01-04T09:00:00+00:00,long,0.35,1.2896,-1.1152,stop
cascade_short,CHZUSDT,1767531600,2026-01-04T14:00:00+00:00,short,0.1,0.1147,-1.1235,stop
squeeze_long,RENDERUSDT,1767574800,2026-01-05T02:00:00+00:00,long,0.35,0.5589,-0.3014,time
squeeze_long,1000LUNCUSDT,1767578400,2026-01-05T03:00:00+00:00,long,0.35,0.3578,-1.087,stop
squeeze_long,NEARUSDT,1767596400,2026-01-05T08:00:00+00:00,long,0.35,0.945,-1.0963,stop
squeeze_long,RENDERUSDT,1767621600,2026-01-05T15:00:00+00:00,long,0.2,0.226,-1.0268,stop
squeeze_long,ENAUSDT,1767625200,2026-01-05T16:00:00+00:00,long,0.35,0.6097,0.6323,time
squeeze_long,ADAUSDT,1767625200,2026-01-05T16:00:00+00:00,long,0.2,0.2134,0.9039,time
squeeze_long,FILUSDT,1767628800,2026-01-05T17:00:00+00:00,long,0.2,0.2483,-0.4939,time
squeeze_long,XLMUSDT,1767636000,2026-01-05T19:00:00+00:00,long,0.35,0.3887,2.3075,time
squeeze_long,ARBUSDT,1767650400,2026-01-05T23:00:00+00:00,long,0.2,0.2677,-1.1374,stop
squeeze_long,1000LUNCUSDT,1767682800,2026-01-06T08:00:00+00:00,long,0.2,0.2572,0.8211,time
cascade_short,CHZUSDT,1767682800,2026-01-06T08:00:00+00:00,short,0.35,0.4544,-1.1135,stop
squeeze_long,NEARUSDT,1767700800,2026-01-06T13:00:00+00:00,long,0.2,0.3201,-1.0902,stop
squeeze_long,ARBUSDT,1767708000,2026-01-06T15:00:00+00:00,long,0.2,0.2439,-1.0649,stop
squeeze_long,ENAUSDT,1767708000,2026-01-06T15:00:00+00:00,long,0.2,0.2188,-1.0469,stop
squeeze_long,ADAUSDT,1767708000,2026-01-06T15:00:00+00:00,long,0.35,0.495,-1.0563,stop
cascade_short,APTUSDT,1767711600,2026-01-06T16:00:00+00:00,short,0.1,0.1264,-1.0615,stop
cascade_short,CHZUSDT,1767711600,2026-01-06T16:00:00+00:00,short,0.2,0.2061,-1.0174,time
cascade_short,XLMUSDT,1767715200,2026-01-06T17:00:00+00:00,short,0.35,0.4758,0.0162,time
squeeze_long,FETUSDT,1767729600,2026-01-06T21:00:00+00:00,long,0.35,0.4294,-1.0704,stop
cascade_short,ARBUSDT,1767744000,2026-01-07T01:00:00+00:00,short,0.1,0.1549,-1.1465,stop
cascade_short,XLMUSDT,1767794400,2026-01-07T15:00:00+00:00,short,0.1,0.1718,1.1604,time
cascade_short,RUNEUSDT,1767798000,2026-01-07T16:00:00+00:00,short,0.1,0.1623,-0.4052,time
cascade_short,APTUSDT,1767798000,2026-01-07T16:00:00+00:00,short,0.2,0.2029,-0.2923,time
cascade_short,PENDLEUSDT,1767798000,2026-01-07T16:00:00+00:00,short,0.35,0.4217,-0.4585,time
cascade_short,XLMUSDT,1767823200,2026-01-07T23:00:00+00:00,short,0.1,0.1853,-1.148,stop
cascade_short,RENDERUSDT,1767826800,2026-01-08T00:00:00+00:00,short,0.1,0.1678,0.4067,time
squeeze_long,1000LUNCUSDT,1767844800,2026-01-08T05:00:00+00:00,long,0.2,0.2208,-1.1215,stop
cascade_short,UNIUSDT,1767852000,2026-01-08T07:00:00+00:00,short,0.35,0.4076,-1.0792,stop
cascade_short,RUNEUSDT,1767852000,2026-01-08T07:00:00+00:00,short,0.1,0.1743,-1.1195,stop
cascade_short,ARBUSDT,1767852000,2026-01-08T07:00:00+00:00,short,0.1,0.1362,-1.0967,stop
cascade_short,XLMUSDT,1767852000,2026-01-08T07:00:00+00:00,short,0.35,0.5977,-1.1093,stop
cascade_short,RENDERUSDT,1767862800,2026-01-08T10:00:00+00:00,short,0.1,0.1025,-1.0726,stop
cascade_short,XLMUSDT,1767866400,2026-01-08T11:00:00+00:00,short,0.1,0.1045,-1.1278,stop
cascade_short,APTUSDT,1767866400,2026-01-08T11:00:00+00:00,short,0.1,0.1012,0.2353,time
cascade_short,ARBUSDT,1767866400,2026-01-08T11:00:00+00:00,short,0.1,0.1941,-1.1104,stop
squeeze_long,WLDUSDT,1767877200,2026-01-08T14:00:00+00:00,long,0.2,0.2336,-1.137,stop
cascade_short,CHZUSDT,1767877200,2026-01-08T14:00:00+00:00,short,0.2,0.2034,-1.0667,stop
cascade_short,ARBUSDT,1767880800,2026-01-08T15:00:00+00:00,short,0.1,0.134,-1.0737,stop
squeeze_long,RENDERUSDT,1767884400,2026-01-08T16:00:00+00:00,long,0.35,0.8543,-1.0298,stop
squeeze_long,1000LUNCUSDT,1767888000,2026-01-08T17:00:00+00:00,long,0.2,0.2783,0.4582,time
cascade_short,APTUSDT,1767902400,2026-01-08T21:00:00+00:00,short,0.1,0.1001,-1.1326,stop
cascade_short,RENDERUSDT,1767920400,2026-01-09T02:00:00+00:00,short,0.1,0.1452,-1.0518,stop
cascade_short,TONUSDT,1767945600,2026-01-09T09:00:00+00:00,short,0.1,0.1264,0.1241,time
cascade_short,PENDLEUSDT,1767945600,2026-01-09T09:00:00+00:00,short,0.1,0.1163,-1.0924,stop
cascade_short,TONUSDT,1767960000,2026-01-09T13:00:00+00:00,short,0.1,0.1836,-1.1209,stop
squeeze_long,FETUSDT,1767970800,2026-01-09T16:00:00+00:00,long,0.2,0.3053,-1.04,stop
