uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,btc_aligned,conf,conf_count,mae,mfe,quality,is_ny,pyramid_adds,sector,label
d1607724-bc84-458d-b320-9dc31c8aeaa0,NMRUSDT,LONG,2026-02-02T00:44:59.999000+00:00,2026-02-02T01:39:59.999000+00:00,8.855771,8.941211,2296.396144,3,0.174186,186.9658,0.5008,18.391,11,expansion_decay,0,10177.81,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3546,0.7936,0.5,False,0,OTHER,relax_ret5d
41857b91-4ec2-4872-9d18-a4d79a8d4ca0,NMRUSDT,LONG,2026-02-02T06:44:59.999000+00:00,2026-02-02T07:34:59.999000+00:00,8.963792,9.107178,1468.162968,2,0.277294,204.4969,0.5237,11.939,10,expansion_decay,0,10376.39,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2625,0.9348,0.5,False,0,OTHER,relax_ret5d
915933a9-b027-4664-ac33-431d5f06feec,NMRUSDT,LONG,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:44:59.999000+00:00,9.35287,9.526201,4595.637965,5,0.135473,776.8647,1.2935,39.0426,25,vol_trail,0,11133.91,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1393,2.3557,0.5,True,0,OTHER,relax_ret5d
28c20aa5-bf3e-40f0-8e58-77b3784aa958,NMRUSDT,LONG,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.790958,9.613514,1903.009217,2,0.175521,-345.9096,-1.0,16.6171,15,stop_loss,0,10779.62,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2019,0.1085,0.5,True,0,OTHER,relax_ret5d
869c7ac4-62ce-46c5-ba74-b6d8a59b871d,NMRUSDT,LONG,2026-02-02T21:59:59.999000+00:00,2026-02-02T22:24:59.999000+00:00,9.816963,9.670036,4460.764496,5,0.144992,-674.817,-1.0,39.1171,5,stop_loss,0,10085.09,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1033,0.1451,0.5,True,0,OTHER,relax_ret5d
a52f2715-8b8d-4e43-a351-5f45feedf077,ETHUSDT,LONG,2026-02-06T01:49:59.999000+00:00,2026-02-06T05:54:59.999000+00:00,1939.077738,1946.631575,6.616323,2,60.970989,44.1828,0.1303,11.5691,49,vol_trail,0,10123.5,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.9919,0.5864,0.5,False,0,OTHER,relax_ret5d
8e1f98ae-cf90-4017-b898-4c53f67d3049,ETHUSDT,LONG,2026-02-06T13:14:59.999000+00:00,2026-02-06T14:49:59.999000+00:00,1942.218366,1982.85335,24.708463,5,23.564814,1227.8171,1.7412,33.5518,19,expansion_decay,1,10591.97,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.4336,2.531,0.5,True,0,OTHER,relax_ret5d
ae1483e3-d9d7-41fe-ada3-4112bcba595f,ETHUSDT,LONG,2026-02-06T16:24:59.999000+00:00,2026-02-06T16:59:59.999000+00:00,2013.25257,2034.533012,17.447284,4,36.425037,355.3122,0.5954,31.7803,7,expansion_decay,0,10931.47,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.114,0.9334,0.5,True,0,OTHER,relax_ret5d
c05b7b23-ec2b-48e0-b049-ab3e3c90e4a2,ETHUSDT,LONG,2026-02-06T23:29:59.999000+00:00,2026-02-07T00:39:59.999000+00:00,2069.833884,2038.725595,7.121373,2,30.700462,-228.0671,-1.0,13.1664,14,stop_loss,0,10696.77,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.2793,0.5,False,0,OTHER,relax_ret5d
2d8ce2b6-b732-448d-9c13-61dfe65a8a9b,XLMUSDT,LONG,2026-02-07T01:49:59.999000+00:00,2026-02-07T02:49:59.999000+00:00,0.163593,0.161578,215819.473071,4,0.001983,-450.5388,-1.0,31.5802,12,stop_loss,0,10230.35,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0404,0.039,0.5,False,0,L1,relax_ret5d
69857e77-29df-486b-b754-3884eacf2f29,XLMUSDT,LONG,2026-02-07T06:24:59.999000+00:00,2026-02-07T06:54:59.999000+00:00,0.163453,0.161693,118486.076003,2,0.001727,-217.0606,-1.0,17.3364,6,stop_loss,0,9998.03,0,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0265,0.3691,0.5,False,0,L1,relax_ret5d
059c63b0-c6c0-4adb-9d1d-4a34b31b84c0,CHZUSDT,LONG,2026-02-07T06:34:59.999000+00:00,2026-02-07T06:59:59.999000+00:00,0.042458,0.041853,342276.647465,2,0.000597,-213.7446,-1.0,12.986,5,stop_loss,0,9784.29,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.6048,0.17,0.5,False,0,OTHER,relax_ret5d
3374b403-6fb5-4cf3-b3ad-330b34d1516d,CHZUSDT,LONG,2026-02-07T12:09:59.999000+00:00,2026-02-07T13:24:59.999000+00:00,0.041888,0.042322,664957.746727,3,0.000572,275.3679,0.7726,25.57,15,expansion_decay,0,10024.72,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.347,1.3499,0.5,False,0,OTHER,relax_ret5d
747ac372-effa-4280-998e-430fcfa33789,UNIUSDT,LONG,2026-02-07T12:19:59.999000+00:00,2026-02-07T13:34:59.999000+00:00,3.563713,3.503852,6606.751596,3,0.05916,-405.903,-1.0,21.0121,15,stop_loss,0,9618.81,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2122,0.0556,0.5,False,0,DEFI,relax_ret5d
69d372be-4a45-4911-aa44-34825a969759,XLMUSDT,LONG,2026-02-07T12:19:59.999000+00:00,2026-02-07T14:39:59.999000+00:00,0.160782,0.15828,158039.311563,3,0.00247,-406.6918,-1.0,22.691,28,stop_loss,0,9212.12,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0452,0.1489,0.5,False,0,L1,relax_ret5d
3ce898bb-e083-4211-83c6-8e9ef1c52872,XLMUSDT,LONG,2026-02-07T16:14:59.999000+00:00,2026-02-07T18:34:59.999000+00:00,0.162122,0.163527,196182.738528,4,0.002814,261.1747,0.5109,28.7491,28,expansion_decay,0,9446.74,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-0.9107,0.8912,0.5,True,0,L1,relax_ret5d
8ea106ca-9042-49ad-b9e7-cd905ed9ccc2,CHZUSDT,LONG,2026-02-07T16:09:59.999000+00:00,2026-02-07T18:49:59.999000+00:00,0.043059,0.043553,609051.286002,3,0.000875,289.1503,0.5751,24.1794,32,vol_trail,0,9735.89,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-0.9701,1.179,0.5,True,0,OTHER,relax_ret5d
90d4e2fb-49a7-43f2-9b9e-08eda4acb4a9,UNIUSDT,LONG,2026-02-13T01:49:59.999000+00:00,2026-02-13T05:44:59.999000+00:00,3.278656,3.29934,11043.461263,4,0.035264,212.0311,0.6053,32.6897,47,expansion_decay,0,9931.63,1,"{'breakout': True, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",5,-0.9827,0.8889,0.5,False,0,DEFI,relax_ret5d
1bcc8c54-bf29-4fd1-bf56-5898228742d0,UNIUSDT,LONG,2026-02-13T06:54:59.999000+00:00,2026-02-13T07:34:59.999000+00:00,3.288658,3.317336,5734.109354,2,0.034169,155.8875,0.8587,17.1628,8,expansion_decay,0,10078.91,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1363,1.2977,0.5,False,0,DEFI,relax_ret5d
0169f116-eb6e-48a1-894d-abe8719ed201,BNBUSDT,LONG,2026-02-13T10:19:59.999000+00:00,2026-02-13T11:34:59.999000+00:00,601.980372,598.283051,111.02546,7,3.57764,-440.3878,-1.0,60.4172,15,stop_loss,0,9608.0,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.1014,0.0586,0.5,False,0,OTHER,relax_ret5d
a8a49d11-8641-4776-8ae2-a0fd7b57b3c4,UNIUSDT,LONG,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:44:59.999000+00:00,3.343669,3.360328,17640.343621,7,0.03268,267.1992,0.5303,53.2174,8,expansion_decay,0,9848.66,1,"{'breakout': True, 'imb': True, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",6,-0.3571,1.3565,0.5,True,0,DEFI,relax_ret5d
09c54b99-5f19-4e6f-8f29-324fc58d319b,BNBUSDT,LONG,2026-02-13T14:29:59.999000+00:00,2026-02-13T15:04:59.999000+00:00,598.739724,602.289518,62.411191,4,4.703806,204.6315,0.7803,33.8392,7,expansion_decay,0,10036.37,0,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.5378,1.3649,0.5,True,0,OTHER,relax_ret5d
1f006054-6024-48fd-aab9-5334daafae46,UNIUSDT,LONG,2026-02-13T16:09:59.999000+00:00,2026-02-13T22:19:59.999000+00:00,3.472694,3.399436,8227.73257,3,0.072578,-615.3332,-1.0,25.5522,74,stop_loss,0,9408.07,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.0429,0.2798,0.5,True,0,DEFI,relax_ret5d
04f0c2f4-7054-41c6-a023-fdbb23729751,ZECUSDT,LONG,2026-02-14T00:34:59.999000+00:00,2026-02-14T00:44:59.999000+00:00,270.664122,272.587539,57.103602,2,3.295087,375.0745,0.6003,10.4574,2,vol_trail,1,9452.53,0,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1105,3.4402,0.5,False,0,OTHER,relax_ret5d
447bdbf8-214b-444b-b564-193a32e2d5c3,ZECUSDT,LONG,2026-02-14T05:14:59.999000+00:00,2026-02-14T07:54:59.999000+00:00,283.836756,286.622664,31.629643,1,5.679349,84.0377,0.5006,8.3313,32,expansion_decay,0,9532.31,0,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-0.9925,0.888,0.5,False,0,OTHER,relax_ret5d
96bb0016-5674-4fbe-b175-9f435e69965b,ZECUSDT,LONG,2026-02-14T12:34:59.999000+00:00,2026-02-14T14:49:59.999000+00:00,286.0572,280.518353,69.544243,3,5.482732,-393.9737,-1.0,17.7309,27,stop_loss,0,9129.39,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0154,0.3252,0.5,False,0,OTHER,relax_ret5d
74120c1f-f104-4cab-a2ad-7e8b3665526d,ZECUSDT,LONG,2026-02-14T18:14:59.999000+00:00,2026-02-14T19:34:59.999000+00:00,288.917772,299.137296,54.953856,2,4.983846,737.1274,2.0625,10.8434,16,vol_trail,1,9399.34,0,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-0.1019,3.3593,0.5,True,0,OTHER,relax_ret5d
