trade_uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold_candles,exit_reason,tp1_hit,equity_after,btc_aligned,confirmations,confirm_count,mae,mfe,quality_score,is_ny,pyramid_adds,sector,label
a3cbb381-a69b-401e-99bf-c6a2a5561192,ZECUSDT,LONG,2026-01-02T00:24:59.999000+00:00,2026-01-02T01:39:59.999000+00:00,529.015782,524.921873,50.139086,3,3.988904,-217.1085,-1.0,23.7796,15,stop_loss,0,9770.96,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0569,0.1966,0.5,False,0,OTHER,restore_imbalance
1e67bf3f-680d-4c85-aff8-d6538e8907df,QNTUSDT,LONG,2026-01-02T02:49:59.999000+00:00,2026-01-02T04:14:59.999000+00:00,75.935184,77.105085,366.796936,3,0.530645,473.1717,2.2337,18.8972,17,vol_trail,1,9966.62,0,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.4244,3.5142,0.5,False,0,OTHER,restore_imbalance
d512e240-562d-487b-b02f-fec342b6832e,QNTUSDT,LONG,2026-01-02T12:34:59.999000+00:00,2026-01-02T14:19:59.999000+00:00,76.635324,76.046653,347.596753,3,0.573459,-216.5152,-1.0,23.8823,21,stop_loss,0,9738.11,0,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-1.509,0.0779,0.5,False,0,OTHER,restore_imbalance
f7f96052-71e4-4d25-ad71-3455923e7861,ZECUSDT,LONG,2026-01-02T16:24:59.999000+00:00,2026-01-02T19:44:59.999000+00:00,489.967974,483.343717,89.51064,5,6.527569,-612.4104,-1.0,39.2048,40,stop_loss,0,9087.17,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-1.2191,0.4047,0.5,True,0,OTHER,restore_imbalance
4aae60de-c26f-48d7-b0d2-35870e464b1a,QNTUSDT,LONG,2026-01-02T16:34:59.999000+00:00,2026-01-02T19:54:59.999000+00:00,78.06561,78.187968,535.108403,5,1.089691,46.6473,0.1266,37.6257,40,vol_trail,0,9133.82,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.8494,0.8391,0.5,True,0,OTHER,restore_imbalance
19f9b7df-dbd9-438b-bc99-517f1af26c1d,QNTUSDT,LONG,2026-01-02T19:54:59.999000+00:00,2026-01-03T00:09:59.999000+00:00,78.835764,79.394118,355.422494,4,0.770954,185.7533,0.7448,25.3073,51,expansion_decay,0,9287.52,0,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-0.5393,1.0821,0.5,True,0,OTHER,restore_imbalance
2c0ce24e-4418-4030-9560-36224aa0a00e,ZECUSDT,LONG,2026-01-02T22:59:59.999000+00:00,2026-01-03T00:24:59.999000+00:00,488.54769,491.161748,88.41575,5,4.126508,211.582,0.6573,38.9798,17,expansion_decay,0,9499.11,1,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.3557,1.3116,0.5,False,0,OTHER,restore_imbalance
d1604096-9973-49d7-956c-22a902c4623f,NMRUSDT,LONG,2026-01-04T13:54:59.999000+00:00,2026-01-04T16:09:59.999000+00:00,10.006001,10.04599,9020.541969,10,0.06072,319.9487,0.6917,81.3959,27,expansion_decay,0,9778.44,1,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.807,1.054,0.5,True,0,OTHER,restore_imbalance
a156854e-ca5e-4a8a-9874-adb6eaf2b31e,NMRUSDT,LONG,2026-01-04T20:14:59.999000+00:00,2026-01-04T20:49:59.999000+00:00,10.146029,10.417916,6857.63507,8,0.085555,1793.8556,3.2023,47.3845,7,expansion_decay,1,10663.3,1,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-0.1172,4.8153,0.5,True,0,OTHER,restore_imbalance
23acc1be-3fbb-4f6f-b21d-a81bdea9d677,NMRUSDT,LONG,2026-01-05T07:59:59.999000+00:00,2026-01-05T08:39:59.999000+00:00,10.320064,10.218038,4266.092032,5,0.099982,-454.8681,-1.0,39.4278,8,stop_loss,0,10188.62,1,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-1.0408,1.0396,0.5,False,0,OTHER,restore_imbalance
