config,atr_mult,vol_z_skip,trades,skips,wr,net_r,avg_r,pf,net_usd,max_dd,equity_final
ATR2.5_VZ0.0,2.5,0.0,222,0,64.4,121.2163,0.5460,2.75,434257,23.6,377352
ATR2.5_VZ0.5,2.5,0.5,212,76,64.2,117.7094,0.5552,2.77,419225,28.5,367075
ATR2.5_VZ1.0,2.5,1.0,202,124,61.4,96.3212,0.4768,2.44,202510,36.1,179764
ATR2.5_VZ1.5,2.5,1.5,194,182,60.8,69.6738,0.3591,2.06,79000,36.0,74717
ATR3.0_VZ0.0,3.0,0.0,228,0,66.2,100.6109,0.4413,2.59,242624,21.0,213974
ATR3.0_VZ0.5,3.0,0.5,217,78,66.8,98.8729,0.4556,2.68,245058,22.5,218257
ATR3.0_VZ1.0,3.0,1.0,206,124,64.6,83.1148,0.4035,2.44,145283,22.5,132202
ATR3.0_VZ1.5,3.0,1.5,197,187,65.5,65.8266,0.3341,2.23,78219,22.5,75566
ATR3.5_VZ0.0,3.5,0.0,239,0,69.0,95.5108,0.3996,2.66,227201,25.4,206042
ATR3.5_VZ0.5,3.5,0.5,222,81,68.9,85.0530,0.3831,2.57,164481,22.4,149445
ATR3.5_VZ1.0,3.5,1.0,215,131,67.9,73.6892,0.3427,2.42,112683,22.4,104740
ATR3.5_VZ1.5,3.5,1.5,205,198,68.3,57.5442,0.2807,2.18,61059,22.8,60787
ATR4.0_VZ0.0,4.0,0.0,245,0,70.6,85.2588,0.3480,2.58,163192,27.3,153692
ATR4.0_VZ0.5,4.0,0.5,226,83,70.4,73.1724,0.3238,2.44,110134,23.8,104245
ATR4.0_VZ1.0,4.0,1.0,224,135,68.8,65.3108,0.2916,2.37,85345,23.2,82423
ATR4.0_VZ1.5,4.0,1.5,209,201,68.4,57.0012,0.2727,2.28,62214,20.4,62648
