symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,179.26,vol_trail,2,68.2,20,-0.4928,1.2942,0.04,0.1005,10172.73,2.5,4.927603585043651
NMRUSDT,2026-02-02T18:54:59.999000+00:00,2026-02-02T20:09:59.999000+00:00,9.7909578,9.617783858440001,-1.0365,-421.76,stop_loss,1,60.6,15,-1.1793,0.0,0.04,0.06849999999999959,9740.5,2.5,1.0248120111562755
UNIUSDT,2026-02-13T07:14:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.3276654,3.290042974062857,-1.0579,-412.16,stop_loss,3,71.3,6,-1.1272,0.0091,0.04,0.014785714285714307,9312.55,2.5,2.147889167464514
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1103.61,vol_trail,2,68.6,46,0.0,3.7242,0.04,2.0257142857142867,10396.35,2.5,3.9489241811713396
ZECUSDT,2026-02-14T19:44:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,307.681524,308.63254685714287,0.1114,46.32,vol_trail,2,70.2,5,0.0,1.4824,0.04,2.9164285714285785,10434.77,2.5,2.7392921329878495
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,2.1392,892.86,vol_trail,8,82.1,33,-0.1554,2.8047,0.04,0.6621428571428579,11306.49,2.5,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.5633,254.76,vol_trail,3,72.8,7,-0.2823,1.1431,0.04,2.3235714285714346,11550.78,2.5,2.7018968573505773
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:04:59.999000+00:00,194.08881000000002,191.288044738,-1.045,-482.83,stop_loss,8,82.4,5,-0.8864,0.2104,0.04,1.105000000000002,11053.34,2.5,1.785052037664406
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,2.1001,928.52,vol_trail,5,75.8,1,0.0,3.0963,0.04,0.0037142857142857494,11924.72,2.5,3.5814344994456833
APTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.8336667,0.8417030542857143,1.4106,622.17,vol_trail,2,70.4,1,0.0,3.0824,0.04,0.0021714285714285702,12546.89,2.5,1.3528408307646995
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0243,-12.22,vol_trail,9,84.0,14,-0.3305,0.1427,0.04,0.0005071428571428538,12517.73,2.5,4.526975179655015
DOTUSDT,2026-02-25T11:24:59.999000+00:00,2026-02-25T11:29:59.999000+00:00,1.3532705999999999,1.3537291999999999,-0.007,-3.49,vol_trail,5,76.1,1,-0.3365,0.0,0.04,0.008642857142857206,12500.13,2.5,2.6164197513592193
APTUSDT,2026-02-25T12:29:59.999000+00:00,2026-02-25T17:59:59.999000+00:00,0.8848769400000001,0.9860241842857143,10.2909,5145.49,vol_trail,1,66.4,66,-0.4166,12.4184,0.04,0.003914285714285727,17596.19,2.5,2.549501072318156
ARBUSDT,2026-02-25T12:49:59.999000+00:00,2026-02-25T19:14:59.999000+00:00,0.09611922,0.10202959,5.4735,2732.32,vol_trail,1,60.9,77,0.0,6.7021,0.04,0.00042857142857142893,20328.52,2.5,0.6988881311146129
DOTUSDT,2026-02-25T14:59:59.999000+00:00,2026-02-25T22:39:59.999000+00:00,1.5073013999999998,1.6691661,4.2558,2121.04,vol_trail,1,62.8,92,-0.0344,6.1468,0.04,0.015142857142857125,22449.56,2.5,1.1763501159374807
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.9568,1757.2,vol_trail,8,81.0,11,-0.4361,2.1277,0.04,0.0003557142857142851,24188.95,2.5,3.679884740895855
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T15:39:59.999000+00:00,0.041468292,0.03998172262731429,-1.0176,-984.57,stop_loss,5,76.2,2,-0.8984,0.0,0.04,0.0005914285714285707,23192.17,2.5,4.050990868312095
DOTUSDT,2026-02-28T18:14:59.999000+00:00,2026-02-28T22:04:59.999000+00:00,1.5583116000000001,1.6302453142857145,2.5235,2341.06,vol_trail,2,67.1,46,-0.5072,3.8522,0.04,0.01128571428571428,25510.18,2.5,0.5720696320018689
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:24:59.999000+00:00,1.38157626,1.3513237983194286,-1.0293,-1050.3,stop_loss,8,82.1,3,-0.9931,0.0,0.04,0.011992857142857123,24438.71,2.5,4.964942426558394
NEARUSDT,2026-03-02T01:14:59.999000+00:00,2026-03-02T01:24:59.999000+00:00,1.1862371999999999,1.1638615239885712,-1.0342,-1009.54,stop_loss,8,82.4,2,-1.1849,0.0,0.04,0.008857142857142897,23371.52,2.5,5.173038929600182
ARBUSDT,2026-03-02T00:39:59.999000+00:00,2026-03-02T02:29:59.999000+00:00,0.10112022,0.10117976,0.0107,10.51,vol_trail,2,67.0,22,-0.5525,0.905,0.04,0.0005214285714285705,23382.03,2.5,0.8783310072784102
1000LUNCUSDT,2026-03-02T03:49:59.999000+00:00,2026-03-02T04:49:59.999000+00:00,0.043378674,0.04294865397948571,-1.0662,-997.24,stop_loss,1,66.8,12,-0.7799,0.0,0.04,0.00016857142857142865,22303.96,2.5,0.863070921533894
ENAUSDT,2026-03-02T04:29:59.999000+00:00,2026-03-02T04:59:59.999000+00:00,0.10682136,0.10560380644228572,-1.0574,-987.11,stop_loss,2,69.9,6,-0.7701,0.1493,0.04,0.00047857142857142743,21316.84,2.5,1.054277638069305
ARBUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T15:34:59.999000+00:00,0.10422084,0.10591095642857143,0.8844,754.1,vol_trail,7,79.2,10,0.0,1.9811,0.04,0.0007428571428571423,21986.8,2.5,6.430336139858807
XRPUSDT,2026-03-02T14:44:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,1.3657731,1.4012482657142857,2.47,2103.97,vol_trail,7,79.7,30,0.0,3.6171,0.04,0.005642857142857172,24090.77,2.5,3.9380381044952295
XLMUSDT,2026-03-02T15:09:59.999000+00:00,2026-03-02T17:14:59.999000+00:00,0.158451684,0.15910531542857143,0.2449,208.23,vol_trail,2,69.4,25,0.0,1.4508,0.04,0.0009507142857142868,24299.0,2.5,4.182625355473267
SOLUSDT,2026-03-03T16:04:59.999000+00:00,2026-03-03T17:44:59.999000+00:00,85.387074,85.52074957142857,0.0674,65.5,vol_trail,1,60.7,20,-0.7271,1.2976,0.04,0.5649999999999997,24338.06,2.5,1.9505697458823807
SOLUSDT,2026-03-04T08:44:59.999000+00:00,2026-03-04T10:29:59.999000+00:00,87.91758,89.85059771428571,1.9305,1879.39,vol_trail,2,66.9,21,0.0,3.0932,0.04,0.39214285714285985,26178.17,2.5,1.5719309975498346
SOLUSDT,2026-03-04T15:29:59.999000+00:00,2026-03-04T19:29:59.999000+00:00,92.608518,92.59861942857142,-0.0247,-25.85,vol_trail,3,72.5,48,-0.8273,0.2927,0.04,0.8357142857142849,26131.43,2.5,2.7158906944051013
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,155.66,vol_trail,7,80.3,24,-0.4475,0.8067,0.04,0.013714285714285743,26212.68,2.5,5.281060756038988
FETUSDT,2026-03-13T00:14:59.999000+00:00,2026-03-13T02:39:59.999000+00:00,0.17923584,0.1845595092857143,1.2228,1278.15,vol_trail,7,80.7,29,0.0,1.9983,0.04,0.0017142857142857099,27490.83,2.5,2.6403565930071693
TAOUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:59:59.999000+00:00,220.164024,229.5633638571429,2.8079,2930.09,vol_trail,8,81.9,32,-0.1371,3.6324,0.04,1.3242857142857116,30420.92,2.5,8.305401863175911
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,1.3958,1698.48,vol_trail,8,81.7,25,-0.3136,2.5318,0.04,0.013214285714285734,32089.44,2.5,2.509179551367445
TAOUSDT,2026-03-13T08:09:59.999000+00:00,2026-03-13T10:04:59.999000+00:00,235.707132,241.82591085714287,1.5119,1940.69,vol_trail,5,76.9,23,-0.3188,2.2347,0.04,1.5900000000000034,33995.88,2.5,1.7052204714603363
RENDERUSDT,2026-03-13T14:14:59.999000+00:00,2026-03-13T14:39:59.999000+00:00,1.9423884,1.8816548508914286,-1.0203,-1387.39,stop_loss,1,55.4,5,-1.4313,0.0,0.04,0.024142857142857115,32588.8,2.5,1.741575306428274
TAOUSDT,2026-03-14T03:09:59.999000+00:00,2026-03-14T04:14:59.999000+00:00,242.12841600000002,242.106569,-0.0348,-45.32,vol_trail,2,69.9,13,0.0,0.8031,0.04,1.5050000000000014,32505.73,2.5,2.99925538642294
TAOUSDT,2026-03-15T00:19:59.999000+00:00,2026-03-15T00:29:59.999000+00:00,253.80075,249.03486163571426,-1.0343,-1344.86,stop_loss,3,73.1,2,-0.9755,0.0,0.04,1.8864285714285773,31129.38,2.5,2.466786172081463
FETUSDT,2026-03-15T01:04:59.999000+00:00,2026-03-15T03:19:59.999000+00:00,0.18133626,0.19124745714285712,4.9126,6117.01,vol_trail,3,72.8,27,-0.1181,5.8819,0.04,0.0007999999999999952,37163.27,2.5,3.4293484561000027
RENDERUSDT,2026-03-15T01:24:59.999000+00:00,2026-03-15T03:34:59.999000+00:00,1.9083816,1.9087610285714287,-0.0145,-18.04,vol_trail,1,65.8,26,-0.0116,0.9874,0.04,0.013214285714285703,37145.23,2.5,2.4214671974357898
FETUSDT,2026-03-15T09:59:59.999000+00:00,2026-03-15T12:29:59.999000+00:00,0.19173834,0.19681777142857143,1.6249,2414.34,vol_trail,3,72.1,30,-0.6636,2.3643,0.04,0.001228571428571432,39517.83,2.5,2.3487499437285897
RENDERUSDT,2026-03-15T21:44:59.999000+00:00,2026-03-15T22:09:59.999000+00:00,1.9073814,1.8812907808628574,-1.0476,-1655.89,stop_loss,7,80.4,5,-1.0259,0.0,0.04,0.010285714285714247,37809.18,2.5,2.179216427480699
NEARUSDT,2026-03-16T03:24:59.999000+00:00,2026-03-16T06:04:59.999000+00:00,1.3872774,1.405433142857143,0.846,1279.39,vol_trail,5,75.8,32,-0.3513,1.3383,0.04,0.008285714285714276,39002.11,2.5,4.229863574301113
FETUSDT,2026-03-16T05:49:59.999000+00:00,2026-03-16T07:54:59.999000+00:00,0.20294058,0.20623731571428572,0.9493,1433.98,vol_trail,2,68.4,25,-0.3379,2.5065,0.04,0.001350000000000004,40436.09,2.5,1.5423737119089982
FETUSDT,2026-03-16T12:04:59.999000+00:00,2026-03-16T12:19:59.999000+00:00,0.2215443,0.22248406571428572,0.134,216.67,vol_trail,6,77.6,3,-0.0868,1.03,0.04,0.0025071428571428528,40627.04,2.5,4.532522255053391
NEARUSDT,2026-03-16T13:24:59.999000+00:00,2026-03-16T13:34:59.999000+00:00,1.4102819999999998,1.4141456857142856,0.2317,376.54,vol_trail,3,70.5,2,0.0,1.0567,0.04,0.005571428571428608,40929.54,2.5,1.9546857958076895
FETUSDT,2026-03-16T16:14:59.999000+00:00,2026-03-16T18:14:59.999000+00:00,0.23644728,0.24459392857142856,0.9784,1599.74,vol_trail,2,68.5,24,0.0,2.3682,0.04,0.0032857142857142846,42456.32,2.5,5.1673390829720605
ZECUSDT,2026-03-16T16:04:59.999000+00:00,2026-03-16T19:54:59.999000+00:00,236.53729800000002,266.521685,8.8722,14525.4,vol_trail,2,67.2,46,-0.0705,10.8473,0.04,1.346428571428569,56981.72,2.5,2.2325794607467393
NEARUSDT,2026-03-16T21:04:59.999000+00:00,2026-03-17T00:49:59.999000+00:00,1.4762952,1.4865597714285714,0.5656,1289.24,vol_trail,7,80.7,45,-0.1942,1.81,0.04,0.006785714285714299,58181.7,2.5,2.0651877398888128
ZECUSDT,2026-03-17T17:54:59.999000+00:00,2026-03-17T18:04:59.999000+00:00,277.065402,279.65977114285715,0.6324,1471.71,vol_trail,3,71.8,2,0.0,1.7304,0.04,1.5614285714285725,59579.08,2.5,3.390736625318849
TAOUSDT,2026-03-20T04:29:59.999000+00:00,2026-03-20T04:44:59.999000+00:00,297.60951,289.4926713122857,-1.0234,-2431.77,stop_loss,3,70.6,3,-1.1266,0.0,0.04,3.2235714285714323,56935.89,2.5,2.3146171328232015
QNTUSDT,2026-03-20T02:44:59.999000+00:00,2026-03-20T05:19:59.999000+00:00,76.455288,77.39594628571429,1.2165,2896.02,vol_trail,2,68.1,31,0.0,2.4102,0.04,0.297857142857144,59831.9,2.5,0.7978160757705439
FETUSDT,2026-03-20T01:39:59.999000+00:00,2026-03-20T07:04:59.999000+00:00,0.21964392,0.23612419428571427,4.3049,10259.29,vol_trail,1,64.1,65,-0.5637,5.5622,0.04,0.0015214285714285664,70091.2,2.5,0.6986014262514162
QNTUSDT,2026-03-20T08:34:59.999000+00:00,2026-03-20T13:34:59.999000+00:00,79.75594799999999,80.64850992857143,0.8687,2435.47,vol_trail,8,81.0,60,-0.4321,1.607,0.04,0.39428571428571296,72424.59,2.5,4.783553404148477
FETUSDT,2026-03-20T21:54:59.999000+00:00,2026-03-20T21:59:59.999000+00:00,0.2260452,0.22651183142857143,0.0991,287.21,vol_trail,5,76.3,1,0.0,0.9392,0.04,0.0014714285714285719,72631.69,2.5,1.989060390844303
TAOUSDT,2026-03-24T02:04:59.999000+00:00,2026-03-24T03:49:59.999000+00:00,301.90036799999996,308.3511745714286,0.8152,2368.4,vol_trail,5,76.0,21,-0.1976,1.3987,0.04,3.09714285714285,74949.12,2.5,4.315524562257858
QNTUSDT,2026-03-24T10:04:59.999000+00:00,2026-03-24T13:09:59.999000+00:00,73.654728,74.35726842857142,0.771,2311.3,vol_trail,1,65.0,37,-0.2129,1.8727,0.04,0.3471428571428561,77145.92,2.5,0.9865696579584496
TAOUSDT,2026-03-24T16:14:59.999000+00:00,2026-03-24T20:49:59.999000+00:00,315.933174,329.65691257142856,2.358,7276.43,vol_trail,1,66.8,55,-0.5738,3.9858,0.04,2.3028571428571394,84346.15,2.5,2.1816505627711833
QNTUSDT,2026-03-24T21:39:59.999000+00:00,2026-03-24T22:29:59.999000+00:00,76.825362,77.22598028571429,0.2699,910.74,vol_trail,3,72.9,10,-0.0482,0.9331,0.04,0.5421428571428584,85170.83,2.5,5.003800300913246
TAOUSDT,2026-03-25T07:14:59.999000+00:00,2026-03-25T08:59:59.999000+00:00,343.878762,345.9600798571429,0.3521,1199.41,vol_trail,8,82.3,21,-0.4623,0.9948,0.04,2.1878571428571507,86273.85,2.5,5.462341113582387
CHZUSDT,2026-03-28T03:19:59.999000+00:00,2026-03-28T04:09:59.999000+00:00,0.036027204,0.03602422228571428,-0.0594,-204.92,vol_trail,3,71.9,10,0.0,0.8131,0.04,0.00012928571428571421,85895.83,2.5,2.074930813750011
CHZUSDT,2026-03-28T07:59:59.999000+00:00,2026-03-28T08:59:59.999000+00:00,0.036697338,0.037001169714285714,0.9516,3269.56,vol_trail,1,63.1,12,0.0,2.5934,0.04,0.0001207142857142865,88977.38,2.5,0.8931891777487717
CHZUSDT,2026-03-28T13:19:59.999000+00:00,2026-03-28T13:44:59.999000+00:00,0.038397678,0.038594422428571425,0.3179,1131.38,vol_trail,2,67.2,5,-0.1022,1.5636,0.04,0.00022571428571428544,89999.78,2.5,2.6878744699240116
CHZUSDT,2026-03-28T16:44:59.999000+00:00,2026-03-28T17:14:59.999000+00:00,0.040778154000000004,0.0397951933692,-1.0265,-3695.51,stop_loss,1,54.2,6,-1.0443,0.1147,0.04,0.0003900000000000005,86236.52,2.5,0.8726302726176367
