trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
3d8c3ffe-e14d-4b41-a43d-ecf7e9d800d1,RUNEUSDT,2026-04-21T12:34:59.999000+00:00,7,79.0,0.777,1.0708,0.6003,12,9.2385,0.2889,0.5502,-0.0757,4,1,0,0,1,1,1,-1.0,stop_loss,2
ba7c8675-612c-4c59-b925-b1472fc7a133,RUNEUSDT,2026-05-08T04:54:59.999000+00:00,2,70.2,0.1221,1.4759,0.1477,4,15.8437,-0.6905,-1.3655,2.4252,4,0,1,0,1,1,1,0.37,runner_trail,1
71a4c1ca-9b7e-41c8-99a8-4bced0f004dd,RUNEUSDT,2026-05-08T09:09:59.999000+00:00,2,70.4,-0.3271,1.4759,0.1643,9,15.8437,-0.6905,0.0357,1.0056,5,1,1,0,1,1,1,0.0,runner_trail,1
80f003ae-13e5-4787-9493-7e8776e597e5,RUNEUSDT,2026-05-08T18:19:59.999000+00:00,1,58.5,-0.8693,1.4759,0.3779,18,15.8437,-0.6905,-0.2346,1.3095,4,0,1,0,1,1,1,-0.0178,unconfirmed_cut,10
02ed3df6-c7c9-4340-8b3b-046a9c2c4b3f,RUNEUSDT,2026-05-09T03:09:59.999000+00:00,1,63.1,-0.1095,0.2967,0.1872,3,13.5894,-0.5413,0.2161,1.0914,5,1,1,0,1,1,1,0.0,runner_trail,4
8b8c7616-f1b8-4638-b6ab-d5bd74ff79ef,RUNEUSDT,2026-05-09T16:09:59.999000+00:00,1,59.2,-0.1097,0.2967,0.1801,16,13.5894,-0.5413,-0.2532,1.2646,4,0,1,0,1,1,1,0.0,runner_trail,1
ee08ae2f-111e-4fba-aae8-430f4d58102c,RUNEUSDT,2026-05-10T00:14:59.999000+00:00,2,66.9,1.2076,0.6071,0.15,0,11.5455,-0.5804,-0.3348,1.052,4,0,1,0,1,1,1,0.0,runner_trail,1
e41bd5ba-6030-45f2-a604-8a83d36388da,RUNEUSDT,2026-05-10T09:04:59.999000+00:00,2,69.3,0.3292,0.6071,0.1883,9,11.5455,-0.5804,-0.3847,1.2603,4,0,1,0,1,1,1,-0.4637,unconfirmed_cut,10
d03e6b89-41d3-498e-bfdd-8491596cf1a6,RUNEUSDT,2026-05-10T15:14:59.999000+00:00,9,84.1,4.5084,0.6071,0.2319,15,11.5455,-0.5804,-0.0665,0.1566,4,0,0,1,1,1,1,0.8869,runner_trail,6
f011bd56-a470-4e5c-8282-96cd3cf7358e,RUNEUSDT,2026-05-10T23:04:59.999000+00:00,1,58.5,0.6236,0.6071,0.3329,23,11.5455,-0.5804,-0.827,1.5011,4,0,1,0,1,1,1,-0.1768,unconfirmed_cut,10
3d42b764-ea17-4eed-a401-ed0c5e0bb816,BLUAIUSDT,2026-01-31T01:44:59.999000+00:00,2,67.9,0.5882,1.1432,0.8426,1,2.0614,0.8818,-0.4677,1.6742,4,0,1,0,1,1,1,0.0,runner_trail,1
15a906c0-211a-4384-a571-9508403964a2,BLUAIUSDT,2026-01-31T22:44:59.999000+00:00,2,70.4,0.7709,1.1432,1.0198,22,2.0614,0.8818,-0.5931,1.8376,4,0,1,0,1,1,1,0.0,runner_trail,8
6abfd962-5aef-4d63-b906-c333d7d30dee,BLUAIUSDT,2026-03-11T00:34:59.999000+00:00,7,79.1,0.7646,1.3381,1.0522,0,49.7282,-0.5819,-1.2795,1.0269,4,0,1,0,1,1,1,0.4036,runner_trail,11
edb42d23-1901-4ee0-820b-94bb240a6c8e,BLUAIUSDT,2026-03-11T05:09:59.999000+00:00,1,46.5,-0.8684,1.3381,1.0668,5,49.7282,-0.5819,-1.8401,1.7142,4,0,1,0,1,1,1,0.0173,unconfirmed_cut,10
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,BLUAIUSDT,2026-03-11T19:04:59.999000+00:00,1,55.4,-0.7271,1.3381,1.098,19,49.7282,-0.5819,-1.3215,1.5838,4,0,1,0,1,1,1,0.109,unconfirmed_cut,10
fcbcf239-b079-4086-bf7b-ad49571a75ca,BLUAIUSDT,2026-03-11T23:39:59.999000+00:00,1,61.3,-0.5414,1.3381,0.7942,23,49.7282,-0.5819,-0.7473,1.7022,4,0,1,0,1,1,1,0.0,runner_trail,5
d4fb6bc4-ffa0-43ed-8c71-3807a5349d35,BLUAIUSDT,2026-03-12T03:54:59.999000+00:00,1,65.6,0.8994,0.9077,1.1988,3,43.2923,-0.2945,0.3773,1.1215,4,1,1,0,0,1,1,0.0,runner_trail,3
e61aa228-9296-4a6f-a49c-7e66f811f855,BLUAIUSDT,2026-03-12T14:14:59.999000+00:00,1,62.8,-0.0303,0.9077,0.8301,14,43.2923,-0.2945,-1.5692,1.6206,4,0,1,0,1,1,1,-1.0,stop_loss,2
88e19fcb-a572-4ce9-83ac-a023f8c586af,BLUAIUSDT,2026-03-22T00:09:59.999000+00:00,6,78.1,4.2661,2.2464,0.6317,0,25.2236,-0.2507,-0.6356,-0.6363,4,0,0,1,1,1,1,0.0,runner_trail,11
