uuid,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_dist,pnl_usd,pnl_r,fees,hold,exit_reason,tp1,equity_after,conf,conf_count,mae,mfe,aggression_score,aggression_decile,sector,regime_score,label
24591f1a-dbdc-4202-9664-bd8e78e2989b,UNIUSDT,LONG,2026-02-13T13:04:59.999000+00:00,2026-02-13T14:44:59.999000+00:00,3.343669,3.372489,3738.720357,2,0.03268,197.4687,0.9026,8.4624,20,vol_trail,1,9816.32,"{'breakout': True, 'imb': True, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",6,-0.3571,2.3969,0.7688,5,DEFI,0.625,full_stack
3441db88-3be6-4574-b69f-cc56e893d714,ZECUSDT,LONG,2026-02-14T00:34:59.999000+00:00,2026-02-14T00:44:59.999000+00:00,270.664122,272.587539,59.12948,2,3.295087,388.3811,0.6003,10.8284,2,vol_trail,1,9787.88,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1105,3.4402,0.7663,5,OTHER,1.0,full_stack
ba0be90a-f37b-4f77-ab8a-6ccd8be0798c,ZECUSDT,LONG,2026-02-14T05:14:59.999000+00:00,2026-02-14T09:09:59.999000+00:00,283.836756,285.312926,51.702447,2,5.679349,69.6835,0.27,13.2419,47,struct_trail,0,9850.95,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-0.9925,1.0852,0.8103,8,OTHER,1.0,full_stack
b4c447d7-deb5-4bae-a17e-7a091fa2f958,ZECUSDT,LONG,2026-02-16T00:09:59.999000+00:00,2026-02-16T01:04:59.999000+00:00,301.970382,296.766922,36.329001,2,5.144095,-193.8881,-1.0,9.7882,11,stop_loss,0,9758.22,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.2831,1.3665,0.8158,8,OTHER,0.625,full_stack
f70af7b8-f990-4ee3-8b17-5b63faaab74e,TAOUSDT,LONG,2026-02-16T00:29:59.999000+00:00,2026-02-16T04:19:59.999000+00:00,185.267046,188.71225,118.534009,3,1.575812,395.5028,2.2103,14.9152,46,struct_trail,1,9957.37,"{'breakout': False, 'imb': True, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.2456,4.5075,0.8131,8,AI,0.625,full_stack
4f54195d-8872-42f9-9760-53eb31e5bcb3,TAOUSDT,LONG,2026-02-16T05:04:59.999000+00:00,2026-02-16T07:44:59.999000+00:00,200.019996,189.682198,18.126539,1,10.299854,-188.9357,-1.0,3.1788,32,stop_loss,0,9766.8,"{'breakout': True, 'imb': False, 'vol': True, 'body': False, 'impulse': True, 'momentum': True}",4,-1.4437,0.4631,0.8175,8,AI,0.625,full_stack
c1a08c90-5b75-48c5-8300-43152d7f3453,TAOUSDT,LONG,2026-02-16T21:19:59.999000+00:00,2026-02-17T00:04:59.999000+00:00,199.759944,195.171772,41.245307,1,4.54913,-192.863,-1.0,7.3301,33,stop_loss,0,9829.86,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.0354,0.7122,0.814,8,AI,0.875,full_stack
a530cb4e-9f63-4d3f-befd-2a223469e31d,DOTUSDT,LONG,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.244249,1.257594,32168.955504,5,0.009167,716.2502,1.4832,27.1143,1,vol_trail,1,9996.66,"{'breakout': False, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",4,-0.1362,3.4636,0.7977,7,L1,1.0,full_stack
cda1715b-61be-45ce-9fb6-8d70d0a4a739,APTUSDT,LONG,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.833667,0.841307,33478.89527,3,0.005606,431.7947,1.393,19.4601,1,vol_trail,1,10160.08,"{'breakout': True, 'imb': False, 'vol': False, 'body': True, 'impulse': True, 'momentum': True}",4,-0.0654,3.3062,0.7565,5,L1,1.0,full_stack
8f3ebe35-a704-45a8-bfe5-d28f332b639d,ARBUSDT,LONG,2026-02-25T01:14:59.999000+00:00,2026-02-25T03:19:59.999000+00:00,0.094719,0.093274,203662.565677,2,0.001426,-302.8336,-1.0,17.6571,25,stop_loss,0,9848.14,"{'breakout': True, 'imb': False, 'vol': True, 'body': True, 'impulse': True, 'momentum': True}",5,-1.0649,0.8281,0.8009,7,L2,1.0,full_stack
