symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
NMRUSDT,2026-01-31T23:04:59.999000+00:00,2026-02-01T01:04:59.999000+00:00,9.1588314,9.2671462,1.0662,426.48,vol_trail,1,58.5,24,-0.0307,2.283,0.04,0.039071428571428486,10395.37
1000LUNCUSDT,2026-02-01T00:14:59.999000+00:00,2026-02-01T04:04:59.999000+00:00,0.034496898,0.035125830571428575,1.4072,561.92,vol_trail,1,64.4,46,-0.8033,2.0885,0.04,0.00017428571428571363,10957.29
1000LUNCUSDT,2026-02-01T08:44:59.999000+00:00,2026-02-01T09:29:59.999000+00:00,0.035757149999999994,0.03692511350000001,3.3235,1456.65,vol_trail,7,79.9,9,-0.7794,0.0,0.04,0.00013857142857142936,12393.59
1000LUNCUSDT,2026-02-01T14:54:59.999000+00:00,2026-02-01T15:19:59.999000+00:00,0.038117622,0.03723647978571429,-1.0367,-513.96,stop_loss,2,68.4,5,-0.9584,0.0,0.04,0.00034642857142857094,11869.81
NMRUSDT,2026-02-02T00:44:59.999000+00:00,2026-02-02T02:49:59.999000+00:00,8.855770799999998,8.852514857142856,-0.0429,-20.39,vol_trail,1,52.7,25,-0.3025,0.8008,0.04,0.06742857142857137,11838.19
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.4482,212.22,vol_trail,2,68.2,20,-0.4856,1.3015,0.04,0.1005,12042.67
NMRUSDT,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:49:59.999000+00:00,9.352870200000002,9.506384057142856,1.0069,485.03,vol_trail,1,61.9,26,0.0,1.9027,0.04,0.059285714285714164,12514.02
NMRUSDT,2026-02-06T04:19:59.999000+00:00,2026-02-06T06:34:59.999000+00:00,8.736747,8.977632685714285,1.3576,679.54,vol_trail,6,78.5,27,-0.4757,2.0864,0.04,0.06978571428571405,13152.32
ADAUSDT,2026-02-06T05:54:59.999000+00:00,2026-02-06T06:44:59.999000+00:00,0.25875174,0.2543634028571429,-1.0507,-524.75,stop_loss,3,72.4,10,-0.8633,0.0,0.04,0.0017142857142857118,12627.57
QNTUSDT,2026-02-06T05:04:59.999000+00:00,2026-02-06T06:44:59.999000+00:00,59.041806,61.035647571428576,2.4255,1213.01,vol_trail,2,67.6,20,0.0,4.3542,0.04,0.32428571428571473,13840.58
QNTUSDT,2026-02-06T09:54:59.999000+00:00,2026-02-06T12:04:59.999000+00:00,64.26285,64.692059,0.2891,159.89,vol_trail,7,79.8,26,-0.7226,0.896,0.04,0.553571428571428,13974.65
WLDUSDT,2026-02-06T09:34:59.999000+00:00,2026-02-06T12:09:59.999000+00:00,0.35887176,0.36788355142857143,1.4114,781.37,vol_trail,2,67.2,31,-0.0319,2.441,0.04,0.0025071428571428627,14756.01
WLDUSDT,2026-02-06T17:29:59.999000+00:00,2026-02-06T18:09:59.999000+00:00,0.41058209999999995,0.40277657142857143,-1.045,-615.94,stop_loss,1,58.5,8,-0.9682,0.2748,0.04,0.0030571428571428533,14105.24
NMRUSDT,2026-02-06T16:34:59.999000+00:00,2026-02-06T18:09:59.999000+00:00,9.1628322,9.212942757142857,0.3888,229.5,vol_trail,1,57.6,19,-0.3553,1.4888,0.04,0.04728571428571447,14334.74
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.3542,203.08,vol_trail,1,59.2,71,-0.7208,1.3861,0.04,0.01442857142857133,14514.36
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,227.23,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,14710.63
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1743.33,vol_trail,2,68.6,46,0.0,3.7478,0.04,2.0257142857142867,16422.65
TAOUSDT,2026-02-14T01:29:59.999000+00:00,2026-02-14T06:14:59.999000+00:00,185.057004,187.692454,0.5719,375.67,vol_trail,1,62.7,57,-0.3161,1.242,0.04,1.7842857142857156,16786.06
TAOUSDT,2026-02-14T09:19:59.999000+00:00,2026-02-14T09:59:59.999000+00:00,207.571506,202.5519815,-1.0351,-694.99,stop_loss,2,68.3,8,-0.9762,0.077,0.04,1.9750000000000003,16078.36
ZECUSDT,2026-02-14T19:19:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,298.51969199999996,308.63254685714287,1.6022,1030.46,vol_trail,1,61.6,10,-0.0771,3.2177,0.04,2.489999999999997,17094.94
XRPUSDT,2026-02-15T00:19:59.999000+00:00,2026-02-15T01:09:59.999000+00:00,1.52000394,1.5289655742857142,0.4592,313.99,vol_trail,9,82.8,10,-0.1499,1.2377,0.04,0.007207142857142856,17382.98
XRPUSDT,2026-02-15T04:49:59.999000+00:00,2026-02-15T08:34:59.999000+00:00,1.55721138,1.6296811414285715,3.274,2276.5,vol_trail,1,65.7,45,-0.5659,4.6918,0.04,0.008764285714285716,19637.24
XRPUSDT,2026-02-16T09:09:59.999000+00:00,2026-02-16T09:29:59.999000+00:00,1.4753950200000001,1.481217982857143,0.4845,380.57,vol_trail,1,61.4,4,0.0,1.9732,0.04,0.004257142857142848,19968.8
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.5633,449.94,vol_trail,3,72.8,7,-0.272,1.1534,0.04,2.3235714285714346,20400.24
XRPUSDT,2026-02-17T02:14:59.999000+00:00,2026-02-17T04:09:59.999000+00:00,1.4889977399999998,1.475940467142857,-1.1009,-898.31,stop_loss,6,77.6,23,-0.8585,0.2648,0.04,0.00498571428571426,19458.06
