trade_uuid,symbol,decile,pnl_r,exit_reason,mae,mfe,winner
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,NEARUSDT,6,-1.0,stop_loss,-0.86897,0.0,False
d0291907-27ee-4c70-bc04-150c24ed7f90,NEARUSDT,7,0.64,vol_trail,-0.17684,1.82737,True
84b20172-3b8b-4b98-8e95-bfc7592d9c29,NEARUSDT,1,0.0074,vol_trail,-0.24198,0.72593,True
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,NEARUSDT,1,-1.0,stop_loss,-1.4,0.0,False
23be2867-ebc2-4446-a3ad-062014ff043c,NEARUSDT,7,0.1936,vol_trail,-0.07179,0.96923,True
d03e5fbf-be72-4263-966e-c37f288ad3de,NEARUSDT,1,-1.0,stop_loss,-1.03704,0.06914,False
d11b5bd4-512f-4cd2-89cc-6944e15afb63,ZECUSDT,7,-1.0,stop_loss,-1.05124,0.37302,False
50e78bf1-dc84-470a-9b58-d3c3f6a79b25,ZECUSDT,6,3.2739,vol_trail,0.0,4.5954,True
4b3bc30b-f2a8-4ce9-bcca-62d3b5d5afa9,ZECUSDT,6,0.2618,vol_trail,0.0,1.21628,True
f65cf0de-fbbc-4ba5-a6f3-752a50f0d5f7,ZECUSDT,5,1.5158,vol_trail,0.0,1.41119,True
e01ea5d3-0d4a-43d6-9913-b3a9bc0fbf33,ZECUSDT,2,-1.0,stop_loss,-1.12828,0.0,False
511c5d60-c279-4a71-8cd9-c69bfe34e8fb,ZECUSDT,1,0.4578,vol_trail,0.0,1.25242,True
7fe7b1c2-c51e-4e14-860f-b713b113973d,ZECUSDT,1,0.0027,vol_trail,-0.3761,0.869,True
8e187514-b8b8-424e-b74f-978d873ffb4d,ZECUSDT,5,0.2055,vol_trail,-0.34825,0.50518,True
8a72037a-e4af-4003-b14f-1767b79507d3,ZECUSDT,6,0.449,vol_trail,0.0,1.16954,True
b8439b4c-afe2-4afe-ba58-78b4fc138e70,ZECUSDT,6,0.156,vol_trail,0.0,0.44437,True
a6dfca93-6910-49e9-9f93-0404d1559d60,ZECUSDT,2,0.3387,vol_trail,-0.26683,1.07684,True
7f0ff0a6-6e08-466a-a627-a5e1ddbd10e1,ZECUSDT,1,0.1777,vol_trail,-0.40044,0.7163,True
0fb5c0bb-61a2-4a3b-a5c4-f612067c2ed5,ADAUSDT,6,0.52,vol_trail,0.0,0.945,True
e49b461d-a162-48b9-9505-a0841c44fa1b,ADAUSDT,8,0.1324,vol_trail,0.0,0.61765,True
f8253658-2f35-4b1c-9cb0-24bfd842c6b0,ADAUSDT,1,0.7429,vol_trail,-0.71111,1.37778,True
a245eab0-5c05-46ef-a491-c8d06c2d5a1d,ADAUSDT,2,1.203,vol_trail,0.0,1.82519,True
25487692-a503-490c-92a6-095ce58de462,WLDUSDT,1,-1.0,stop_loss,-1.25879,0.27435,False
90846573-4e5e-4e62-9596-59580876220a,WLDUSDT,7,-1.0,stop_loss,-0.94578,0.32356,False
cc70d8b5-c20b-4bcc-a3ed-0894072bb263,WLDUSDT,2,0.3065,vol_trail,-0.57826,0.91304,True
a59c7f12-b367-468d-aa24-f0c0e2764f46,WLDUSDT,1,1.7928,vol_trail,-0.06747,2.83373,True
9512e76e-df57-41dc-b95a-5e02ffdd3ae6,WLDUSDT,1,1.0018,vol_trail,0.0,2.08142,True
5086ca65-90bc-42fb-ae27-51eb12d0b47b,WLDUSDT,1,-1.0,stop_loss,-0.6747,0.0,False
51ffad6a-433b-4275-9311-02c2f60ba69e,WLDUSDT,1,-1.0,stop_loss,-1.42176,0.17409,False
79e2660c-979d-4063-8109-1a3d5dfffef2,WLDUSDT,1,1.4434,vol_trail,-0.5037,2.63704,True
847dfa0d-dc95-48ea-afc4-9f6a510f1dc5,UNIUSDT,7,0.7097,vol_trail,-0.42483,1.44828,True
8b0ec138-48f5-4da0-9bc0-67a2c2959809,UNIUSDT,1,-1.0,stop_loss,-1.16308,0.0,False
6e496c2e-848b-48dd-9e92-8318a31144a0,UNIUSDT,1,-1.0,stop_loss,-1.09691,0.0,False
f47d1fb5-4470-423d-9e80-adcc0f54b83a,NMRUSDT,1,-1.0,stop_loss,-0.94002,0.0,False
89195f93-4b4b-41ef-a7d7-63210ba535db,NMRUSDT,1,0.0178,vol_trail,-0.83556,0.48,True
8bddf474-0f97-4e86-a539-ca3c62560444,NMRUSDT,1,0.8553,vol_trail,-0.90263,1.54737,True
