trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held,exit_r_full,exit_r_scale,scaled_at_b3
7ffaa550-c26f-488e-a3bb-66f78e027b60,1000LUNCUSDT,2026-02-01T17:54:59.999000+00:00,7,79.6,3.6896,1.1294,1.113,17,-2.8421,0.4018,0.9158,1.2729,5,1,0,1,1,1,1,0.3138,vol_trail,9,0.3138,-0.2538349999999999,True
1d066b12-3a39-4978-9085-b4f36d1af789,1000LUNCUSDT,2026-02-02T15:14:59.999000+00:00,1,56.6,-0.1302,0.2821,0.6772,15,-2.374,0.7412,-1.1974,2.122,4,0,1,0,1,1,1,0.225,vol_trail,27,0.225,0.007955,False
cf074882-d10c-45da-b2b5-08c26bb21d3d,NMRUSDT,2026-02-02T21:59:59.999000+00:00,1,53.3,-0.0012,0.3733,0.711,21,3.4409,-0.6069,-1.7616,2.1796,4,0,1,0,1,1,1,-1.0,stop_loss,21,-1.0,-0.0902775,False
a62acec5-5223-4cc7-b34e-d6bc03978d9c,WLDUSDT,2026-02-06T21:19:59.999000+00:00,1,57.6,-0.5053,0.5442,0.6099,21,3.3955,0.3366,-1.8357,2.798,4,0,1,0,1,1,1,-1.0,stop_loss,38,-1.0,-0.0282425,False
7f88b00f-e134-4b9a-b1aa-65ae51abbd9c,QNTUSDT,2026-02-07T18:29:59.999000+00:00,1,61.2,-0.0953,0.2347,0.4316,18,-4.0059,0.4366,-0.5113,2.5175,4,0,1,0,1,1,1,0.3557,vol_trail,46,0.3557,0.11523,True
7afd0078-b13f-45ce-8bd9-3626a2117655,BNBUSDT,2026-02-13T14:29:59.999000+00:00,2,68.6,3.9489,0.3344,0.3384,14,-3.2617,-0.3621,-0.7971,-0.6278,4,0,0,1,1,1,1,3.0652,vol_trail,46,3.0652,2.202145,True
c6e7ba09-3f07-49dd-aaa2-d0d51dfc57da,UNIUSDT,2026-02-13T14:34:59.999000+00:00,7,79.4,6.184,0.2262,0.6066,14,-1.9913,-0.5242,0.7969,0.5848,5,1,0,1,1,1,1,0.7097,vol_trail,37,0.7097,0.0241375,False
8f0ade98-4c31-4940-baf0-f5f682a364f3,UNIUSDT,2026-02-13T21:09:59.999000+00:00,1,62.8,-0.6325,0.2262,0.2696,21,-1.9913,-0.5242,-1.4028,2.1923,4,0,1,0,1,1,1,-1.0,stop_loss,5,-1.0,-0.29077,False
a6f5233f-30c6-455e-ae8a-f005781b8a80,TAOUSDT,2026-02-14T16:59:59.999000+00:00,2,67.9,-0.0335,2.0487,0.5532,16,19.8743,0.1549,-1.5692,2.4163,4,0,1,0,1,1,1,-1.0,stop_loss,6,-1.0,-0.3104925,False
3bc10d9c-3517-44d5-a047-78e965ecf97d,ZECUSDT,2026-02-14T21:14:59.999000+00:00,7,80.1,5.1902,1.7203,1.0406,21,34.6503,-0.7573,2.7539,0.9015,5,1,0,1,1,1,1,-1.0,stop_loss,41,-1.0,-0.1610775,False
d96dd27e-2129-4231-a969-fec0cacf5b54,XRPUSDT,2026-02-17T16:04:59.999000+00:00,5,75.8,4.0593,0.4051,0.5956,16,8.1089,0.5485,1.0256,0.7942,5,1,0,1,1,1,1,0.0013,vol_trail,20,0.0013,0.070455,False
43f30624-b9a6-47d4-8c1d-20edff5e71d4,DOTUSDT,2026-02-23T21:14:59.999000+00:00,1,55.8,-0.8179,1.0062,0.3543,21,-3.5115,0.8997,-0.936,2.8379,4,0,1,0,1,1,1,-1.0,stop_loss,49,-1.0,0.0666675,False
c27d2496-1890-4b21-8c8c-c223b326f9dc,ARBUSDT,2026-02-25T14:49:59.999000+00:00,9,84.2,2.6714,0.9905,0.5795,14,3.9216,-0.2348,1.0246,0.7536,4,1,0,0,1,1,1,0.015,vol_trail,4,0.015,0.035,False
3a00b629-035f-4bf6-ae71-936576ea0691,APTUSDT,2026-02-25T15:04:59.999000+00:00,1,64.2,3.5574,1.7658,0.66,15,13.779,-0.4616,0.293,-0.0936,4,1,0,1,0,1,1,4.067,vol_trail,35,4.067,2.617465,True
27765afa-3911-46c8-9b3f-42606a993b5a,DOTUSDT,2026-02-25T17:49:59.999000+00:00,6,77.5,1.1281,3.7964,0.877,17,24.0299,-0.7379,0.9634,0.8365,4,1,0,0,1,1,1,0.5181,vol_trail,24,0.5181,0.007255,False
4068e80f-6be6-4051-8fef-f015b245cce4,ARBUSDT,2026-02-25T19:59:59.999000+00:00,5,76.0,1.1259,0.9905,0.4721,19,3.9216,-0.2348,0.578,1.3182,4,1,0,0,1,1,1,0.8812,vol_trail,20,0.8812,0.16232,False
2fe9aa91-41fe-4343-8a74-fd68874097fb,APTUSDT,2026-02-26T15:29:59.999000+00:00,2,70.1,3.2342,0.8781,0.6706,15,9.0159,0.7657,0.1032,1.1357,4,1,0,1,0,1,1,0.036,vol_trail,4,0.036,-0.52931,True
11dbaedd-a34d-4b0a-8870-96368c5f4399,DOTUSDT,2026-02-26T15:44:59.999000+00:00,5,75.5,3.7346,1.6009,0.9908,15,18.4967,0.3083,-1.3982,0.9904,4,0,0,1,1,1,1,-1.0,stop_loss,5,-1.0,-0.24889,False
17c93cca-0c95-4be3-9247-02fdd260df3e,ENAUSDT,2026-02-28T15:04:59.999000+00:00,1,56.0,1.2034,1.4981,0.771,15,5.7927,0.6829,-1.6032,2.0918,4,0,1,0,1,1,1,0.0151,vol_trail,29,0.0151,0.0,False
36ff2f0d-cdd8-4150-a132-d8ee3b29354e,XLMUSDT,2026-02-28T15:24:59.999000+00:00,1,54.5,-0.2054,1.4277,0.4799,15,5.0198,0.8408,-1.2667,3.0169,4,0,1,0,1,1,1,0.0154,vol_trail,24,0.0154,0.03084,True
7a2d7c88-8014-4d15-9305-bcd698841a44,1000LUNCUSDT,2026-02-28T18:49:59.999000+00:00,2,68.7,-0.2321,1.9206,0.5876,18,30.046,0.1461,0.0724,2.1819,4,1,1,0,0,1,1,1.2411,vol_trail,2,1.2411,0.6322575,False
729901f2-9dfc-4916-8768-04a50d90da7f,FILUSDT,2026-02-28T18:54:59.999000+00:00,5,76.7,1.3628,1.0373,0.5811,18,12.9213,0.7178,0.6218,0.4786,4,1,0,0,1,1,1,0.4354,vol_trail,9,0.4354,0.3189875,False
