trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
f840adb1-bcbf-4a3c-9880-9dbfabe2c429,RUNEUSDT,2026-04-27T00:59:59.999000+00:00,7,79.0,2.1068,1.4106,0.3315,0,3.9425,0.1756,0.3298,0.5841,4,1,0,0,1,1,1,2.818,decay,27
1b5a5ded-00a8-47cb-ad0a-6bd28f4a9901,RUNEUSDT,2026-04-29T01:04:59.999000+00:00,6,78.7,1.7969,2.075,0.2676,1,4.3808,-0.2312,0.3721,0.9283,4,1,0,0,1,1,1,1.5917,vol_trail,12
00db2cad-9c3b-4870-8558-3a54765e1b48,BLUAIUSDT,2026-01-31T02:34:59.999000+00:00,5,76.1,2.3596,1.1432,0.9991,2,2.0614,0.8818,0.8675,0.7407,4,1,0,0,1,1,1,-1.0,stop_loss,10
ed11febb-b209-40e7-b945-6d0684149b41,BLUAIUSDT,2026-03-11T07:34:59.999000+00:00,1,62.6,3.7958,1.3381,1.3874,7,49.7282,-0.5819,0.2612,0.0992,4,1,0,1,0,1,1,0.5776,vol_trail,10
d45d0581-c4cc-4bf1-be1b-31d58337a298,BLUAIUSDT,2026-03-13T06:54:59.999000+00:00,6,78.3,2.2032,0.1119,0.8799,6,55.6861,-0.9635,-1.4844,2.0279,4,0,1,0,1,1,1,0.4893,vol_trail,5
d86a4602-01b7-499d-8a7f-63cf1f4219df,BLUAIUSDT,2026-03-22T00:09:59.999000+00:00,6,78.1,4.2661,2.2464,0.6317,0,25.2236,-0.2507,-0.6356,-0.6363,4,0,0,1,1,1,1,0.0839,vol_trail,35
2e17ea1a-646d-4d2a-87f0-dc3f242b22bc,BLUAIUSDT,2026-03-24T02:29:59.999000+00:00,1,65.9,0.5198,0.6901,1.1097,2,4.5015,0.209,-1.4026,2.2511,4,0,1,0,1,1,1,0.14,vol_trail,20
7a3b6032-1712-4023-a55c-15ce70c3a716,BLUAIUSDT,2026-03-26T00:24:59.999000+00:00,1,56.6,-0.3801,2.8364,1.0264,0,60.7017,-0.8572,-1.6492,2.5345,4,0,1,0,1,1,1,0.5002,vol_trail,33
18d08d02-4848-4bb3-98ac-4fcf46b32a3c,BERAUSDT,2026-02-06T05:34:59.999000+00:00,1,65.9,-0.3501,2.0399,0.6713,5,12.4485,-0.3185,-0.9769,2.001,4,0,1,0,1,1,1,0.7293,vol_trail,14
0e62609d-bf0b-4cc5-87b5-dcea42e4a8bf,BERAUSDT,2026-02-11T01:09:59.999000+00:00,1,66.3,0.5398,3.4665,1.0866,1,80.0579,-0.4076,-0.7333,2.0402,4,0,1,0,1,1,1,0.2882,vol_trail,69
fc138365-cfc3-4eea-8c4d-adc6f8586d87,SIRENUSDT,2026-02-03T04:14:59.999000+00:00,6,77.5,1.3704,1.7857,1.0048,4,2.3227,0.5257,0.3907,0.7595,4,1,0,0,1,1,1,0.2604,vol_trail,14
