trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
da4cbdb3-25b5-41f9-a7ce-53c9232ebfe8,RUNEUSDT,2026-04-21T21:39:59.999000+00:00,1,60.5,0.5773,1.0708,0.5239,21,9.2385,0.2889,-0.1081,2.4257,4,0,1,0,1,1,1,-1.0,stop_loss,7
85fd268e-d277-4474-ba3a-998c7439c574,BLUAIUSDT,2026-03-26T18:54:59.999000+00:00,2,68.2,0.9317,2.8364,1.291,18,60.7017,-0.8572,0.5698,3.4483,5,1,1,0,1,1,1,6.3862,vol_trail,49
6dcbad15-8e30-426f-adea-024c41be0edb,BLUAIUSDT,2026-04-07T14:14:59.999000+00:00,9,84.9,7.4906,1.4336,2.3509,14,30.1404,-0.0618,0.9974,0.0004,4,1,0,1,0,1,1,-1.0,stop_loss,1
c6221dde-5854-4ffa-8ff5-391a986f15d6,BERAUSDT,2026-02-06T14:34:59.999000+00:00,9,84.2,0.1054,2.0399,0.6258,14,12.4485,-0.3185,0.9913,1.5082,4,1,0,0,1,1,1,0.4331,vol_trail,1
364b7c7e-7f3e-4b77-ad32-844a6fa08904,BERAUSDT,2026-02-06T18:24:59.999000+00:00,9,83.3,4.5089,2.0399,1.3197,18,12.4485,-0.3185,0.6874,0.7629,4,1,0,1,0,1,1,9.0706,vol_trail,1
df02cdf6-6260-4da1-b3c9-9abcf9bd3e1f,BERAUSDT,2026-02-08T19:04:59.999000+00:00,7,78.8,3.2487,0.4669,2.0044,19,4.0063,0.1358,-1.6362,0.9954,4,0,0,1,1,1,1,0.5129,vol_trail,22
9ee0d939-b2cf-4482-bb48-3218bfd333d5,BERAUSDT,2026-02-09T14:59:59.999000+00:00,7,79.2,4.3579,0.6371,0.7177,14,5.7373,0.2439,-1.4935,0.0627,4,0,0,1,1,1,1,0.0599,vol_trail,1
60064e77-e93c-4c6b-929c-c5c821d141fb,BERAUSDT,2026-02-11T15:19:59.999000+00:00,8,81.7,4.0208,3.4665,1.1965,15,80.0579,-0.4076,1.7537,-0.4291,5,1,0,1,1,1,1,1.5085,vol_trail,1
a98b493a-83ea-4bcf-bde2-5b3110cf55a8,BERAUSDT,2026-02-11T19:04:59.999000+00:00,9,83.2,1.7425,3.4665,2.0802,19,80.0579,-0.4076,0.6174,1.655,4,1,0,0,1,1,1,0.4412,vol_trail,6
480ec1b0-a16e-4be6-9cce-6b62aa572e70,SIRENUSDT,2026-02-03T20:24:59.999000+00:00,1,53.4,-0.3146,1.7857,0.9769,20,2.3227,0.5257,-1.5942,2.0237,4,0,1,0,1,1,1,0.4803,vol_trail,29
1db89383-2188-40cb-9034-56bafbee3b37,SIRENUSDT,2026-02-07T18:24:59.999000+00:00,9,84.3,3.9767,79.0847,6.1108,18,217.8231,-0.2289,12.288,1.051,5,1,0,1,1,1,1,0.1428,vol_trail,1
d7a6d352-5aeb-4803-b037-7e154d4b23a0,SIRENUSDT,2026-02-10T19:14:59.999000+00:00,1,62.2,-0.6565,9.6665,0.8876,19,20.3104,0.1623,-0.2964,2.7723,4,0,1,0,1,1,1,-1.0,stop_loss,4
44e79942-6d87-4b6e-9f17-b90b84cc2b72,SIRENUSDT,2026-02-13T20:09:59.999000+00:00,1,61.5,-0.4203,0.6623,0.92,20,34.5512,0.3668,-1.9597,2.6635,4,0,1,0,1,1,1,-1.0,stop_loss,81
