symbol,entry_time,side,burst_share,pnl_r,exit_reason,strategy_version
CHZUSDT,2026-01-02T02:00:00+00:00,long,0.3536,0.6403,time_8h,v66_burst
ADAUSDT,2026-01-02T04:00:00+00:00,long,0.4652,-1.127,stop,v66_burst
CHZUSDT,2026-01-02T06:00:00+00:00,long,0.6171,-0.8364,time_8h,v66_burst
ENAUSDT,2026-01-02T10:00:00+00:00,long,0.4712,2.4333,time_8h,v66_burst
ARBUSDT,2026-01-02T10:00:00+00:00,long,1.1777,-1.1055,stop,v66_burst
ENAUSDT,2026-01-02T15:00:00+00:00,long,0.5413,1.4116,time_8h,v66_burst
NEARUSDT,2026-01-02T15:00:00+00:00,long,0.5231,1.478,time_8h,v66_burst
DOTUSDT,2026-01-02T20:00:00+00:00,long,0.3664,1.192,time_8h,v66_burst
WLDUSDT,2026-01-02T22:00:00+00:00,long,0.8357,6.5298,time_8h,v66_burst
FILUSDT,2026-01-03T03:00:00+00:00,long,0.8741,-1.048,stop,v66_burst
XLMUSDT,2026-01-03T05:00:00+00:00,long,1.0788,-1.1093,stop,v66_burst
WLDUSDT,2026-01-03T07:00:00+00:00,long,0.3701,-0.2994,time_8h,v66_burst
WLDUSDT,2026-01-03T23:00:00+00:00,long,0.4305,-1.1159,stop,v66_burst
ENAUSDT,2026-01-04T01:00:00+00:00,long,0.5129,-0.459,time_8h,v66_burst
ADAUSDT,2026-01-04T03:00:00+00:00,long,0.3965,2.9961,time_8h,v66_burst
CHZUSDT,2026-01-04T09:00:00+00:00,long,1.2896,-1.1152,stop,v66_burst
RENDERUSDT,2026-01-05T02:00:00+00:00,long,0.5589,-0.3014,time_8h,v66_burst
1000LUNCUSDT,2026-01-05T03:00:00+00:00,long,0.3578,-1.087,stop,v66_burst
NEARUSDT,2026-01-05T08:00:00+00:00,long,0.945,-1.0963,stop,v66_burst
ENAUSDT,2026-01-05T16:00:00+00:00,long,0.6097,0.6323,time_8h,v66_burst
XLMUSDT,2026-01-05T19:00:00+00:00,long,0.3887,2.3075,time_8h,v66_burst
ADAUSDT,2026-01-06T15:00:00+00:00,long,0.495,-1.0563,stop,v66_burst
FETUSDT,2026-01-06T21:00:00+00:00,long,0.4294,-1.0704,stop,v66_burst
RENDERUSDT,2026-01-08T16:00:00+00:00,long,0.8543,-1.0298,stop,v66_burst
ADAUSDT,2026-01-09T16:00:00+00:00,long,0.4563,-0.6422,time_8h,v66_burst
CHZUSDT,2026-01-10T18:00:00+00:00,long,1.3213,0.7616,time_8h,v66_burst
CHZUSDT,2026-01-13T03:00:00+00:00,long,1.3607,-0.0313,time_8h,v66_burst
ADAUSDT,2026-01-13T06:00:00+00:00,long,0.7948,0.3945,time_8h,v66_burst
ENAUSDT,2026-01-13T14:00:00+00:00,long,0.66,1.3403,time_8h,v66_burst
WLDUSDT,2026-01-13T15:00:00+00:00,long,0.4568,2.9681,time_8h,v66_burst
1000LUNCUSDT,2026-01-13T23:00:00+00:00,long,0.4088,0.2116,time_8h,v66_burst
ADAUSDT,2026-01-13T23:00:00+00:00,long,0.4234,0.2619,time_8h,v66_burst
ENAUSDT,2026-01-13T23:00:00+00:00,long,1.5699,0.6402,time_8h,v66_burst
FETUSDT,2026-01-13T23:00:00+00:00,long,0.7251,-1.0501,stop,v66_burst
XLMUSDT,2026-01-13T23:00:00+00:00,long,0.4152,1.0346,time_8h,v66_burst
ENAUSDT,2026-01-19T01:00:00+00:00,long,0.9632,0.1435,time_8h,v66_burst
WLDUSDT,2026-01-21T06:00:00+00:00,long,5.4784,-1.1831,stop,v66_burst
ENAUSDT,2026-01-21T20:00:00+00:00,long,1.762,-1.0541,stop,v66_burst
WLDUSDT,2026-01-23T18:00:00+00:00,long,0.6413,-1.0743,stop,v66_burst
ADAUSDT,2026-01-26T02:00:00+00:00,long,1.0102,-0.6985,time_8h,v66_burst
