trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
d800a969-1f6e-4f04-b7af-699b7c1b14c0,0,0.0,0.0,0.0
d800a969-1f6e-4f04-b7af-699b7c1b14c0,1,0.0,-0.56875,-0.56875
d800a969-1f6e-4f04-b7af-699b7c1b14c0,2,0.0,-1.1375,-1.1375
6f655ba8-aae2-4ed6-a064-f46503821352,0,0.0,0.0,0.0
6f655ba8-aae2-4ed6-a064-f46503821352,1,1.12,0.0,1.12
85e1e6fb-75d2-4725-a7d0-51270fa3d10c,0,0.0,0.0,0.0
85e1e6fb-75d2-4725-a7d0-51270fa3d10c,1,0.65116,0.0,0.65116
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,0,0.0,0.0,0.0
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,1,0.01778,0.0,0.01778
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,2,0.01778,-0.05333,-0.05333
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,3,0.01778,-0.05333,-0.05333
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,4,0.01778,-0.10667,-0.10667
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,5,0.01778,-0.26667,-0.26667
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,6,0.01778,-0.26667,-0.26667
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,7,0.01778,-0.26667,-0.24889
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,8,0.01778,-0.49778,-0.49778
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,9,0.01778,-0.49778,-0.44444
b637a9f9-391a-4ff5-9ecd-cdb43ee97d13,10,0.01778,-0.49778,-0.01778
553b090d-bc01-4015-9c5f-e3a694fc4df6,0,0.0,0.0,0.0
553b090d-bc01-4015-9c5f-e3a694fc4df6,1,0.03544,0.0,0.03544
553b090d-bc01-4015-9c5f-e3a694fc4df6,2,0.28354,0.0,0.28354
553b090d-bc01-4015-9c5f-e3a694fc4df6,3,0.63797,0.0,0.63797
553b090d-bc01-4015-9c5f-e3a694fc4df6,4,0.63797,0.0,0.21266
3163e055-d765-454d-b9b3-d59f1e4912fb,0,0.0,0.0,0.0
3163e055-d765-454d-b9b3-d59f1e4912fb,1,0.52617,0.0,0.52617
a327da5f-dc21-4dca-8979-f8aebfc3719d,0,0.0,0.0,0.0
a327da5f-dc21-4dca-8979-f8aebfc3719d,1,0.3136,0.0,0.3136
3e35bdab-6851-450a-8499-82ac8360289c,0,0.0,0.0,0.0
3e35bdab-6851-450a-8499-82ac8360289c,1,0.0,-0.21401,-0.21401
3e35bdab-6851-450a-8499-82ac8360289c,2,0.0,-0.49936,-0.49936
3e35bdab-6851-450a-8499-82ac8360289c,3,0.0,-0.49936,-0.42803
3e35bdab-6851-450a-8499-82ac8360289c,4,0.0,-0.49936,-0.35669
3e35bdab-6851-450a-8499-82ac8360289c,5,0.0,-0.49936,-0.35669
3e35bdab-6851-450a-8499-82ac8360289c,6,0.0,-0.49936,-0.17834
3e35bdab-6851-450a-8499-82ac8360289c,7,0.0,-0.49936,-0.39236
3e35bdab-6851-450a-8499-82ac8360289c,8,0.0,-0.49936,-0.42803
3e35bdab-6851-450a-8499-82ac8360289c,9,0.0,-0.49936,-0.21401
3e35bdab-6851-450a-8499-82ac8360289c,10,0.0,-0.49936,-0.46369
86e4ce19-1bf6-453e-97b6-fc739fb79389,0,0.0,0.0,0.0
86e4ce19-1bf6-453e-97b6-fc739fb79389,1,0.25846,0.0,0.25846
86e4ce19-1bf6-453e-97b6-fc739fb79389,2,0.3159,0.0,0.3159
86e4ce19-1bf6-453e-97b6-fc739fb79389,3,0.77538,0.0,0.77538
86e4ce19-1bf6-453e-97b6-fc739fb79389,4,0.91897,0.0,0.91897
86e4ce19-1bf6-453e-97b6-fc739fb79389,5,1.37846,0.0,1.37846
86e4ce19-1bf6-453e-97b6-fc739fb79389,6,1.63692,0.0,1.63692
2c9e855e-d0c7-4355-bc1f-61560ea54373,0,0.0,0.0,0.0
2c9e855e-d0c7-4355-bc1f-61560ea54373,1,0.09825,0.0,0.09825
