trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
fcda7682-b2d8-4d2b-990e-65d99425723b,0,0.0,0.0,0.0
fcda7682-b2d8-4d2b-990e-65d99425723b,1,0.0,-0.56875,-0.56875
fcda7682-b2d8-4d2b-990e-65d99425723b,2,0.0,-1.1375,-1.1375
c82689a3-4e9a-47ff-916b-7f7d5a99a47b,0,0.0,0.0,0.0
c82689a3-4e9a-47ff-916b-7f7d5a99a47b,1,1.12,0.0,1.12
65a99d92-e818-411b-bfeb-e0175c1df302,0,0.0,0.0,0.0
65a99d92-e818-411b-bfeb-e0175c1df302,1,0.65116,0.0,0.65116
f55546e8-db4d-402b-96e5-015ab9630636,0,0.0,0.0,0.0
f55546e8-db4d-402b-96e5-015ab9630636,1,0.01778,0.0,0.01778
f55546e8-db4d-402b-96e5-015ab9630636,2,0.01778,-0.05333,-0.05333
f55546e8-db4d-402b-96e5-015ab9630636,3,0.01778,-0.05333,-0.05333
f55546e8-db4d-402b-96e5-015ab9630636,4,0.01778,-0.10667,-0.10667
f55546e8-db4d-402b-96e5-015ab9630636,5,0.01778,-0.26667,-0.26667
f55546e8-db4d-402b-96e5-015ab9630636,6,0.01778,-0.26667,-0.26667
f55546e8-db4d-402b-96e5-015ab9630636,7,0.01778,-0.26667,-0.24889
f55546e8-db4d-402b-96e5-015ab9630636,8,0.01778,-0.49778,-0.49778
f55546e8-db4d-402b-96e5-015ab9630636,9,0.01778,-0.49778,-0.44444
f55546e8-db4d-402b-96e5-015ab9630636,10,0.01778,-0.49778,-0.01778
9f6a1af6-10a6-4224-9051-4b7f740da920,0,0.0,0.0,0.0
9f6a1af6-10a6-4224-9051-4b7f740da920,1,0.03544,0.0,0.03544
9f6a1af6-10a6-4224-9051-4b7f740da920,2,0.28354,0.0,0.28354
9f6a1af6-10a6-4224-9051-4b7f740da920,3,0.63797,0.0,0.63797
9f6a1af6-10a6-4224-9051-4b7f740da920,4,0.63797,0.0,0.21266
edabd654-0d85-4484-bc6e-adc88e42a14e,0,0.0,0.0,0.0
edabd654-0d85-4484-bc6e-adc88e42a14e,1,0.52617,0.0,0.52617
2512ec84-bbca-406c-b98c-efe2bc44f17f,0,0.0,0.0,0.0
2512ec84-bbca-406c-b98c-efe2bc44f17f,1,0.3136,0.0,0.3136
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,0,0.0,0.0,0.0
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,1,0.0,-0.21401,-0.21401
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,2,0.0,-0.49936,-0.49936
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,3,0.0,-0.49936,-0.42803
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,4,0.0,-0.49936,-0.35669
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,5,0.0,-0.49936,-0.35669
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,6,0.0,-0.49936,-0.17834
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,7,0.0,-0.49936,-0.39236
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,8,0.0,-0.49936,-0.42803
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,9,0.0,-0.49936,-0.21401
85ed9a8d-8ace-4d41-92ba-c2d0bf228032,10,0.0,-0.49936,-0.46369
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,0,0.0,0.0,0.0
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,1,0.25846,0.0,0.25846
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,2,0.3159,0.0,0.3159
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,3,0.77538,0.0,0.77538
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,4,0.91897,0.0,0.91897
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,5,1.37846,0.0,1.37846
62ea0e8f-34a5-4e36-ae0a-267ce223a3c8,6,1.63692,0.0,1.63692
d5bdb7f1-82c2-466e-8ca3-20f05cd0e644,0,0.0,0.0,0.0
