trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
8fcafce0-9c84-4781-9185-934b8bcc121d,0,0.0,0.0,0.0
8fcafce0-9c84-4781-9185-934b8bcc121d,1,0.48395,0.0,0.48395
8fcafce0-9c84-4781-9185-934b8bcc121d,2,0.48395,0.0,0.0
30712a34-08e2-4a37-a3f9-1f64707abafe,0,0.0,0.0,0.0
30712a34-08e2-4a37-a3f9-1f64707abafe,1,0.99504,0.0,0.99504
5b54504d-7005-45c8-bbb0-507842e277a5,0,0.0,0.0,0.0
5b54504d-7005-45c8-bbb0-507842e277a5,1,0.5105,0.0,0.5105
11f3ee32-ecab-4708-ab30-acf754fe3869,0,0.0,0.0,0.0
11f3ee32-ecab-4708-ab30-acf754fe3869,1,0.19002,0.0,0.19002
11f3ee32-ecab-4708-ab30-acf754fe3869,2,0.34651,0.0,0.34651
11f3ee32-ecab-4708-ab30-acf754fe3869,3,0.60359,0.0,0.60359
11f3ee32-ecab-4708-ab30-acf754fe3869,4,0.60359,0.0,0.5477
11f3ee32-ecab-4708-ab30-acf754fe3869,5,0.62595,0.0,0.62595
11f3ee32-ecab-4708-ab30-acf754fe3869,6,0.82715,0.0,0.82715
11f3ee32-ecab-4708-ab30-acf754fe3869,7,0.82715,0.0,0.61477
11f3ee32-ecab-4708-ab30-acf754fe3869,8,0.82715,0.0,0.46946
11f3ee32-ecab-4708-ab30-acf754fe3869,9,0.82715,0.0,0.62595
11f3ee32-ecab-4708-ab30-acf754fe3869,10,0.82715,0.0,0.23473
11f3ee32-ecab-4708-ab30-acf754fe3869,11,0.82715,0.0,0.36886
11f3ee32-ecab-4708-ab30-acf754fe3869,12,0.82715,0.0,0.46946
11f3ee32-ecab-4708-ab30-acf754fe3869,13,0.82715,0.0,0.42475
11f3ee32-ecab-4708-ab30-acf754fe3869,14,0.82715,-0.07824,-0.07824
caedd544-6a52-42bc-8dd0-298c087ac627,0,0.0,0.0,0.0
caedd544-6a52-42bc-8dd0-298c087ac627,1,0.25301,0.0,0.25301
caedd544-6a52-42bc-8dd0-298c087ac627,2,0.53976,0.0,0.53976
caedd544-6a52-42bc-8dd0-298c087ac627,3,0.53976,0.0,0.0
376e8d17-4476-43b6-a734-82030f8882b4,0,0.0,0.0,0.0
376e8d17-4476-43b6-a734-82030f8882b4,1,0.0,-0.18168,-0.18168
376e8d17-4476-43b6-a734-82030f8882b4,2,0.0,-0.48092,-0.48092
376e8d17-4476-43b6-a734-82030f8882b4,3,0.0,-0.53435,-0.53435
376e8d17-4476-43b6-a734-82030f8882b4,4,0.0,-0.53435,-0.43817
376e8d17-4476-43b6-a734-82030f8882b4,5,0.0,-0.53435,-0.11756
376e8d17-4476-43b6-a734-82030f8882b4,6,0.0,-0.53435,-0.13893
