trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
d0543e65-a6e6-457f-8f54-8629e61430ab,0,0.0,0.0,0.0
d0543e65-a6e6-457f-8f54-8629e61430ab,1,0.18564,0.0,0.18564
d0543e65-a6e6-457f-8f54-8629e61430ab,2,0.78122,0.0,0.78122
d0543e65-a6e6-457f-8f54-8629e61430ab,3,1.20663,0.0,1.20663
d0543e65-a6e6-457f-8f54-8629e61430ab,4,1.20663,0.0,1.09834
d0543e65-a6e6-457f-8f54-8629e61430ab,5,1.20663,0.0,1.09834
d0543e65-a6e6-457f-8f54-8629e61430ab,6,1.35359,0.0,1.35359
d0543e65-a6e6-457f-8f54-8629e61430ab,7,1.35359,0.0,1.12928
d0543e65-a6e6-457f-8f54-8629e61430ab,8,1.3768,0.0,1.3768
d0543e65-a6e6-457f-8f54-8629e61430ab,9,1.56243,0.0,1.56243
d0543e65-a6e6-457f-8f54-8629e61430ab,10,1.56243,0.0,1.52376
d0543e65-a6e6-457f-8f54-8629e61430ab,11,1.56243,0.0,1.51602
d0543e65-a6e6-457f-8f54-8629e61430ab,12,1.56243,0.0,1.44641
d0543e65-a6e6-457f-8f54-8629e61430ab,13,1.56243,0.0,1.4
d0543e65-a6e6-457f-8f54-8629e61430ab,14,1.56243,0.0,1.48508
d0543e65-a6e6-457f-8f54-8629e61430ab,15,1.56243,0.0,1.56243
d0543e65-a6e6-457f-8f54-8629e61430ab,16,1.56243,0.0,1.53149
d0543e65-a6e6-457f-8f54-8629e61430ab,17,1.72486,0.0,1.72486
d0543e65-a6e6-457f-8f54-8629e61430ab,18,1.72486,0.0,1.70166
d0543e65-a6e6-457f-8f54-8629e61430ab,19,1.80994,0.0,1.80994
d0543e65-a6e6-457f-8f54-8629e61430ab,20,1.87182,0.0,1.87182
d0543e65-a6e6-457f-8f54-8629e61430ab,21,1.87182,0.0,1.87182
d0543e65-a6e6-457f-8f54-8629e61430ab,22,1.87182,0.0,1.67072
d0543e65-a6e6-457f-8f54-8629e61430ab,23,1.87182,0.0,1.56243
d0543e65-a6e6-457f-8f54-8629e61430ab,24,1.87182,0.0,1.4232
d0543e65-a6e6-457f-8f54-8629e61430ab,25,1.87182,0.0,1.46188
d0543e65-a6e6-457f-8f54-8629e61430ab,26,1.87182,0.0,1.53923
d0543e65-a6e6-457f-8f54-8629e61430ab,27,1.87182,0.0,1.5779
d0543e65-a6e6-457f-8f54-8629e61430ab,28,1.87182,0.0,1.54696
d0543e65-a6e6-457f-8f54-8629e61430ab,29,1.87182,0.0,1.50055
d0543e65-a6e6-457f-8f54-8629e61430ab,30,1.87182,0.0,1.40773
d0543e65-a6e6-457f-8f54-8629e61430ab,31,1.87182,0.0,1.41547
d0543e65-a6e6-457f-8f54-8629e61430ab,32,1.87182,0.0,1.57017
d0543e65-a6e6-457f-8f54-8629e61430ab,33,1.87182,0.0,1.53149
d0543e65-a6e6-457f-8f54-8629e61430ab,34,1.87182,0.0,1.43867
d0543e65-a6e6-457f-8f54-8629e61430ab,35,1.87182,0.0,1.46961
d0543e65-a6e6-457f-8f54-8629e61430ab,36,1.87182,0.0,1.51602
d0543e65-a6e6-457f-8f54-8629e61430ab,37,1.87182,0.0,1.63978
d0543e65-a6e6-457f-8f54-8629e61430ab,38,1.87182,0.0,1.60884
d0543e65-a6e6-457f-8f54-8629e61430ab,39,1.87182,0.0,1.60884
d0543e65-a6e6-457f-8f54-8629e61430ab,40,1.87182,0.0,1.6011
d0543e65-a6e6-457f-8f54-8629e61430ab,41,1.87182,0.0,1.57017
d0543e65-a6e6-457f-8f54-8629e61430ab,42,1.87182,0.0,1.5547
d0543e65-a6e6-457f-8f54-8629e61430ab,43,1.87182,0.0,1.65525
d0543e65-a6e6-457f-8f54-8629e61430ab,44,1.87182,0.0,1.58564
d0543e65-a6e6-457f-8f54-8629e61430ab,45,1.87182,0.0,1.5779
d0543e65-a6e6-457f-8f54-8629e61430ab,46,1.87182,0.0,1.62431
d0543e65-a6e6-457f-8f54-8629e61430ab,47,1.87182,0.0,1.66298
d0543e65-a6e6-457f-8f54-8629e61430ab,48,1.87182,0.0,1.74033
d0543e65-a6e6-457f-8f54-8629e61430ab,49,1.87182,0.0,1.74807
d0543e65-a6e6-457f-8f54-8629e61430ab,50,1.87182,0.0,1.7558
d0543e65-a6e6-457f-8f54-8629e61430ab,51,1.87182,0.0,1.65525
d0543e65-a6e6-457f-8f54-8629e61430ab,52,1.87182,0.0,1.67845
d0543e65-a6e6-457f-8f54-8629e61430ab,53,1.87182,0.0,1.7558
d0543e65-a6e6-457f-8f54-8629e61430ab,54,1.87182,0.0,1.77127
d0543e65-a6e6-457f-8f54-8629e61430ab,55,1.87182,0.0,1.77901
d0543e65-a6e6-457f-8f54-8629e61430ab,56,1.87182,0.0,1.84862
d0543e65-a6e6-457f-8f54-8629e61430ab,57,1.87182,0.0,1.84862
d0543e65-a6e6-457f-8f54-8629e61430ab,58,1.98011,0.0,1.98011
d0543e65-a6e6-457f-8f54-8629e61430ab,59,1.98011,0.0,1.96464
d0543e65-a6e6-457f-8f54-8629e61430ab,60,1.98011,0.0,1.95691
d0543e65-a6e6-457f-8f54-8629e61430ab,61,1.99558,0.0,1.99558
d0543e65-a6e6-457f-8f54-8629e61430ab,62,2.11934,0.0,2.11934
d0543e65-a6e6-457f-8f54-8629e61430ab,63,2.13481,0.0,2.13481
d0543e65-a6e6-457f-8f54-8629e61430ab,64,2.15801,0.0,2.15801
d0543e65-a6e6-457f-8f54-8629e61430ab,65,2.16575,0.0,2.16575
d0543e65-a6e6-457f-8f54-8629e61430ab,66,2.29724,0.0,2.29724
d0543e65-a6e6-457f-8f54-8629e61430ab,67,2.29724,0.0,2.20442
d0543e65-a6e6-457f-8f54-8629e61430ab,68,2.29724,0.0,2.23536
d0543e65-a6e6-457f-8f54-8629e61430ab,69,2.29724,0.0,2.24309
d0543e65-a6e6-457f-8f54-8629e61430ab,70,2.29724,0.0,2.15801
d0543e65-a6e6-457f-8f54-8629e61430ab,71,2.29724,0.0,2.0884
d0543e65-a6e6-457f-8f54-8629e61430ab,72,2.29724,0.0,2.09613
d0543e65-a6e6-457f-8f54-8629e61430ab,73,2.29724,0.0,2.08066
