trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
80dc7c59-87b8-41f9-9f27-9441ddba3b80,0,0.0,0.0,0.0
80dc7c59-87b8-41f9-9f27-9441ddba3b80,1,0.26465,0.0,0.26465
80dc7c59-87b8-41f9-9f27-9441ddba3b80,2,0.26465,0.0,0.22231
80dc7c59-87b8-41f9-9f27-9441ddba3b80,3,0.26465,0.0,0.12703
80dc7c59-87b8-41f9-9f27-9441ddba3b80,4,0.26465,0.0,0.21172
80dc7c59-87b8-41f9-9f27-9441ddba3b80,5,0.26465,0.0,0.11645
80dc7c59-87b8-41f9-9f27-9441ddba3b80,6,0.26465,0.0,0.17996
80dc7c59-87b8-41f9-9f27-9441ddba3b80,7,0.68809,0.0,0.68809
80dc7c59-87b8-41f9-9f27-9441ddba3b80,8,0.81512,0.0,0.81512
80dc7c59-87b8-41f9-9f27-9441ddba3b80,9,1.06919,0.0,1.06919
80dc7c59-87b8-41f9-9f27-9441ddba3b80,10,1.06919,0.0,0.83629
80dc7c59-87b8-41f9-9f27-9441ddba3b80,11,1.06919,0.0,0.26465
5bfeaecb-8eb9-45e4-81dc-8694a715995e,0,0.0,0.0,0.0
5bfeaecb-8eb9-45e4-81dc-8694a715995e,1,0.14737,0.0,0.14737
5bfeaecb-8eb9-45e4-81dc-8694a715995e,2,0.17684,0.0,0.17684
5bfeaecb-8eb9-45e4-81dc-8694a715995e,3,0.26526,0.0,0.26526
5bfeaecb-8eb9-45e4-81dc-8694a715995e,4,0.26526,0.0,0.25053
5bfeaecb-8eb9-45e4-81dc-8694a715995e,5,0.26526,0.0,0.26526
5bfeaecb-8eb9-45e4-81dc-8694a715995e,6,0.29474,0.0,0.29474
5bfeaecb-8eb9-45e4-81dc-8694a715995e,7,0.45684,0.0,0.45684
5bfeaecb-8eb9-45e4-81dc-8694a715995e,8,0.45684,0.0,0.39789
5bfeaecb-8eb9-45e4-81dc-8694a715995e,9,0.54526,0.0,0.54526
5bfeaecb-8eb9-45e4-81dc-8694a715995e,10,0.60421,0.0,0.60421
5bfeaecb-8eb9-45e4-81dc-8694a715995e,11,0.81053,0.0,0.81053
5bfeaecb-8eb9-45e4-81dc-8694a715995e,12,1.01684,0.0,1.01684
5bfeaecb-8eb9-45e4-81dc-8694a715995e,13,1.35579,0.0,1.35579
5bfeaecb-8eb9-45e4-81dc-8694a715995e,14,1.44421,0.0,1.44421
5bfeaecb-8eb9-45e4-81dc-8694a715995e,15,1.51789,0.0,1.51789
5bfeaecb-8eb9-45e4-81dc-8694a715995e,16,1.51789,0.0,1.4
5bfeaecb-8eb9-45e4-81dc-8694a715995e,17,1.90105,0.0,1.90105
5bfeaecb-8eb9-45e4-81dc-8694a715995e,18,1.90105,0.0,1.84211
5bfeaecb-8eb9-45e4-81dc-8694a715995e,19,2.57895,0.0,2.57895
5bfeaecb-8eb9-45e4-81dc-8694a715995e,20,2.57895,0.0,2.50526
5bfeaecb-8eb9-45e4-81dc-8694a715995e,21,2.57895,0.0,2.54947
