trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
8461a1a2-19fc-4586-aee0-4cf37b320961,0,0.0,0.0,0.0
8461a1a2-19fc-4586-aee0-4cf37b320961,1,0.48172,0.0,0.48172
d15817f8-eed6-41ee-871d-119cc2a4cf95,0,0.0,0.0,0.0
d15817f8-eed6-41ee-871d-119cc2a4cf95,1,0.0,0.0,0.0
d15817f8-eed6-41ee-871d-119cc2a4cf95,2,1.53725,0.0,1.53725
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,0,0.0,0.0,0.0
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,1,0.21538,0.0,0.21538
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,2,0.21538,-0.56,-0.56
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,3,0.21538,-0.56,-0.38769
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,4,0.21538,-0.56,-0.17231
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,5,0.21538,-0.56,-0.43077
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,6,0.21538,-0.56,-0.21538
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,7,0.21538,-0.56,-0.47385
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,8,0.21538,-0.56,-0.34462
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,9,0.21538,-0.56,-0.38769
d0e41218-d63c-4dfe-bd26-19ae0e2a848b,10,0.21538,-0.56,-0.47385
bb144774-b197-49ad-ae55-938477a7768e,0,0.0,0.0,0.0
bb144774-b197-49ad-ae55-938477a7768e,1,0.17143,0.0,0.17143
bb144774-b197-49ad-ae55-938477a7768e,2,0.17143,0.0,0.05714
bb144774-b197-49ad-ae55-938477a7768e,3,0.34286,0.0,0.34286
f0d912bf-7bab-41ff-9c20-61c1217a74a2,0,0.0,0.0,0.0
f0d912bf-7bab-41ff-9c20-61c1217a74a2,1,0.0,-0.04912,-0.04912
f0d912bf-7bab-41ff-9c20-61c1217a74a2,2,0.0,-0.19649,-0.19649
f0d912bf-7bab-41ff-9c20-61c1217a74a2,3,0.0,-0.34386,-0.34386
f0d912bf-7bab-41ff-9c20-61c1217a74a2,4,0.0,-0.34386,-0.24561
f0d912bf-7bab-41ff-9c20-61c1217a74a2,5,0.0,-0.34386,-0.24561
