trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
3d8c3ffe-e14d-4b41-a43d-ecf7e9d800d1,0,0.0,0.0,0.0
3d8c3ffe-e14d-4b41-a43d-ecf7e9d800d1,1,0.0,-0.56875,-0.56875
3d8c3ffe-e14d-4b41-a43d-ecf7e9d800d1,2,0.0,-1.1375,-1.1375
ba7c8675-612c-4c59-b925-b1472fc7a133,0,0.0,0.0,0.0
ba7c8675-612c-4c59-b925-b1472fc7a133,1,1.12,0.0,1.12
71a4c1ca-9b7e-41c8-99a8-4bced0f004dd,0,0.0,0.0,0.0
71a4c1ca-9b7e-41c8-99a8-4bced0f004dd,1,0.65116,0.0,0.65116
80f003ae-13e5-4787-9493-7e8776e597e5,0,0.0,0.0,0.0
80f003ae-13e5-4787-9493-7e8776e597e5,1,0.01778,0.0,0.01778
80f003ae-13e5-4787-9493-7e8776e597e5,2,0.01778,-0.05333,-0.05333
80f003ae-13e5-4787-9493-7e8776e597e5,3,0.01778,-0.05333,-0.05333
80f003ae-13e5-4787-9493-7e8776e597e5,4,0.01778,-0.10667,-0.10667
80f003ae-13e5-4787-9493-7e8776e597e5,5,0.01778,-0.26667,-0.26667
80f003ae-13e5-4787-9493-7e8776e597e5,6,0.01778,-0.26667,-0.26667
80f003ae-13e5-4787-9493-7e8776e597e5,7,0.01778,-0.26667,-0.24889
80f003ae-13e5-4787-9493-7e8776e597e5,8,0.01778,-0.49778,-0.49778
80f003ae-13e5-4787-9493-7e8776e597e5,9,0.01778,-0.49778,-0.44444
80f003ae-13e5-4787-9493-7e8776e597e5,10,0.01778,-0.49778,-0.01778
02ed3df6-c7c9-4340-8b3b-046a9c2c4b3f,0,0.0,0.0,0.0
02ed3df6-c7c9-4340-8b3b-046a9c2c4b3f,1,0.03544,0.0,0.03544
02ed3df6-c7c9-4340-8b3b-046a9c2c4b3f,2,0.28354,0.0,0.28354
02ed3df6-c7c9-4340-8b3b-046a9c2c4b3f,3,0.63797,0.0,0.63797
02ed3df6-c7c9-4340-8b3b-046a9c2c4b3f,4,0.63797,0.0,0.21266
8b8c7616-f1b8-4638-b6ab-d5bd74ff79ef,0,0.0,0.0,0.0
8b8c7616-f1b8-4638-b6ab-d5bd74ff79ef,1,0.52617,0.0,0.52617
ee08ae2f-111e-4fba-aae8-430f4d58102c,0,0.0,0.0,0.0
ee08ae2f-111e-4fba-aae8-430f4d58102c,1,0.3136,0.0,0.3136
e41bd5ba-6030-45f2-a604-8a83d36388da,0,0.0,0.0,0.0
e41bd5ba-6030-45f2-a604-8a83d36388da,1,0.0,-0.21401,-0.21401
e41bd5ba-6030-45f2-a604-8a83d36388da,2,0.0,-0.49936,-0.49936
e41bd5ba-6030-45f2-a604-8a83d36388da,3,0.0,-0.49936,-0.42803
e41bd5ba-6030-45f2-a604-8a83d36388da,4,0.0,-0.49936,-0.35669
e41bd5ba-6030-45f2-a604-8a83d36388da,5,0.0,-0.49936,-0.35669
e41bd5ba-6030-45f2-a604-8a83d36388da,6,0.0,-0.49936,-0.17834
e41bd5ba-6030-45f2-a604-8a83d36388da,7,0.0,-0.49936,-0.39236
e41bd5ba-6030-45f2-a604-8a83d36388da,8,0.0,-0.49936,-0.42803
e41bd5ba-6030-45f2-a604-8a83d36388da,9,0.0,-0.49936,-0.21401
e41bd5ba-6030-45f2-a604-8a83d36388da,10,0.0,-0.49936,-0.46369
d03e6b89-41d3-498e-bfdd-8491596cf1a6,0,0.0,0.0,0.0
d03e6b89-41d3-498e-bfdd-8491596cf1a6,1,0.25846,0.0,0.25846
d03e6b89-41d3-498e-bfdd-8491596cf1a6,2,0.3159,0.0,0.3159
d03e6b89-41d3-498e-bfdd-8491596cf1a6,3,0.77538,0.0,0.77538
d03e6b89-41d3-498e-bfdd-8491596cf1a6,4,0.91897,0.0,0.91897
d03e6b89-41d3-498e-bfdd-8491596cf1a6,5,1.37846,0.0,1.37846
d03e6b89-41d3-498e-bfdd-8491596cf1a6,6,1.63692,0.0,1.63692
f011bd56-a470-4e5c-8282-96cd3cf7358e,0,0.0,0.0,0.0
f011bd56-a470-4e5c-8282-96cd3cf7358e,1,0.09825,0.0,0.09825
f011bd56-a470-4e5c-8282-96cd3cf7358e,2,0.17684,0.0,0.17684
f011bd56-a470-4e5c-8282-96cd3cf7358e,3,0.17684,-0.0786,-0.0786
f011bd56-a470-4e5c-8282-96cd3cf7358e,4,0.17684,-0.23579,-0.23579
f011bd56-a470-4e5c-8282-96cd3cf7358e,5,0.17684,-0.23579,0.01965
f011bd56-a470-4e5c-8282-96cd3cf7358e,6,0.17684,-0.23579,0.05895
f011bd56-a470-4e5c-8282-96cd3cf7358e,7,0.17684,-0.23579,0.15719
f011bd56-a470-4e5c-8282-96cd3cf7358e,8,0.17684,-0.23579,0.13754
f011bd56-a470-4e5c-8282-96cd3cf7358e,9,0.17684,-0.23579,-0.09825
f011bd56-a470-4e5c-8282-96cd3cf7358e,10,0.17684,-0.23579,-0.17684
3d42b764-ea17-4eed-a401-ed0c5e0bb816,0,0.0,0.0,0.0
3d42b764-ea17-4eed-a401-ed0c5e0bb816,1,0.34633,0.0,0.34633
15a906c0-211a-4384-a571-9508403964a2,0,0.0,0.0,0.0
15a906c0-211a-4384-a571-9508403964a2,1,0.0,-0.27211,-0.27211
15a906c0-211a-4384-a571-9508403964a2,2,0.0,-0.32109,-0.32109
15a906c0-211a-4384-a571-9508403964a2,3,0.0,-0.32109,-0.20136
15a906c0-211a-4384-a571-9508403964a2,4,0.0,-0.32109,-0.28299
15a906c0-211a-4384-a571-9508403964a2,5,0.0,-0.32109,-0.22857
15a906c0-211a-4384-a571-9508403964a2,6,0.0,-0.32109,-0.28299
15a906c0-211a-4384-a571-9508403964a2,7,0.01088,-0.32109,0.01088
15a906c0-211a-4384-a571-9508403964a2,8,0.39728,-0.32109,0.39728
6abfd962-5aef-4d63-b906-c333d7d30dee,0,0.0,0.0,0.0
6abfd962-5aef-4d63-b906-c333d7d30dee,1,0.0,-0.29442,-0.29442
6abfd962-5aef-4d63-b906-c333d7d30dee,2,0.0,-0.59485,-0.59485
6abfd962-5aef-4d63-b906-c333d7d30dee,3,0.0,-0.59485,-0.10215
6abfd962-5aef-4d63-b906-c333d7d30dee,4,0.0,-0.59485,-0.19227
6abfd962-5aef-4d63-b906-c333d7d30dee,5,0.0,-0.59485,-0.08412
6abfd962-5aef-4d63-b906-c333d7d30dee,6,0.17425,-0.59485,0.17425
6abfd962-5aef-4d63-b906-c333d7d30dee,7,0.60687,-0.59485,0.60687
6abfd962-5aef-4d63-b906-c333d7d30dee,8,0.67296,-0.59485,0.67296
6abfd962-5aef-4d63-b906-c333d7d30dee,9,1.15365,-0.59485,1.15365
6abfd962-5aef-4d63-b906-c333d7d30dee,10,1.15365,-0.59485,0.99742
6abfd962-5aef-4d63-b906-c333d7d30dee,11,1.15365,-0.59485,0.44464
edb42d23-1901-4ee0-820b-94bb240a6c8e,0,0.0,0.0,0.0
edb42d23-1901-4ee0-820b-94bb240a6c8e,1,0.13827,0.0,0.13827
edb42d23-1901-4ee0-820b-94bb240a6c8e,2,0.13827,-0.13827,-0.13827
edb42d23-1901-4ee0-820b-94bb240a6c8e,3,0.13827,-0.31111,-0.31111
edb42d23-1901-4ee0-820b-94bb240a6c8e,4,0.13827,-0.39753,-0.39753
edb42d23-1901-4ee0-820b-94bb240a6c8e,5,0.13827,-0.39753,-0.39177
edb42d23-1901-4ee0-820b-94bb240a6c8e,6,0.13827,-0.48395,-0.48395
edb42d23-1901-4ee0-820b-94bb240a6c8e,7,0.13827,-0.48395,-0.41481
edb42d23-1901-4ee0-820b-94bb240a6c8e,8,0.13827,-0.48395,-0.19588
edb42d23-1901-4ee0-820b-94bb240a6c8e,9,0.13827,-0.48395,-0.16132
edb42d23-1901-4ee0-820b-94bb240a6c8e,10,0.13827,-0.48395,0.01728
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,0,0.0,0.0,0.0
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,1,0.0,-0.23355,-0.23355
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,2,0.0,-0.3633,-0.3633
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,3,0.0,-0.3633,-0.21279
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,4,0.0,-0.3633,-0.02595
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,5,0.0,-0.3633,-0.07266
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,6,0.0,-0.3633,-0.27507
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,7,0.04671,-0.3633,0.04671
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,8,0.04671,-0.3633,-0.03633
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,9,0.04671,-0.3633,0.02076
5fc9b9a5-3f70-41da-82bb-556fdd4d350e,10,0.10899,-0.3633,0.10899
fcbcf239-b079-4086-bf7b-ad49571a75ca,0,0.0,0.0,0.0
fcbcf239-b079-4086-bf7b-ad49571a75ca,1,0.08126,0.0,0.08126
fcbcf239-b079-4086-bf7b-ad49571a75ca,2,0.08126,-0.18283,-0.18283
fcbcf239-b079-4086-bf7b-ad49571a75ca,3,0.08126,-0.20314,-0.20314
fcbcf239-b079-4086-bf7b-ad49571a75ca,4,0.08126,-0.20314,-0.00677
fcbcf239-b079-4086-bf7b-ad49571a75ca,5,0.30472,-0.20314,0.30472
d4fb6bc4-ffa0-43ed-8c71-3807a5349d35,0,0.0,0.0,0.0
d4fb6bc4-ffa0-43ed-8c71-3807a5349d35,1,0.0,-0.10378,-0.10378
d4fb6bc4-ffa0-43ed-8c71-3807a5349d35,2,0.0,-0.10378,-0.03459
d4fb6bc4-ffa0-43ed-8c71-3807a5349d35,3,0.51027,-0.10378,0.51027
e61aa228-9296-4a6f-a49c-7e66f811f855,0,0.0,0.0,0.0
e61aa228-9296-4a6f-a49c-7e66f811f855,1,0.0,-0.64019,-0.64019
e61aa228-9296-4a6f-a49c-7e66f811f855,2,0.0,-0.90975,-0.90975
88e19fcb-a572-4ce9-83ac-a023f8c586af,0,0.0,0.0,0.0
88e19fcb-a572-4ce9-83ac-a023f8c586af,1,0.22278,0.0,0.22278
88e19fcb-a572-4ce9-83ac-a023f8c586af,2,0.22278,0.0,0.13165
88e19fcb-a572-4ce9-83ac-a023f8c586af,3,0.22278,0.0,0.08101
88e19fcb-a572-4ce9-83ac-a023f8c586af,4,0.22278,-0.12152,-0.12152
88e19fcb-a572-4ce9-83ac-a023f8c586af,5,0.22278,-0.12152,0.06076
88e19fcb-a572-4ce9-83ac-a023f8c586af,6,0.22278,-0.12152,0.22278
88e19fcb-a572-4ce9-83ac-a023f8c586af,7,0.36456,-0.12152,0.36456
88e19fcb-a572-4ce9-83ac-a023f8c586af,8,0.36456,-0.12152,0.33418
88e19fcb-a572-4ce9-83ac-a023f8c586af,9,0.36456,-0.12152,0.12152
88e19fcb-a572-4ce9-83ac-a023f8c586af,10,0.36456,-0.12152,0.22278
88e19fcb-a572-4ce9-83ac-a023f8c586af,11,0.36456,-0.12152,-0.11139
6a84d818-a02b-41f6-808f-969e066bab03,0,0.0,0.0,0.0
6a84d818-a02b-41f6-808f-969e066bab03,1,0.08145,0.0,0.08145
6a84d818-a02b-41f6-808f-969e066bab03,2,0.08145,-0.06109,-0.06109
6a84d818-a02b-41f6-808f-969e066bab03,3,0.08145,-0.10182,-0.10182
6a84d818-a02b-41f6-808f-969e066bab03,4,0.08145,-0.10182,0.0
6a84d818-a02b-41f6-808f-969e066bab03,5,0.12218,-0.10182,0.12218
6a84d818-a02b-41f6-808f-969e066bab03,6,0.18327,-0.10182,0.18327
6a84d818-a02b-41f6-808f-969e066bab03,7,0.224,-0.10182,0.224
6a84d818-a02b-41f6-808f-969e066bab03,8,0.224,-0.10182,0.20364
6a84d818-a02b-41f6-808f-969e066bab03,9,0.28509,-0.10182,0.28509
6a84d818-a02b-41f6-808f-969e066bab03,10,0.28509,-0.10182,0.224
fe0cf696-e663-4f59-9a50-208c4de351d3,0,0.0,0.0,0.0
fe0cf696-e663-4f59-9a50-208c4de351d3,1,0.0,-0.03643,-0.03643
fe0cf696-e663-4f59-9a50-208c4de351d3,2,0.0,-0.03643,0.0
fe0cf696-e663-4f59-9a50-208c4de351d3,3,0.02915,-0.03643,0.02915
fe0cf696-e663-4f59-9a50-208c4de351d3,4,0.02915,-0.27326,-0.27326
fe0cf696-e663-4f59-9a50-208c4de351d3,5,0.02915,-0.27326,-0.13481
