trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
b7918542-df67-4ce5-b846-d6625cad9603,0,0.0,0.0,0.0
b7918542-df67-4ce5-b846-d6625cad9603,1,0.10566,0.0,0.10566
b7918542-df67-4ce5-b846-d6625cad9603,2,0.10566,-0.21132,-0.21132
b7918542-df67-4ce5-b846-d6625cad9603,3,0.10566,-0.3522,-0.3522
b7918542-df67-4ce5-b846-d6625cad9603,4,0.10566,-0.3522,-0.07044
b7918542-df67-4ce5-b846-d6625cad9603,5,0.10566,-0.3522,-0.21132
b7918542-df67-4ce5-b846-d6625cad9603,6,0.10566,-0.56352,-0.56352
b7918542-df67-4ce5-b846-d6625cad9603,7,0.10566,-0.56352,-0.38742
b7918542-df67-4ce5-b846-d6625cad9603,8,0.10566,-0.81006,-0.81006
b7918542-df67-4ce5-b846-d6625cad9603,9,0.10566,-1.16226,-1.16226
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,0,0.0,0.0,0.0
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,1,0.0,-0.08992,-0.08992
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,2,0.03747,-0.08992,0.03747
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,3,0.12988,-0.08992,0.12988
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,4,0.13738,-0.08992,0.13738
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,5,0.13738,-0.08992,-0.04996
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,6,0.13738,-0.08992,0.04496
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,7,0.13738,-0.08992,-0.03247
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,8,0.13738,-0.1174,-0.1174
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,9,0.13738,-0.38466,-0.38466
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,10,0.13738,-0.38466,-0.02248
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,11,0.13738,-0.38466,-0.17984
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,12,0.13738,-0.38466,-0.31971
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,13,0.13738,-0.38466,-0.04246
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,14,0.13738,-0.38466,0.10241
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,15,0.13988,-0.38466,0.13988
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,16,0.20482,-0.38466,0.20482
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,17,0.20482,-0.38466,0.13988
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,18,0.30473,-0.38466,0.30473
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,19,0.50455,-0.38466,0.50455
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,20,0.50455,-0.38466,0.3347
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,21,0.50455,-0.38466,-0.05995
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,22,0.50455,-0.38466,-0.07993
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,23,0.50455,-0.38466,-0.07244
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,24,0.50455,-0.43461,-0.43461
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,25,0.50455,-0.43461,-0.29474
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,26,0.50455,-0.43461,0.19732
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,27,0.50455,-0.43461,0.07493
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,28,0.50455,-0.47458,-0.47458
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,29,0.50455,-0.49955,-0.49955
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,30,0.50455,-0.73185,-0.73185
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,31,0.50455,-0.73185,-0.54202
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,32,0.50455,-0.73185,-0.71686
d9dd85a3-dbe3-4d54-9b9f-55e21455a19b,33,0.50455,-0.79929,-0.79929
