trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,0,0.0,0.0,0.0
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,1,0.0,0.0,0.0
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,2,0.0,-0.28966,-0.28966
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,3,0.0,-0.45862,-0.45862
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,4,0.0,-0.53103,-0.53103
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,5,0.0,-0.77241,-0.77241
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,6,0.0,-0.86897,-0.86897
d0291907-27ee-4c70-bc04-150c24ed7f90,0,0.0,0.0,0.0
d0291907-27ee-4c70-bc04-150c24ed7f90,1,0.05895,0.0,0.05895
d0291907-27ee-4c70-bc04-150c24ed7f90,2,0.23579,0.0,0.23579
d0291907-27ee-4c70-bc04-150c24ed7f90,3,0.29474,0.0,0.29474
d0291907-27ee-4c70-bc04-150c24ed7f90,4,0.29474,0.0,0.17684
d0291907-27ee-4c70-bc04-150c24ed7f90,5,0.29474,-0.17684,-0.17684
d0291907-27ee-4c70-bc04-150c24ed7f90,6,0.29474,-0.17684,0.17684
d0291907-27ee-4c70-bc04-150c24ed7f90,7,0.29474,-0.17684,0.29474
d0291907-27ee-4c70-bc04-150c24ed7f90,8,0.29474,-0.17684,0.17684
d0291907-27ee-4c70-bc04-150c24ed7f90,9,0.29474,-0.17684,0.11789
d0291907-27ee-4c70-bc04-150c24ed7f90,10,0.29474,-0.17684,0.17684
d0291907-27ee-4c70-bc04-150c24ed7f90,11,0.29474,-0.17684,-0.11789
d0291907-27ee-4c70-bc04-150c24ed7f90,12,0.58947,-0.17684,0.58947
d0291907-27ee-4c70-bc04-150c24ed7f90,13,1.06105,-0.17684,1.06105
d0291907-27ee-4c70-bc04-150c24ed7f90,14,1.06105,-0.17684,0.41263
d0291907-27ee-4c70-bc04-150c24ed7f90,15,1.06105,-0.17684,0.94316
d0291907-27ee-4c70-bc04-150c24ed7f90,16,1.06105,-0.17684,0.53053
d0291907-27ee-4c70-bc04-150c24ed7f90,17,1.06105,-0.17684,0.76632
d0291907-27ee-4c70-bc04-150c24ed7f90,18,1.06105,-0.17684,1.06105
d0291907-27ee-4c70-bc04-150c24ed7f90,19,1.35579,-0.17684,1.35579
d0291907-27ee-4c70-bc04-150c24ed7f90,20,1.41474,-0.17684,1.41474
d0291907-27ee-4c70-bc04-150c24ed7f90,21,1.59158,-0.17684,1.59158
d0291907-27ee-4c70-bc04-150c24ed7f90,22,1.59158,-0.17684,1.47368
d0291907-27ee-4c70-bc04-150c24ed7f90,23,1.82737,-0.17684,1.82737
d0291907-27ee-4c70-bc04-150c24ed7f90,24,1.82737,-0.17684,1.23789
d0291907-27ee-4c70-bc04-150c24ed7f90,25,1.82737,-0.17684,0.88421
d0291907-27ee-4c70-bc04-150c24ed7f90,26,1.82737,-0.17684,1.06105
d0291907-27ee-4c70-bc04-150c24ed7f90,27,1.82737,-0.17684,1.23789
d0291907-27ee-4c70-bc04-150c24ed7f90,28,1.82737,-0.17684,1.41474
d0291907-27ee-4c70-bc04-150c24ed7f90,29,1.82737,-0.17684,1.82737
d0291907-27ee-4c70-bc04-150c24ed7f90,30,1.82737,-0.17684,1.76842
d0291907-27ee-4c70-bc04-150c24ed7f90,31,1.82737,-0.17684,1.65053
d0291907-27ee-4c70-bc04-150c24ed7f90,32,1.82737,-0.17684,1.82737
d0291907-27ee-4c70-bc04-150c24ed7f90,33,1.82737,-0.17684,1.12
d0291907-27ee-4c70-bc04-150c24ed7f90,34,1.82737,-0.17684,0.76632
d0291907-27ee-4c70-bc04-150c24ed7f90,35,1.82737,-0.17684,0.82526
d0291907-27ee-4c70-bc04-150c24ed7f90,36,1.82737,-0.17684,1.23789
d0291907-27ee-4c70-bc04-150c24ed7f90,37,1.82737,-0.17684,1.29684
d0291907-27ee-4c70-bc04-150c24ed7f90,38,1.82737,-0.17684,1.29684
d0291907-27ee-4c70-bc04-150c24ed7f90,39,1.82737,-0.17684,0.94316
d0291907-27ee-4c70-bc04-150c24ed7f90,40,1.82737,-0.17684,1.06105
d0291907-27ee-4c70-bc04-150c24ed7f90,41,1.82737,-0.17684,1.59158
d0291907-27ee-4c70-bc04-150c24ed7f90,42,1.82737,-0.17684,1.47368
d0291907-27ee-4c70-bc04-150c24ed7f90,43,1.82737,-0.17684,1.17895
d0291907-27ee-4c70-bc04-150c24ed7f90,44,1.82737,-0.17684,0.82526
d0291907-27ee-4c70-bc04-150c24ed7f90,45,1.82737,-0.17684,0.94316
84b20172-3b8b-4b98-8e95-bfc7592d9c29,0,0.0,0.0,0.0
84b20172-3b8b-4b98-8e95-bfc7592d9c29,1,0.06914,0.0,0.06914
84b20172-3b8b-4b98-8e95-bfc7592d9c29,2,0.38025,0.0,0.38025
84b20172-3b8b-4b98-8e95-bfc7592d9c29,3,0.38025,0.0,0.24198
84b20172-3b8b-4b98-8e95-bfc7592d9c29,4,0.38025,0.0,0.1037
84b20172-3b8b-4b98-8e95-bfc7592d9c29,5,0.38025,0.0,0.34568
84b20172-3b8b-4b98-8e95-bfc7592d9c29,6,0.55309,0.0,0.55309
84b20172-3b8b-4b98-8e95-bfc7592d9c29,7,0.55309,0.0,0.51852
84b20172-3b8b-4b98-8e95-bfc7592d9c29,8,0.55309,0.0,0.1037
84b20172-3b8b-4b98-8e95-bfc7592d9c29,9,0.55309,-0.13827,-0.13827
84b20172-3b8b-4b98-8e95-bfc7592d9c29,10,0.55309,-0.13827,0.0
84b20172-3b8b-4b98-8e95-bfc7592d9c29,11,0.55309,-0.13827,0.1037
84b20172-3b8b-4b98-8e95-bfc7592d9c29,12,0.55309,-0.13827,0.13827
84b20172-3b8b-4b98-8e95-bfc7592d9c29,13,0.55309,-0.13827,0.31111
84b20172-3b8b-4b98-8e95-bfc7592d9c29,14,0.55309,-0.13827,0.51852
84b20172-3b8b-4b98-8e95-bfc7592d9c29,15,0.55309,-0.13827,0.55309
84b20172-3b8b-4b98-8e95-bfc7592d9c29,16,0.72593,-0.13827,0.72593
84b20172-3b8b-4b98-8e95-bfc7592d9c29,17,0.72593,-0.13827,0.34568
84b20172-3b8b-4b98-8e95-bfc7592d9c29,18,0.72593,-0.13827,0.24198
84b20172-3b8b-4b98-8e95-bfc7592d9c29,19,0.72593,-0.13827,0.27654
84b20172-3b8b-4b98-8e95-bfc7592d9c29,20,0.72593,-0.13827,0.34568
84b20172-3b8b-4b98-8e95-bfc7592d9c29,21,0.72593,-0.13827,0.58765
84b20172-3b8b-4b98-8e95-bfc7592d9c29,22,0.72593,-0.13827,0.58765
84b20172-3b8b-4b98-8e95-bfc7592d9c29,23,0.72593,-0.13827,0.69136
84b20172-3b8b-4b98-8e95-bfc7592d9c29,24,0.72593,-0.13827,0.48395
84b20172-3b8b-4b98-8e95-bfc7592d9c29,25,0.72593,-0.13827,0.24198
84b20172-3b8b-4b98-8e95-bfc7592d9c29,26,0.72593,-0.13827,0.13827
84b20172-3b8b-4b98-8e95-bfc7592d9c29,27,0.72593,-0.13827,0.13827
84b20172-3b8b-4b98-8e95-bfc7592d9c29,28,0.72593,-0.13827,0.34568
84b20172-3b8b-4b98-8e95-bfc7592d9c29,29,0.72593,-0.13827,0.34568
84b20172-3b8b-4b98-8e95-bfc7592d9c29,30,0.72593,-0.13827,0.27654
84b20172-3b8b-4b98-8e95-bfc7592d9c29,31,0.72593,-0.13827,0.13827
84b20172-3b8b-4b98-8e95-bfc7592d9c29,32,0.72593,-0.13827,0.20741
84b20172-3b8b-4b98-8e95-bfc7592d9c29,33,0.72593,-0.13827,0.27654
84b20172-3b8b-4b98-8e95-bfc7592d9c29,34,0.72593,-0.13827,0.03457
84b20172-3b8b-4b98-8e95-bfc7592d9c29,35,0.72593,-0.13827,-0.03457
84b20172-3b8b-4b98-8e95-bfc7592d9c29,36,0.72593,-0.13827,0.03457
84b20172-3b8b-4b98-8e95-bfc7592d9c29,37,0.72593,-0.13827,-0.1037
84b20172-3b8b-4b98-8e95-bfc7592d9c29,38,0.72593,-0.20741,-0.20741
84b20172-3b8b-4b98-8e95-bfc7592d9c29,39,0.72593,-0.20741,-0.17284
84b20172-3b8b-4b98-8e95-bfc7592d9c29,40,0.72593,-0.20741,0.03457
84b20172-3b8b-4b98-8e95-bfc7592d9c29,41,0.72593,-0.20741,0.06914
84b20172-3b8b-4b98-8e95-bfc7592d9c29,42,0.72593,-0.20741,-0.1037
84b20172-3b8b-4b98-8e95-bfc7592d9c29,43,0.72593,-0.20741,0.06914
84b20172-3b8b-4b98-8e95-bfc7592d9c29,44,0.72593,-0.24198,-0.24198
84b20172-3b8b-4b98-8e95-bfc7592d9c29,45,0.72593,-0.24198,-0.17284
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,0,0.0,0.0,0.0
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,1,0.0,-0.112,-0.112
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,2,0.0,-0.168,-0.168
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,3,0.0,-0.336,-0.336
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,4,0.0,-1.4,-1.4
