trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
bd934ee3-34fe-4875-91c4-feae1c2dbedb,0,0.0,0.0,0.0
bd934ee3-34fe-4875-91c4-feae1c2dbedb,1,0.0,-0.09492,-0.09492
bd934ee3-34fe-4875-91c4-feae1c2dbedb,2,0.56949,-0.09492,0.56949
bd934ee3-34fe-4875-91c4-feae1c2dbedb,3,1.2339,-0.09492,1.2339
bd934ee3-34fe-4875-91c4-feae1c2dbedb,4,1.99322,-0.09492,1.99322
bd934ee3-34fe-4875-91c4-feae1c2dbedb,5,1.99322,-0.09492,1.04407
bd934ee3-34fe-4875-91c4-feae1c2dbedb,6,1.99322,-0.09492,1.13898
bd934ee3-34fe-4875-91c4-feae1c2dbedb,7,1.99322,-0.09492,1.04407
bd934ee3-34fe-4875-91c4-feae1c2dbedb,8,1.99322,-0.09492,1.51864
bd934ee3-34fe-4875-91c4-feae1c2dbedb,9,1.99322,-0.09492,1.89831
bd934ee3-34fe-4875-91c4-feae1c2dbedb,10,2.37288,-0.09492,2.37288
bd934ee3-34fe-4875-91c4-feae1c2dbedb,11,2.37288,-0.09492,2.18305
bd934ee3-34fe-4875-91c4-feae1c2dbedb,12,2.37288,-0.09492,2.37288
bd934ee3-34fe-4875-91c4-feae1c2dbedb,13,2.37288,-0.09492,1.42373
bd934ee3-34fe-4875-91c4-feae1c2dbedb,14,2.37288,-0.09492,1.70847
bd934ee3-34fe-4875-91c4-feae1c2dbedb,15,2.37288,-0.09492,1.70847
bd934ee3-34fe-4875-91c4-feae1c2dbedb,16,2.37288,-0.09492,1.80339
bd934ee3-34fe-4875-91c4-feae1c2dbedb,17,2.37288,-0.09492,1.51864
bd934ee3-34fe-4875-91c4-feae1c2dbedb,18,2.37288,-0.09492,1.80339
bd934ee3-34fe-4875-91c4-feae1c2dbedb,19,2.37288,-0.09492,1.42373
bd934ee3-34fe-4875-91c4-feae1c2dbedb,20,2.37288,-0.09492,1.80339
bd934ee3-34fe-4875-91c4-feae1c2dbedb,21,2.37288,-0.09492,0.75932
1c90ca37-76b1-4122-8d00-8d974b420690,0,0.0,0.0,0.0
1c90ca37-76b1-4122-8d00-8d974b420690,1,0.0,-0.08358,-0.08358
1c90ca37-76b1-4122-8d00-8d974b420690,2,0.33433,-0.08358,0.33433
1c90ca37-76b1-4122-8d00-8d974b420690,3,0.33433,-0.12537,-0.12537
1c90ca37-76b1-4122-8d00-8d974b420690,4,0.33433,-0.25075,-0.25075
1c90ca37-76b1-4122-8d00-8d974b420690,5,0.33433,-0.25075,-0.08358
1c90ca37-76b1-4122-8d00-8d974b420690,6,0.33433,-0.25075,0.04179
1c90ca37-76b1-4122-8d00-8d974b420690,7,0.33433,-0.25075,0.04179
1c90ca37-76b1-4122-8d00-8d974b420690,8,0.33433,-0.25075,0.12537
1c90ca37-76b1-4122-8d00-8d974b420690,9,0.33433,-0.25075,-0.16716
1c90ca37-76b1-4122-8d00-8d974b420690,10,0.33433,-0.25075,-0.25075
1c90ca37-76b1-4122-8d00-8d974b420690,11,0.33433,-0.33433,-0.33433
1c90ca37-76b1-4122-8d00-8d974b420690,12,0.33433,-0.37612,-0.37612
1c90ca37-76b1-4122-8d00-8d974b420690,13,0.33433,-0.37612,-0.37612
1c90ca37-76b1-4122-8d00-8d974b420690,14,0.33433,-0.58507,-0.58507
1c90ca37-76b1-4122-8d00-8d974b420690,15,0.33433,-0.79403,-0.79403
1c90ca37-76b1-4122-8d00-8d974b420690,16,0.33433,-1.12836,-1.12836
0d70a5ea-0b8d-4450-8525-df9732dd20de,0,0.0,0.0,0.0
0d70a5ea-0b8d-4450-8525-df9732dd20de,1,0.0,-0.1098,-0.1098
0d70a5ea-0b8d-4450-8525-df9732dd20de,2,0.0,-0.25621,-0.25621
0d70a5ea-0b8d-4450-8525-df9732dd20de,3,0.0,-0.25621,-0.25621
0d70a5ea-0b8d-4450-8525-df9732dd20de,4,0.0,-0.25621,-0.14641
0d70a5ea-0b8d-4450-8525-df9732dd20de,5,0.0,-0.25621,-0.21961
0d70a5ea-0b8d-4450-8525-df9732dd20de,6,0.21961,-0.25621,0.21961
0d70a5ea-0b8d-4450-8525-df9732dd20de,7,0.21961,-0.25621,0.21961
0d70a5ea-0b8d-4450-8525-df9732dd20de,8,0.21961,-0.25621,-0.18301
0d70a5ea-0b8d-4450-8525-df9732dd20de,9,0.21961,-0.84183,-0.84183
0d70a5ea-0b8d-4450-8525-df9732dd20de,10,0.21961,-1.06144,-1.06144
9ec8c99a-a953-4041-bf20-1af0be29e527,0,0.0,0.0,0.0
9ec8c99a-a953-4041-bf20-1af0be29e527,1,0.0,0.0,0.0
9ec8c99a-a953-4041-bf20-1af0be29e527,2,0.0,-0.28966,-0.28966
9ec8c99a-a953-4041-bf20-1af0be29e527,3,0.0,-0.45862,-0.45862
9ec8c99a-a953-4041-bf20-1af0be29e527,4,0.0,-0.53103,-0.53103
9ec8c99a-a953-4041-bf20-1af0be29e527,5,0.0,-0.77241,-0.77241
9ec8c99a-a953-4041-bf20-1af0be29e527,6,0.0,-0.86897,-0.86897
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,0,0.0,0.0,0.0
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,1,0.47805,0.0,0.47805
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,2,0.54634,0.0,0.54634
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,3,0.54634,0.0,0.40976
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,4,0.54634,-0.20488,-0.20488
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,5,0.54634,-0.20488,0.0
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,6,0.54634,-0.20488,0.34146
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,7,0.8878,-0.20488,0.8878
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,8,0.9561,-0.20488,0.9561
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,9,0.9561,-0.20488,0.9561
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,10,0.9561,-0.20488,0.81951
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,11,0.9561,-0.20488,0.34146
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,12,0.9561,-0.20488,0.68293
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,13,1.22927,-0.20488,1.22927
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,14,1.70732,-0.20488,1.70732
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,15,1.70732,-0.20488,1.50244
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,16,1.9122,-0.20488,1.9122
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,17,1.9122,-0.20488,1.8439
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,18,1.9122,-0.20488,1.70732
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,19,1.9122,-0.20488,1.70732
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,20,1.9122,-0.20488,1.8439
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,21,2.11707,-0.20488,2.11707
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,22,2.11707,-0.20488,1.8439
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,23,2.11707,-0.20488,1.8439
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,24,2.11707,-0.20488,2.04878
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,25,2.18537,-0.20488,2.18537
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,26,2.18537,-0.20488,2.18537
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,27,2.45854,-0.20488,2.45854
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,28,2.59512,-0.20488,2.59512
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,29,2.66341,-0.20488,2.66341
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,30,2.66341,-0.20488,2.39024
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,31,2.73171,-0.20488,2.73171
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,32,2.93659,-0.20488,2.93659
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,33,2.93659,-0.20488,2.45854
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,34,2.93659,-0.20488,2.39024
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,35,2.93659,-0.20488,2.25366
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,36,2.93659,-0.20488,2.52683
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,37,3.00488,-0.20488,3.00488
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,38,3.00488,-0.20488,2.66341
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,39,3.00488,-0.20488,2.59512
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,40,3.00488,-0.20488,1.9122
86da944d-2bc9-421b-ba05-661dcba3c12f,0,0.0,0.0,0.0
86da944d-2bc9-421b-ba05-661dcba3c12f,1,0.06914,0.0,0.06914
86da944d-2bc9-421b-ba05-661dcba3c12f,2,0.38025,0.0,0.38025
86da944d-2bc9-421b-ba05-661dcba3c12f,3,0.38025,0.0,0.24198
86da944d-2bc9-421b-ba05-661dcba3c12f,4,0.38025,0.0,0.1037
86da944d-2bc9-421b-ba05-661dcba3c12f,5,0.38025,0.0,0.34568
86da944d-2bc9-421b-ba05-661dcba3c12f,6,0.55309,0.0,0.55309
86da944d-2bc9-421b-ba05-661dcba3c12f,7,0.55309,0.0,0.51852
86da944d-2bc9-421b-ba05-661dcba3c12f,8,0.55309,0.0,0.1037
86da944d-2bc9-421b-ba05-661dcba3c12f,9,0.55309,-0.13827,-0.13827
86da944d-2bc9-421b-ba05-661dcba3c12f,10,0.55309,-0.13827,0.0
86da944d-2bc9-421b-ba05-661dcba3c12f,11,0.55309,-0.13827,0.1037
86da944d-2bc9-421b-ba05-661dcba3c12f,12,0.55309,-0.13827,0.13827
86da944d-2bc9-421b-ba05-661dcba3c12f,13,0.55309,-0.13827,0.31111
86da944d-2bc9-421b-ba05-661dcba3c12f,14,0.55309,-0.13827,0.51852
86da944d-2bc9-421b-ba05-661dcba3c12f,15,0.55309,-0.13827,0.55309
86da944d-2bc9-421b-ba05-661dcba3c12f,16,0.72593,-0.13827,0.72593
86da944d-2bc9-421b-ba05-661dcba3c12f,17,0.72593,-0.13827,0.34568
86da944d-2bc9-421b-ba05-661dcba3c12f,18,0.72593,-0.13827,0.24198
