trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
374798fb-b970-4b69-80b0-12c6a0a6123f,0,0.0,0.0,0.0
374798fb-b970-4b69-80b0-12c6a0a6123f,1,0.0,0.0,0.0
374798fb-b970-4b69-80b0-12c6a0a6123f,2,0.0,-0.28966,-0.28966
374798fb-b970-4b69-80b0-12c6a0a6123f,3,0.0,-0.45862,-0.45862
374798fb-b970-4b69-80b0-12c6a0a6123f,4,0.0,-0.53103,-0.53103
374798fb-b970-4b69-80b0-12c6a0a6123f,5,0.0,-0.77241,-0.77241
374798fb-b970-4b69-80b0-12c6a0a6123f,6,0.0,-0.86897,-0.86897
9394eb65-a319-4103-a092-7e341586c945,0,0.0,0.0,0.0
9394eb65-a319-4103-a092-7e341586c945,1,0.06914,0.0,0.06914
9394eb65-a319-4103-a092-7e341586c945,2,0.38025,0.0,0.38025
9394eb65-a319-4103-a092-7e341586c945,3,0.38025,0.0,0.24198
9394eb65-a319-4103-a092-7e341586c945,4,0.38025,0.0,0.1037
9394eb65-a319-4103-a092-7e341586c945,5,0.38025,0.0,0.34568
9394eb65-a319-4103-a092-7e341586c945,6,0.55309,0.0,0.55309
9394eb65-a319-4103-a092-7e341586c945,7,0.55309,0.0,0.51852
9394eb65-a319-4103-a092-7e341586c945,8,0.55309,0.0,0.1037
9394eb65-a319-4103-a092-7e341586c945,9,0.55309,-0.13827,-0.13827
9394eb65-a319-4103-a092-7e341586c945,10,0.55309,-0.13827,0.0
9394eb65-a319-4103-a092-7e341586c945,11,0.55309,-0.13827,0.1037
9394eb65-a319-4103-a092-7e341586c945,12,0.55309,-0.13827,0.13827
9394eb65-a319-4103-a092-7e341586c945,13,0.55309,-0.13827,0.31111
9394eb65-a319-4103-a092-7e341586c945,14,0.55309,-0.13827,0.51852
9394eb65-a319-4103-a092-7e341586c945,15,0.55309,-0.13827,0.55309
9394eb65-a319-4103-a092-7e341586c945,16,0.72593,-0.13827,0.72593
9394eb65-a319-4103-a092-7e341586c945,17,0.72593,-0.13827,0.34568
9394eb65-a319-4103-a092-7e341586c945,18,0.72593,-0.13827,0.24198
9394eb65-a319-4103-a092-7e341586c945,19,0.72593,-0.13827,0.27654
9394eb65-a319-4103-a092-7e341586c945,20,0.72593,-0.13827,0.34568
9394eb65-a319-4103-a092-7e341586c945,21,0.72593,-0.13827,0.58765
9394eb65-a319-4103-a092-7e341586c945,22,0.72593,-0.13827,0.58765
9394eb65-a319-4103-a092-7e341586c945,23,0.72593,-0.13827,0.69136
9394eb65-a319-4103-a092-7e341586c945,24,0.72593,-0.13827,0.48395
9394eb65-a319-4103-a092-7e341586c945,25,0.72593,-0.13827,0.24198
9394eb65-a319-4103-a092-7e341586c945,26,0.72593,-0.13827,0.13827
9394eb65-a319-4103-a092-7e341586c945,27,0.72593,-0.13827,0.13827
9394eb65-a319-4103-a092-7e341586c945,28,0.72593,-0.13827,0.34568
9394eb65-a319-4103-a092-7e341586c945,29,0.72593,-0.13827,0.34568
9394eb65-a319-4103-a092-7e341586c945,30,0.72593,-0.13827,0.27654
9394eb65-a319-4103-a092-7e341586c945,31,0.72593,-0.13827,0.13827
9394eb65-a319-4103-a092-7e341586c945,32,0.72593,-0.13827,0.20741
9394eb65-a319-4103-a092-7e341586c945,33,0.72593,-0.13827,0.27654
9394eb65-a319-4103-a092-7e341586c945,34,0.72593,-0.13827,0.03457
