trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
a0c73103-544d-4fc9-b35a-09db30375030,0,0.0,0.0,0.0
a0c73103-544d-4fc9-b35a-09db30375030,1,0.0,0.0,0.0
a0c73103-544d-4fc9-b35a-09db30375030,2,0.0,-0.28966,-0.28966
a0c73103-544d-4fc9-b35a-09db30375030,3,0.0,-0.45862,-0.45862
a0c73103-544d-4fc9-b35a-09db30375030,4,0.0,-0.53103,-0.53103
a0c73103-544d-4fc9-b35a-09db30375030,5,0.0,-0.77241,-0.77241
a0c73103-544d-4fc9-b35a-09db30375030,6,0.0,-0.86897,-0.86897
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,0,0.0,0.0,0.0
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,1,0.05895,0.0,0.05895
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,2,0.23579,0.0,0.23579
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,3,0.29474,0.0,0.29474
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,4,0.29474,0.0,0.17684
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,5,0.29474,-0.17684,-0.17684
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,6,0.29474,-0.17684,0.17684
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,7,0.29474,-0.17684,0.29474
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,8,0.29474,-0.17684,0.17684
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,9,0.29474,-0.17684,0.11789
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,10,0.29474,-0.17684,0.17684
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,11,0.29474,-0.17684,-0.11789
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,12,0.58947,-0.17684,0.58947
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,13,1.06105,-0.17684,1.06105
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,14,1.06105,-0.17684,0.41263
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,15,1.06105,-0.17684,0.94316
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,16,1.06105,-0.17684,0.53053
d6ddac3b-1ccf-4a89-ac27-5fa596163cab,17,1.06105,-0.17684,0.76632
