trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
f835f1f6-3bc4-4316-9ffe-391a89d3ef53,0,0.0,0.0,0.0
f835f1f6-3bc4-4316-9ffe-391a89d3ef53,1,0.0,-0.18824,-0.18824
f835f1f6-3bc4-4316-9ffe-391a89d3ef53,2,0.0,-0.37647,-0.37647
f835f1f6-3bc4-4316-9ffe-391a89d3ef53,3,0.02353,-0.37647,0.02353
f835f1f6-3bc4-4316-9ffe-391a89d3ef53,4,0.37647,-0.37647,0.37647
9d1ce1fe-7b72-4e8b-a060-8e76e12fa5ec,0,0.0,0.0,0.0
9d1ce1fe-7b72-4e8b-a060-8e76e12fa5ec,1,0.12444,0.0,0.12444
9d1ce1fe-7b72-4e8b-a060-8e76e12fa5ec,2,0.52267,0.0,0.52267
9d1ce1fe-7b72-4e8b-a060-8e76e12fa5ec,3,0.74667,0.0,0.74667
a3d121d2-75d6-4ce2-8a2d-df196afe0e3b,0,0.0,0.0,0.0
a3d121d2-75d6-4ce2-8a2d-df196afe0e3b,1,0.02393,0.0,0.02393
a3d121d2-75d6-4ce2-8a2d-df196afe0e3b,2,0.38291,0.0,0.38291
afd146d3-f330-4fa3-b5a5-8a8760c7c22c,0,0.0,0.0,0.0
afd146d3-f330-4fa3-b5a5-8a8760c7c22c,1,0.17352,0.0,0.17352
afd146d3-f330-4fa3-b5a5-8a8760c7c22c,2,0.41014,0.0,0.41014
52f3ca3e-9ed4-4497-945b-88d4066ac84e,0,0.0,0.0,0.0
52f3ca3e-9ed4-4497-945b-88d4066ac84e,1,0.3469,0.0,0.3469
52f3ca3e-9ed4-4497-945b-88d4066ac84e,2,0.3882,0.0,0.3882
52f3ca3e-9ed4-4497-945b-88d4066ac84e,3,0.39646,0.0,0.39646
52f3ca3e-9ed4-4497-945b-88d4066ac84e,4,0.67729,0.0,0.67729
52f3ca3e-9ed4-4497-945b-88d4066ac84e,5,1.11504,0.0,1.11504
52f3ca3e-9ed4-4497-945b-88d4066ac84e,6,1.11504,0.0,0.98289
52f3ca3e-9ed4-4497-945b-88d4066ac84e,7,1.75929,0.0,1.75929
5261ab14-aa9a-4e7b-af9a-bf3e18f83186,0,0.0,0.0,0.0
5261ab14-aa9a-4e7b-af9a-bf3e18f83186,1,0.54593,0.0,0.54593
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,0,0.0,0.0,0.0
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,1,0.0,-0.24348,-0.24348
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,2,0.0,-0.34087,-0.34087
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,3,0.0,-0.34087,-0.14609
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,4,0.0,-0.48696,-0.48696
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,5,0.0,-0.58435,-0.58435
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,6,0.0,-0.58435,-0.38957
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,7,0.0,-0.58435,0.0
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,8,0.09739,-0.58435,0.09739
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,9,0.53565,-0.58435,0.53565
c412b60c-f941-4bce-a420-644ddaa3ffee,0,0.0,0.0,0.0
c412b60c-f941-4bce-a420-644ddaa3ffee,1,0.0,-0.14194,-0.14194
c412b60c-f941-4bce-a420-644ddaa3ffee,2,0.15484,-0.14194,0.15484
c412b60c-f941-4bce-a420-644ddaa3ffee,3,1.09677,-0.14194,1.09677
dce67312-5534-4d86-8342-23efcff48dc1,0,0.0,0.0,0.0
dce67312-5534-4d86-8342-23efcff48dc1,1,0.01026,0.0,0.01026
dce67312-5534-4d86-8342-23efcff48dc1,2,0.10256,0.0,0.10256
dce67312-5534-4d86-8342-23efcff48dc1,3,0.36923,0.0,0.36923
404bebeb-9edf-47f6-93f0-4aaa1c720adc,0,0.0,0.0,0.0
404bebeb-9edf-47f6-93f0-4aaa1c720adc,1,0.0,-0.28936,-0.28936
404bebeb-9edf-47f6-93f0-4aaa1c720adc,2,0.15319,-0.28936,0.15319
404bebeb-9edf-47f6-93f0-4aaa1c720adc,3,0.52766,-0.28936,0.52766
404bebeb-9edf-47f6-93f0-4aaa1c720adc,4,1.1234,-0.28936,1.1234
404bebeb-9edf-47f6-93f0-4aaa1c720adc,5,1.32766,-0.28936,1.32766
404bebeb-9edf-47f6-93f0-4aaa1c720adc,6,1.32766,-0.28936,1.15745
404bebeb-9edf-47f6-93f0-4aaa1c720adc,7,1.32766,-0.28936,1.05532
404bebeb-9edf-47f6-93f0-4aaa1c720adc,8,1.37872,-0.28936,1.37872
404bebeb-9edf-47f6-93f0-4aaa1c720adc,9,1.37872,-0.28936,1.1234
404bebeb-9edf-47f6-93f0-4aaa1c720adc,10,1.87234,-0.28936,1.87234
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,0,0.0,0.0,0.0
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,1,0.22542,0.0,0.22542
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,2,0.22542,0.0,0.10678
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,3,0.22542,-0.07119,-0.07119
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,4,0.22542,-0.59322,-0.59322
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,5,0.22542,-1.04407,-1.04407
29dc97d6-98af-4110-ae5c-1adee14e6087,0,0.0,0.0,0.0
29dc97d6-98af-4110-ae5c-1adee14e6087,1,0.10303,0.0,0.10303
29dc97d6-98af-4110-ae5c-1adee14e6087,2,0.13333,0.0,0.13333
29dc97d6-98af-4110-ae5c-1adee14e6087,3,0.13333,0.0,0.07879
29dc97d6-98af-4110-ae5c-1adee14e6087,4,0.21212,0.0,0.21212
29dc97d6-98af-4110-ae5c-1adee14e6087,5,0.40606,0.0,0.40606
29dc97d6-98af-4110-ae5c-1adee14e6087,6,0.46667,0.0,0.46667
29dc97d6-98af-4110-ae5c-1adee14e6087,7,0.46667,0.0,0.40606
29dc97d6-98af-4110-ae5c-1adee14e6087,8,0.77576,0.0,0.77576
29dc97d6-98af-4110-ae5c-1adee14e6087,9,0.77576,0.0,0.37576
29dc97d6-98af-4110-ae5c-1adee14e6087,10,0.77576,0.0,0.46061
29dc97d6-98af-4110-ae5c-1adee14e6087,11,0.77576,-0.07879,-0.07879
02c24e45-f195-47b2-8345-0d14aa04640a,0,0.0,0.0,0.0
02c24e45-f195-47b2-8345-0d14aa04640a,1,0.12506,0.0,0.12506
02c24e45-f195-47b2-8345-0d14aa04640a,2,0.23623,0.0,0.23623
02c24e45-f195-47b2-8345-0d14aa04640a,3,0.29181,0.0,0.29181
02c24e45-f195-47b2-8345-0d14aa04640a,4,0.3196,0.0,0.3196
02c24e45-f195-47b2-8345-0d14aa04640a,5,0.54194,0.0,0.54194
02c24e45-f195-47b2-8345-0d14aa04640a,6,0.62531,0.0,0.62531
02c24e45-f195-47b2-8345-0d14aa04640a,7,1.3201,0.0,1.3201
02c24e45-f195-47b2-8345-0d14aa04640a,8,1.3201,0.0,1.04218
02c24e45-f195-47b2-8345-0d14aa04640a,9,1.37568,0.0,1.37568
02c24e45-f195-47b2-8345-0d14aa04640a,10,3.76576,0.0,3.76576
a3dd1344-e5ca-46de-bbe5-9d1b37323928,0,0.0,0.0,0.0
a3dd1344-e5ca-46de-bbe5-9d1b37323928,1,0.07629,0.0,0.07629
a3dd1344-e5ca-46de-bbe5-9d1b37323928,2,0.07629,-0.08392,-0.08392
a3dd1344-e5ca-46de-bbe5-9d1b37323928,3,0.07629,-0.38147,-0.38147
a3dd1344-e5ca-46de-bbe5-9d1b37323928,4,0.07629,-0.70191,-0.70191
a3dd1344-e5ca-46de-bbe5-9d1b37323928,5,0.07629,-0.70191,-0.31281
a3dd1344-e5ca-46de-bbe5-9d1b37323928,6,0.07629,-0.70191,-0.16022
a3dd1344-e5ca-46de-bbe5-9d1b37323928,7,0.07629,-0.70191,-0.35095
a3dd1344-e5ca-46de-bbe5-9d1b37323928,8,0.07629,-0.70191,-0.32807
a3dd1344-e5ca-46de-bbe5-9d1b37323928,9,0.07629,-0.70191,-0.51117
a3dd1344-e5ca-46de-bbe5-9d1b37323928,10,0.07629,-0.70191,-0.4654
b636fcb1-dcf1-464f-876c-6dcf158d3815,0,0.0,0.0,0.0
b636fcb1-dcf1-464f-876c-6dcf158d3815,1,0.42271,0.0,0.42271
b636fcb1-dcf1-464f-876c-6dcf158d3815,2,0.76955,0.0,0.76955
b636fcb1-dcf1-464f-876c-6dcf158d3815,3,0.76955,0.0,0.46245
b636fcb1-dcf1-464f-876c-6dcf158d3815,4,1.30426,0.0,1.30426
004ae295-a499-4a4d-b5c5-0b8282ab5b8f,0,0.0,0.0,0.0
004ae295-a499-4a4d-b5c5-0b8282ab5b8f,1,0.1088,0.0,0.1088
004ae295-a499-4a4d-b5c5-0b8282ab5b8f,2,0.1088,-0.0384,-0.0384
