trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
a59d9619-5cb4-47e3-b8cf-e217df65259e,0,0.0,0.0,0.0
a59d9619-5cb4-47e3-b8cf-e217df65259e,1,0.0,-0.56875,-0.56875
a59d9619-5cb4-47e3-b8cf-e217df65259e,2,0.0,-1.1375,-1.1375
998cf86a-8f6a-4542-9e75-3c7fefeed4a6,0,0.0,0.0,0.0
998cf86a-8f6a-4542-9e75-3c7fefeed4a6,1,1.12,0.0,1.12
1256082f-d03d-478b-aeb6-210c138c92ee,0,0.0,0.0,0.0
1256082f-d03d-478b-aeb6-210c138c92ee,1,0.65116,0.0,0.65116
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,0,0.0,0.0,0.0
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,1,0.01778,0.0,0.01778
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,2,0.01778,-0.05333,-0.05333
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,3,0.01778,-0.05333,-0.05333
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,4,0.01778,-0.10667,-0.10667
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,5,0.01778,-0.26667,-0.26667
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,6,0.01778,-0.26667,-0.26667
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,7,0.01778,-0.26667,-0.24889
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,8,0.01778,-0.49778,-0.49778
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,9,0.01778,-0.49778,-0.44444
5b782cff-27a5-4bf3-b75a-74f88e7aaab9,10,0.01778,-0.49778,-0.01778
cdd98188-b8e1-4ff8-833c-45c3077dca8e,0,0.0,0.0,0.0
cdd98188-b8e1-4ff8-833c-45c3077dca8e,1,0.03544,0.0,0.03544
cdd98188-b8e1-4ff8-833c-45c3077dca8e,2,0.28354,0.0,0.28354
cdd98188-b8e1-4ff8-833c-45c3077dca8e,3,0.63797,0.0,0.63797
cdd98188-b8e1-4ff8-833c-45c3077dca8e,4,0.63797,0.0,0.21266
be74f865-dfb8-4c97-a06a-aa2d5aa00532,0,0.0,0.0,0.0
be74f865-dfb8-4c97-a06a-aa2d5aa00532,1,0.52617,0.0,0.52617
1e4b37e9-1060-4128-827c-9a5e25f89609,0,0.0,0.0,0.0
1e4b37e9-1060-4128-827c-9a5e25f89609,1,0.3136,0.0,0.3136
58da5e40-8732-4b13-99c0-fb75974c2e5f,0,0.0,0.0,0.0
58da5e40-8732-4b13-99c0-fb75974c2e5f,1,0.0,-0.21401,-0.21401
