trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
7676efbf-0492-4cc6-8a56-3e5d4c6a4177,NEARUSDT,2026-03-03T15:39:59.999000+00:00,7,79.5,2.4604,2.2123,1.163,15,15.6863,-0.6528,1.1662,0.2209,4,1,0,0,1,1,1,0.0035,vol_trail,49
360d20a1-7eff-4fb5-b237-629bf5e509f6,NEARUSDT,2026-03-05T21:29:59.999000+00:00,1,64.9,-0.4241,0.4755,0.383,21,19.7441,0.2576,-0.0776,2.499,4,0,1,0,1,1,1,-1.0,stop_loss,2
afa15fd4-a1fb-4446-b2a7-b0a1ffc26ba1,NEARUSDT,2026-05-07T14:14:59.999000+00:00,1,56.7,-0.721,1.9318,0.4768,14,15.528,-0.7058,-0.3989,2.2144,4,0,1,0,1,1,1,-1.0,stop_loss,4
ee619ece-9843-4d2d-b4f5-140d509c9b3d,NEARUSDT,2026-05-14T21:39:59.999000+00:00,1,64.1,-0.2052,1.0841,0.3641,21,-1.3158,0.1178,-1.853,2.2215,4,0,1,0,1,1,1,-1.0,stop_loss,26
9089a9a7-1a20-41ad-a802-6efd3493029c,ZECUSDT,2026-02-16T20:29:59.999000+00:00,1,60.3,-0.5977,0.6176,0.4117,20,27.3867,0.2178,-1.6765,2.4629,4,0,1,0,1,1,1,0.5811,vol_trail,14
1ac6ff60-b6cb-488f-837b-f153e644acde,ZECUSDT,2026-02-17T20:44:59.999000+00:00,1,65.5,-0.5534,0.9312,0.4253,20,22.3216,-0.1467,-1.2965,2.0568,4,0,1,0,1,1,1,0.9549,vol_trail,35
a8139eee-14b8-491e-a4ed-f8e5519a9a6b,ZECUSDT,2026-03-17T17:59:59.999000+00:00,6,77.4,4.0382,1.5878,0.6174,17,30.1684,-0.6666,0.2952,0.6495,4,1,0,1,0,1,1,0.2618,vol_trail,1
085b887e-d391-43aa-a3d3-814d310869f7,ZECUSDT,2026-03-19T21:09:59.999000+00:00,1,66.1,0.3276,0.7272,0.4315,21,19.408,0.4166,0.3225,2.518,5,1,1,0,1,1,1,-1.0,stop_loss,17
db64eb18-0b0b-4b46-8891-3ae9e7e8ac94,ZECUSDT,2026-04-08T18:34:59.999000+00:00,2,70.2,-0.0206,1.5044,0.58,18,33.0535,-0.7316,-1.9773,2.7527,4,0,1,0,1,1,1,-1.0,stop_loss,4
ce7852fe-7b7d-43c6-a8cb-d0a84d4420da,ZECUSDT,2026-05-01T15:39:59.999000+00:00,5,76.0,5.1896,0.6209,0.5204,15,-2.2809,-0.7148,0.5144,1.0227,5,1,0,1,1,1,1,0.2055,vol_trail,5
92a88cea-f39f-4205-945a-6ebf2bbac6ca,ZECUSDT,2026-05-02T16:54:59.999000+00:00,6,78.0,1.8431,1.7227,0.2619,16,8.4075,-0.7791,0.1971,2.1513,5,1,1,0,1,1,1,0.449,vol_trail,7
591efc0f-b920-4770-9614-ce2102e87f1d,ZECUSDT,2026-05-04T21:14:59.999000+00:00,6,77.7,1.5021,1.404,0.3992,21,22.8528,-0.7633,0.3446,1.2469,4,1,0,0,1,1,1,0.156,vol_trail,1
8e77787e-124b-4dc6-99b9-9c76fd91e2ba,ZECUSDT,2026-05-06T14:24:59.999000+00:00,2,69.1,-0.1307,4.9718,1.0257,14,47.4447,-0.9011,-1.7087,2.1891,4,0,1,0,1,1,1,0.3387,vol_trail,24
b42757db-add8-47c6-8e0c-f10a6a880ec8,ZECUSDT,2026-05-08T15:29:59.999000+00:00,1,58.8,0.319,0.9297,0.8877,15,48.1889,-0.1833,-1.0869,2.32,4,0,1,0,1,1,1,0.1777,vol_trail,27
3e9332c4-800f-4697-b676-e931c92d060f,ADAUSDT,2026-02-07T15:24:59.999000+00:00,2,67.9,0.6264,1.2577,0.4328,15,-3.3964,0.124,-0.6929,2.2097,4,0,1,0,1,1,1,0.0776,vol_trail,9
161d449f-b586-424e-bf60-a38d64052cea,ADAUSDT,2026-04-21T20:09:59.999000+00:00,8,82.4,4.4812,0.116,0.3939,20,0.7317,-0.5858,-1.083,0.82,4,0,0,1,1,1,1,0.1324,vol_trail,26
cb4cfb2b-a3ae-40d6-8311-53c673189d48,ADAUSDT,2026-04-22T18:14:59.999000+00:00,1,62.0,-0.3285,0.4101,0.2221,18,-3.5907,0.7406,-0.7809,2.1398,4,0,1,0,1,1,1,-1.0,stop_loss,10
8798148a-67cd-4f9d-95c6-35228a523532,ADAUSDT,2026-05-08T15:59:59.999000+00:00,1,61.8,3.7286,0.826,0.334,15,4.958,0.7257,0.2231,0.3556,4,1,0,1,1,0,1,0.7429,vol_trail,45
5a006696-f06b-473f-81c1-5b6dbb91c410,ADAUSDT,2026-05-14T14:19:59.999000+00:00,2,67.2,1.679,1.0144,0.361,14,-3.2187,0.9156,-0.2614,2.0974,4,0,1,0,1,1,1,1.203,vol_trail,31
aba48a9c-1d76-4f7a-a755-dfbb4224374d,WLDUSDT,2026-01-31T21:39:59.999000+00:00,1,62.2,-0.1648,1.2509,0.8918,21,6.1017,0.1612,-0.6001,2.1518,4,0,1,0,1,1,1,0.0116,vol_trail,81
c86ee76f-6ed3-40ea-bf0e-6751d59d1e1d,WLDUSDT,2026-04-15T16:39:59.999000+00:00,2,69.1,3.2934,0.6904,0.4362,16,10.9656,-0.1701,0.0664,-0.7642,5,1,0,1,1,1,1,0.3065,vol_trail,57
9c430644-fe35-462c-9134-37749a0e4c42,WLDUSDT,2026-04-28T18:59:59.999000+00:00,2,69.8,-0.0942,1.2869,0.2008,18,-3.4208,0.9196,0.0396,3.1009,4,1,1,0,1,0,1,-1.0,stop_loss,16
50df3478-9924-4108-9f36-ad811688172c,WLDUSDT,2026-05-05T20:14:59.999000+00:00,1,59.0,-0.0753,1.1347,0.329,20,-4.562,0.9734,0.1224,2.1949,4,1,1,0,1,0,1,1.0018,vol_trail,23
1f8cda30-3e4c-4837-ac3c-5140ff6069dd,WLDUSDT,2026-05-06T16:49:59.999000+00:00,1,58.2,-0.7278,0.7285,0.4592,16,0.9469,0.0809,-0.959,2.6153,4,0,1,0,1,1,1,-1.0,stop_loss,6
5865d13b-1e34-499a-9162-dfa5873097fc,WLDUSDT,2026-05-13T20:34:59.999000+00:00,1,58.3,-0.7845,0.8529,0.3417,20,6.1532,0.9602,-1.1819,2.4068,4,0,1,0,1,1,1,-1.0,stop_loss,10
cfbb2f59-748d-4e2d-9e2f-c46443363642,UNIUSDT,2026-02-14T17:09:59.999000+00:00,8,81.5,1.3191,0.2262,0.5415,17,-1.9913,-0.5242,0.6334,1.5204,4,1,0,0,1,1,1,0.3545,vol_trail,8
7ad8e951-24cc-43b5-aa27-3acb46c52d42,UNIUSDT,2026-05-12T17:04:59.999000+00:00,1,62.0,-0.4149,0.4564,0.3843,17,12.1256,0.377,-1.7706,2.1945,4,0,1,0,1,1,1,1.176,vol_trail,54
450f79f1-3b5a-428a-8c87-9cdef1b69e5a,NMRUSDT,2026-04-03T20:14:59.999000+00:00,1,61.1,-0.7475,5.7176,0.3124,20,15.394,0.1057,-1.0713,2.03,4,0,1,0,1,1,1,0.0178,vol_trail,29
990c3a76-4768-485d-99d7-798d75736feb,NMRUSDT,2026-04-06T16:29:59.999000+00:00,1,59.4,-0.4126,1.191,0.2804,16,15.9204,0.3136,-1.3128,2.5598,4,0,1,0,1,1,1,0.8553,vol_trail,31
daa8d560-74c1-40b5-bd11-3d52ecd529af,NMRUSDT,2026-04-07T15:29:59.999000+00:00,1,53.0,-0.4162,0.2128,1.0502,15,11.9395,-0.5764,-1.5478,2.1099,4,0,1,0,1,1,1,1.3187,vol_trail,19
97cd6094-191c-4f19-8954-ebc90a39ff43,NMRUSDT,2026-04-12T21:54:59.999000+00:00,8,80.8,5.6619,1.1507,0.4791,21,9.2263,0.8011,0.3615,-0.4478,4,1,0,1,0,1,1,-1.0,stop_loss,2
0a8b3036-bae8-4b57-bef9-427c197e8c13,NMRUSDT,2026-05-19T18:49:59.999000+00:00,5,77.1,4.4374,0.611,0.3658,18,6.6479,0.4669,-0.6873,1.7085,4,0,0,1,1,1,1,-1.0,stop_loss,7
d817b65e-0900-4226-ab7c-47c884e8c2c5,PENDLEUSDT,2026-03-02T14:49:59.999000+00:00,5,76.2,4.3033,1.1984,0.6142,14,5.782,-0.8194,0.5244,1.1871,4,1,0,1,0,1,1,1.3766,vol_trail,9
9dc80edc-e8f6-4e65-84b4-7fc4d07f23ee,PENDLEUSDT,2026-04-18T21:39:59.999000+00:00,1,61.9,-0.5492,1.7336,0.4015,21,37.7482,-0.4896,-1.0193,2.4409,4,0,1,0,1,1,1,-1.0,stop_loss,27
37a6efdf-f5a3-45c7-8789-0cad1b43efc6,PENDLEUSDT,2026-05-02T17:34:59.999000+00:00,1,55.6,-0.5202,4.5777,0.3707,17,17.8165,-0.3465,-1.4892,2.1909,4,0,1,0,1,1,1,1.3479,vol_trail,29
9c2a00fa-919b-4402-ac10-7366d59f2340,PENDLEUSDT,2026-05-03T17:59:59.999000+00:00,7,79.5,0.7808,0.8654,0.2912,17,21.2466,-0.439,-0.2518,2.172,4,0,1,0,1,1,1,1.1409,vol_trail,5
c3b0af62-a3df-4c79-8c25-b521ad51fbea,PENDLEUSDT,2026-05-05T14:09:59.999000+00:00,1,63.2,3.7909,6.9049,1.0398,14,43.0934,-0.8283,0.1762,0.5906,4,1,0,1,0,1,1,-1.0,stop_loss,6
8c849d8c-ac5c-4350-858e-ee4a56d14d99,PENDLEUSDT,2026-05-11T15:59:59.999000+00:00,5,77.1,3.3593,1.2716,0.6179,15,0.4778,0.8186,0.4797,0.9783,5,1,0,1,1,1,1,-1.0,stop_loss,13
4eec3bf6-391f-4d01-8365-c0a707a4c246,ARBUSDT,2026-02-28T19:39:59.999000+00:00,5,76.6,2.063,1.3314,0.7912,19,6.25,0.4906,1.1411,0.2958,4,1,0,0,1,1,1,0.0593,vol_trail,18
6bb83994-d93e-4286-a6fe-a53bd95a8493,ARBUSDT,2026-03-02T14:44:59.999000+00:00,7,79.2,6.4303,1.4268,0.7129,14,8.0347,0.4024,0.6763,-0.1089,5,1,0,1,1,1,1,0.9327,vol_trail,10
30ddbf21-49c1-4285-b67d-d71d7a413f9f,ARBUSDT,2026-03-03T16:09:59.999000+00:00,2,68.8,2.1585,0.2819,0.7226,16,1.0924,-0.6292,1.0816,2.0917,5,1,1,0,1,1,1,-1.0,stop_loss,6
2ab3cab4-10bc-48f0-8e10-19590d9c955e,ARBUSDT,2026-04-17T19:19:59.999000+00:00,2,68.5,-0.1472,1.4132,0.4869,19,11.5052,-0.942,-1.476,2.3813,4,0,1,0,1,1,1,-1.0,stop_loss,28
