trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
f391f7ba-a1c9-45c2-b1de-fbaf2aec965e,NEARUSDT,2026-03-02T15:09:59.999000+00:00,6,77.9,5.8405,2.2123,1.2592,15,15.6863,-0.6528,1.0753,1.0025,5,1,0,1,1,1,1,-1.0,stop_loss,6
d0291907-27ee-4c70-bc04-150c24ed7f90,NEARUSDT,2026-03-16T21:04:59.999000+00:00,7,80.7,2.0652,1.1121,0.4597,21,14.792,-0.2451,0.7509,0.377,4,1,0,0,1,1,1,0.64,vol_trail,45
84b20172-3b8b-4b98-8e95-bfc7592d9c29,NEARUSDT,2026-05-06T15:44:59.999000+00:00,1,65.0,0.4568,1.9318,0.7704,15,15.528,-0.7058,0.0666,2.6706,5,1,1,0,1,1,1,0.0074,vol_trail,45
8ed9ca12-c1cd-418f-9e8e-e6ebe6560bdd,NEARUSDT,2026-05-07T14:14:59.999000+00:00,1,56.7,-0.721,0.4752,0.4768,14,13.2512,0.2671,-0.3989,2.2144,4,0,1,0,1,1,1,-1.0,stop_loss,4
23be2867-ebc2-4446-a3ad-062014ff043c,NEARUSDT,2026-05-12T18:44:59.999000+00:00,7,79.3,3.4309,2.2277,0.6947,18,9.3197,0.3611,0.6905,1.1907,5,1,0,1,1,1,1,0.1936,vol_trail,7
d03e5fbf-be72-4263-966e-c37f288ad3de,NEARUSDT,2026-05-14T21:39:59.999000+00:00,1,64.1,-0.2052,0.5734,0.3641,21,0.3831,0.8488,-1.853,2.2215,4,0,1,0,1,1,1,-1.0,stop_loss,26
d11b5bd4-512f-4cd2-89cc-6944e15afb63,ZECUSDT,2026-02-14T21:14:59.999000+00:00,7,80.1,5.1902,1.7203,1.0406,21,34.6503,-0.7573,2.7539,0.9015,5,1,0,1,1,1,1,-1.0,stop_loss,41
50e78bf1-dc84-470a-9b58-d3c3f6a79b25,ZECUSDT,2026-03-16T17:04:59.999000+00:00,6,77.2,1.8933,1.5878,0.7115,17,30.1684,-0.6666,0.6876,0.4758,4,1,0,0,1,1,1,3.2739,vol_trail,16
4b3bc30b-f2a8-4ce9-bcca-62d3b5d5afa9,ZECUSDT,2026-03-17T17:59:59.999000+00:00,6,77.4,4.0382,1.0426,0.6174,17,30.8283,-0.2492,0.2952,0.6495,4,1,0,1,0,1,1,0.2618,vol_trail,1
f65cf0de-fbbc-4ba5-a6f3-752a50f0d5f7,ZECUSDT,2026-04-07T21:34:59.999000+00:00,5,76.4,3.7632,1.5044,0.9579,21,33.0535,-0.7316,0.8864,2.2771,6,1,1,1,1,1,1,1.5158,vol_trail,1
e01ea5d3-0d4a-43d6-9913-b3a9bc0fbf33,ZECUSDT,2026-04-08T18:34:59.999000+00:00,2,70.2,-0.0206,1.057,0.58,18,37.9578,-0.2379,-1.9773,2.7527,4,0,1,0,1,1,1,-1.0,stop_loss,4
511c5d60-c279-4a71-8cd9-c69bfe34e8fb,ZECUSDT,2026-04-30T16:44:59.999000+00:00,1,65.1,2.7589,0.6209,0.2957,16,-2.2809,-0.7148,0.0797,2.1744,5,1,1,0,1,1,1,0.4578,vol_trail,2
7fe7b1c2-c51e-4e14-860f-b713b113973d,ZECUSDT,2026-04-30T20:04:59.999000+00:00,1,63.1,0.6024,0.6209,0.5748,20,-2.2809,-0.7148,-0.8405,2.2535,4,0,1,0,1,1,1,0.0027,vol_trail,21
8e187514-b8b8-424e-b74f-978d873ffb4d,ZECUSDT,2026-05-01T15:39:59.999000+00:00,5,76.0,5.1896,1.7227,0.5204,15,8.4075,-0.7791,0.5144,1.0227,5,1,0,1,1,1,1,0.2055,vol_trail,5
8a72037a-e4af-4003-b14f-1767b79507d3,ZECUSDT,2026-05-02T16:54:59.999000+00:00,6,78.0,1.8431,0.5062,0.2619,16,9.1677,-0.5069,0.1971,2.1513,5,1,1,0,1,1,1,0.449,vol_trail,7
b8439b4c-afe2-4afe-ba58-78b4fc138e70,ZECUSDT,2026-05-04T21:14:59.999000+00:00,6,77.7,1.5021,1.1718,0.3992,21,29.0458,-0.533,0.3446,1.2469,4,1,0,0,1,1,1,0.156,vol_trail,1
a6dfca93-6910-49e9-9f93-0404d1559d60,ZECUSDT,2026-05-06T14:24:59.999000+00:00,2,69.1,-0.1307,2.4301,1.0257,14,43.9833,-0.427,-1.7087,2.1891,4,0,1,0,1,1,1,0.3387,vol_trail,24
7f0ff0a6-6e08-466a-a627-a5e1ddbd10e1,ZECUSDT,2026-05-08T15:29:59.999000+00:00,1,58.8,0.319,1.031,0.8877,15,48.463,-0.6855,-1.0869,2.32,4,0,1,0,1,1,1,0.1777,vol_trail,27
0fb5c0bb-61a2-4a3b-a5c4-f612067c2ed5,ADAUSDT,2026-04-16T18:44:59.999000+00:00,6,77.2,2.3417,1.1252,0.4435,18,3.8492,-0.6283,0.3114,1.1567,4,1,0,0,1,1,1,0.52,vol_trail,17
e49b461d-a162-48b9-9505-a0841c44fa1b,ADAUSDT,2026-04-21T20:09:59.999000+00:00,8,82.4,4.4812,0.4101,0.3939,20,-3.5907,0.7406,-1.083,0.82,4,0,0,1,1,1,1,0.1324,vol_trail,26
f8253658-2f35-4b1c-9cb0-24bfd842c6b0,ADAUSDT,2026-05-08T15:59:59.999000+00:00,1,61.8,3.7286,0.5761,0.334,15,9.6231,-0.9064,0.2231,0.3556,4,1,0,1,1,0,1,0.7429,vol_trail,45
a245eab0-5c05-46ef-a491-c8d06c2d5a1d,ADAUSDT,2026-05-14T14:19:59.999000+00:00,2,67.2,1.679,0.5201,0.361,14,-0.1108,-0.3298,-0.2614,2.0974,4,0,1,0,1,1,1,1.203,vol_trail,31
25487692-a503-490c-92a6-095ce58de462,WLDUSDT,2026-02-06T21:19:59.999000+00:00,1,57.6,-0.5053,0.5442,0.6099,21,3.3955,0.3366,-1.8357,2.798,4,0,1,0,1,1,1,-1.0,stop_loss,38
90846573-4e5e-4e62-9596-59580876220a,WLDUSDT,2026-04-07T18:24:59.999000+00:00,7,79.1,3.0549,0.323,0.633,18,0.8962,-0.2187,0.3161,0.6329,4,1,0,1,0,1,1,-1.0,stop_loss,7
cc70d8b5-c20b-4bcc-a3ed-0894072bb263,WLDUSDT,2026-04-15T16:39:59.999000+00:00,2,69.1,3.2934,0.5556,0.4362,16,9.4401,-0.574,0.0664,-0.7642,5,1,0,1,1,1,1,0.3065,vol_trail,57
a59c7f12-b367-468d-aa24-f0c0e2764f46,WLDUSDT,2026-04-27T20:04:59.999000+00:00,1,64.0,-0.1281,1.2869,0.237,20,-3.4208,0.9196,-1.4573,2.516,4,0,1,0,1,1,1,1.7928,vol_trail,77
9512e76e-df57-41dc-b95a-5e02ffdd3ae6,WLDUSDT,2026-05-05T20:14:59.999000+00:00,1,59.0,-0.0753,0.7285,0.329,20,0.9469,0.0809,0.1224,2.1949,4,1,1,0,1,0,1,1.0018,vol_trail,23
5086ca65-90bc-42fb-ae27-51eb12d0b47b,WLDUSDT,2026-05-06T16:49:59.999000+00:00,1,58.2,-0.7278,0.7625,0.4592,16,9.8802,-0.3138,-0.959,2.6153,4,0,1,0,1,1,1,-1.0,stop_loss,6
51ffad6a-433b-4275-9311-02c2f60ba69e,WLDUSDT,2026-05-10T19:49:59.999000+00:00,1,56.7,-0.2741,2.5649,0.4762,19,15.4976,0.4574,-1.9641,2.0648,4,0,1,0,1,1,1,-1.0,stop_loss,6
79e2660c-979d-4063-8109-1a3d5dfffef2,WLDUSDT,2026-05-14T16:24:59.999000+00:00,1,57.7,3.7942,0.561,0.5121,16,-3.2175,0.7843,-1.0511,-1.9266,4,0,0,1,1,1,1,1.4434,vol_trail,40
847dfa0d-dc95-48ea-afc4-9f6a510f1dc5,UNIUSDT,2026-02-13T14:34:59.999000+00:00,7,79.4,6.184,0.2262,0.6066,14,-1.9913,-0.5242,0.7969,0.5848,5,1,0,1,1,1,1,0.7097,vol_trail,37
