trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
bd934ee3-34fe-4875-91c4-feae1c2dbedb,NEARUSDT,2026-02-26T12:09:59.999000+00:00,1,66.8,-0.492,1.0983,0.3733,12,6.1437,-0.4627,-1.2248,2.4671,4,0,1,0,1,1,1,0.9966,vol_trail,21
1c90ca37-76b1-4122-8d00-8d974b420690,NEARUSDT,2026-03-01T02:04:59.999000+00:00,5,75.9,0.9413,1.0552,0.8084,2,22.6943,0.006,0.254,1.498,4,1,0,0,1,1,1,-1.0,stop_loss,16
0d70a5ea-0b8d-4450-8525-df9732dd20de,NEARUSDT,2026-03-02T07:39:59.999000+00:00,1,63.0,-0.2414,1.0347,0.9062,7,2.046,-0.4463,-1.4706,2.5387,4,0,1,0,1,1,1,-1.0,stop_loss,10
9ec8c99a-a953-4041-bf20-1af0be29e527,NEARUSDT,2026-03-02T15:09:59.999000+00:00,6,77.9,5.8405,1.3213,1.2592,15,10.2302,-0.63,1.0753,1.0025,5,1,0,1,1,1,1,-1.0,stop_loss,6
a8eb54cb-5baa-4eef-9ba0-f473bdc4a93f,NEARUSDT,2026-04-08T07:14:59.999000+00:00,7,80.2,6.3789,1.0598,0.4391,7,10.2649,-0.2807,-0.5961,-0.4747,4,0,0,1,1,1,1,2.0415,vol_trail,40
86da944d-2bc9-421b-ba05-661dcba3c12f,NEARUSDT,2026-05-06T15:44:59.999000+00:00,1,65.0,0.4568,1.6565,0.7704,15,14.1304,-0.762,0.0666,2.6706,5,1,1,0,1,1,1,0.0074,vol_trail,45
9d8436a9-caac-49d8-8d22-ce97dd415584,NEARUSDT,2026-05-07T14:14:59.999000+00:00,1,56.7,-0.721,1.4088,0.4768,14,14.9461,-0.3131,-0.3989,2.2144,4,0,1,0,1,1,1,-1.0,stop_loss,4
21d4e026-bc38-4695-96a3-a0f4a7cc1163,NEARUSDT,2026-05-12T05:04:59.999000+00:00,2,68.1,-0.3131,1.0982,0.3198,5,4.8299,0.755,-0.3878,2.1318,4,0,1,0,1,1,1,0.1565,vol_trail,25
9ca5c79c-7546-422c-9dbc-8b7dc6919e2b,NEARUSDT,2026-05-12T18:44:59.999000+00:00,7,79.3,3.4309,1.9024,0.6947,18,7.619,0.8602,0.6905,1.1907,5,1,0,1,1,1,1,0.1936,vol_trail,7
34059e93-ed0c-433d-b378-a40ebc77084c,NEARUSDT,2026-05-13T03:39:59.999000+00:00,1,62.5,-0.1081,2.2309,0.6732,3,4.5739,-0.0177,0.1187,2.0342,5,1,1,0,1,1,1,-1.0,stop_loss,9
749b4456-a32f-4b98-8114-ded395c95a26,NEARUSDT,2026-05-18T17:24:59.999000+00:00,6,78.3,2.2663,1.3379,0.5033,17,-2.8571,0.9425,0.3243,1.094,4,1,0,0,1,1,1,-1.0,stop_loss,11
d997c960-7a96-4293-8782-cf0913da82d3,ZECUSDT,2026-03-16T18:24:59.999000+00:00,9,82.7,5.0439,1.1321,1.1716,18,20.1514,-0.7356,1.7501,1.2957,5,1,0,1,1,1,1,0.0665,vol_trail,1
4afbc1f7-9ff8-4a88-a1fa-b0b780b4edce,ZECUSDT,2026-03-17T17:59:59.999000+00:00,6,77.4,4.0382,1.6336,0.6174,17,29.1957,-0.4481,0.2952,0.6495,4,1,0,1,0,1,1,0.2618,vol_trail,1
49974a9d-bd36-438a-a3d0-6ae4b14de433,ZECUSDT,2026-03-18T05:09:59.999000+00:00,1,63.2,0.5342,0.7766,0.4468,5,34.0397,-0.5971,-1.0341,2.0161,4,0,1,0,1,1,1,-1.0,stop_loss,9
0e42b7d4-44c1-47fb-b5e0-93c6f1413fb1,ZECUSDT,2026-03-31T19:19:59.999000+00:00,1,62.8,-0.2283,1.0179,0.5561,19,14.3359,-0.278,0.5404,2.7329,5,1,1,0,1,1,1,-1.0,stop_loss,16
