trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held
374798fb-b970-4b69-80b0-12c6a0a6123f,NEARUSDT,2026-03-02T15:09:59.999000+00:00,6,77.9,5.8405,1.3213,1.2592,15,10.2302,-0.63,1.0753,1.0025,5,1,0,1,1,1,1,-1.0,stop_loss,6
9394eb65-a319-4103-a092-7e341586c945,NEARUSDT,2026-05-06T15:44:59.999000+00:00,1,65.0,0.4568,1.6565,0.7704,15,14.1304,-0.762,0.0666,2.6706,5,1,1,0,1,1,1,0.0074,vol_trail,45
d4a64f94-595d-4429-91ce-ac78612c5d6b,NEARUSDT,2026-05-07T14:14:59.999000+00:00,1,56.7,-0.721,1.4088,0.4768,14,14.9461,-0.3131,-0.3989,2.2144,4,0,1,0,1,1,1,-1.0,stop_loss,4
12e0338b-55f8-4a0c-afde-f2acfc4b36a4,NEARUSDT,2026-05-12T18:44:59.999000+00:00,7,79.3,3.4309,1.9024,0.6947,18,7.619,0.8602,0.6905,1.1907,5,1,0,1,1,1,1,0.1936,vol_trail,7
6e2d90d0-4dcc-42b3-bd3b-b8ebea593776,NEARUSDT,2026-05-14T21:39:59.999000+00:00,1,64.1,-0.2052,0.6009,0.3641,21,0.894,0.8263,-1.853,2.2215,4,0,1,0,1,1,1,-1.0,stop_loss,26
d4f24947-edd1-462b-9736-f707ed84381d,NEARUSDT,2026-05-18T17:24:59.999000+00:00,6,78.3,2.2663,1.3379,0.5033,17,-2.8571,0.9425,0.3243,1.094,4,1,0,0,1,1,1,-1.0,stop_loss,11
b4f8dcab-7ee2-435c-85cc-99608b17e4ad,ZECUSDT,2026-03-16T18:24:59.999000+00:00,9,82.7,5.0439,1.1321,1.1716,18,20.1514,-0.7356,1.7501,1.2957,5,1,0,1,1,1,1,0.0665,vol_trail,1
9c8a93d9-512a-4ffd-bf2b-d7075c634e14,ZECUSDT,2026-03-17T17:59:59.999000+00:00,6,77.4,4.0382,1.6336,0.6174,17,29.1957,-0.4481,0.2952,0.6495,4,1,0,1,0,1,1,0.2618,vol_trail,1
63b01ef0-feca-4dc1-a823-9b14d8c9bb79,ZECUSDT,2026-03-19T21:09:59.999000+00:00,1,66.1,0.3276,0.6949,0.4315,21,11.741,0.4364,0.3225,2.518,5,1,1,0,1,1,1,-1.0,stop_loss,17
3b6bf3e3-4485-423f-a603-0000de28ffbe,ZECUSDT,2026-03-31T19:19:59.999000+00:00,1,62.8,-0.2283,1.0179,0.5561,19,14.3359,-0.278,0.5404,2.7329,5,1,1,0,1,1,1,-1.0,stop_loss,16
