trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,pnl_r,exit_reason,bars_held
f835f1f6-3bc4-4316-9ffe-391a89d3ef53,RUNEUSDT,2026-04-26T16:49:59.999000+00:00,2,70.2,2.0797,1.0979,0.3397,16,11.4292,-0.0747,0.0,runner_trail,4
9d1ce1fe-7b72-4e8b-a060-8e76e12fa5ec,RUNEUSDT,2026-05-10T15:29:59.999000+00:00,5,76.8,5.1031,0.6071,0.2663,15,11.5455,-0.5804,0.0,runner_trail,3
a3d121d2-75d6-4ce2-8a2d-df196afe0e3b,MEGAUSDT,2026-03-22T17:54:59.999000+00:00,2,68.6,5.8672,2.9618,0.3664,17,-1.186,-0.8397,0.0,runner_trail,2
afd146d3-f330-4fa3-b5a5-8a8760c7c22c,DEXEUSDT,2026-03-21T16:14:59.999000+00:00,7,79.2,2.8742,0.9073,0.4143,16,25.8183,-0.4055,0.0,runner_trail,2
52f3ca3e-9ed4-4497-945b-88d4066ac84e,APTUSDT,2026-05-10T16:29:59.999000+00:00,6,77.9,3.8726,1.888,0.4263,16,16.4042,-0.0829,1.0093,runner_trail,7
5261ab14-aa9a-4e7b-af9a-bf3e18f83186,TAOUSDT,2026-05-01T14:59:59.999000+00:00,2,68.3,3.205,1.1358,0.5333,14,7.802,-0.9049,0.0,runner_trail,1
8bfb8ede-88b0-432a-84dc-ac3cc8a1aa40,NEARUSDT,2026-05-08T14:59:59.999000+00:00,8,82.5,2.0031,1.0743,0.5219,14,25.1765,-0.5085,0.0,runner_trail,9
c412b60c-f941-4bce-a420-644ddaa3ffee,SOLUSDT,2026-04-16T18:04:59.999000+00:00,1,65.4,2.1442,1.7958,0.3577,18,4.8769,-0.644,0.3468,runner_trail,3
dce67312-5534-4d86-8342-23efcff48dc1,SOLUSDT,2026-05-08T18:04:59.999000+00:00,1,56.4,2.1761,0.9104,0.4251,18,9.6578,-0.8476,0.0,runner_trail,3
404bebeb-9edf-47f6-93f0-4aaa1c720adc,SOLUSDT,2026-05-10T17:04:59.999000+00:00,5,76.4,2.1017,1.9836,0.2471,17,11.8043,-0.5099,1.1223,runner_trail,10
b57a2b8f-0796-4451-a3c5-e8cb475b0b2e,SOLUSDT,2026-05-11T14:04:59.999000+00:00,2,68.2,3.1062,0.9987,0.3527,14,9.2144,-0.6729,-1.0,stop_loss,5
29dc97d6-98af-4110-ae5c-1adee14e6087,XRPUSDT,2026-04-16T15:39:59.999000+00:00,1,65.2,2.1384,1.1979,0.4632,15,7.2531,-0.5418,0.0258,runner_trail,11
02c24e45-f195-47b2-8345-0d14aa04640a,XRPUSDT,2026-05-10T15:39:59.999000+00:00,7,79.8,4.8748,1.9276,0.1997,15,4.3139,-0.3758,3.0158,runner_trail,10
a3dd1344-e5ca-46de-bbe5-9d1b37323928,XRPUSDT,2026-05-14T14:49:59.999000+00:00,2,69.9,3.4642,1.3495,0.3562,14,4.5714,-0.6141,-0.4654,unconfirmed_cut,10
b636fcb1-dcf1-464f-876c-6dcf158d3815,PENDLEUSDT,2026-05-11T18:59:59.999000+00:00,2,69.5,2.1017,0.8675,0.5484,18,10.2874,-0.217,0.5543,runner_trail,4
004ae295-a499-4a4d-b5c5-0b8282ab5b8f,TONUSDT,2026-04-13T14:09:59.999000+00:00,2,69.6,2.9014,1.1882,0.4358,14,16.3355,-0.0009,0.0,runner_trail,18
94db3a54-25ee-4d97-90a5-9684e0272899,QNTUSDT,2026-05-14T18:59:59.999000+00:00,8,81.6,2.6284,1.001,0.5033,18,6.7667,-0.379,0.0,runner_trail,1
13e333e3-46f6-4dac-8961-bfb63db34cde,BNBUSDT,2026-05-14T14:19:59.999000+00:00,2,68.3,8.3748,0.5162,0.2501,14,4.4118,-0.4054,0.0,runner_trail,9
cb98092c-d792-461d-ad10-9a0afcbcb99b,ZECUSDT,2026-04-30T16:44:59.999000+00:00,1,65.1,2.7589,0.6209,0.2957,16,-2.2809,-0.7148,0.5024,runner_trail,2
5f172071-6518-4c02-a424-0f7cad771011,1000PEPEUSDT,2026-05-10T15:39:59.999000+00:00,1,66.5,2.2172,1.4981,0.238,15,7.1939,-0.2078,0.9547,runner_trail,8
1e62ba5c-dbad-431e-8c0e-ef0355b44303,ETHUSDT,2026-04-15T14:19:59.999000+00:00,2,70.3,5.4027,0.7096,0.3169,14,5.1237,-0.5978,0.0,runner_trail,1
34f512e4-7230-42b6-aee3-43170bb40e39,ETHUSDT,2026-04-15T17:29:59.999000+00:00,9,84.4,3.3367,0.7096,0.2726,17,5.1237,-0.5978,0.0062,unconfirmed_cut,10
4264499d-edf8-4065-8440-6bf69a20e9bd,ETHUSDT,2026-04-20T18:04:59.999000+00:00,9,83.9,3.9429,1.1819,0.3172,18,-1.962,-0.4873,0.0,runner_trail,1
a70c0a02-ea87-420d-ada4-06d11c08efab,ETHUSDT,2026-04-22T15:44:59.999000+00:00,1,57.8,3.2395,1.1972,0.3346,15,-1.8456,-0.6504,-1.0,stop_loss,10
721f848b-7636-4476-aa07-9f4534de4890,ETHUSDT,2026-05-10T16:49:59.999000+00:00,1,65.2,2.399,1.053,0.1905,16,0.4552,-0.4559,0.5068,runner_trail,13
6c4a8b06-568b-4034-9248-a0b7839271f9,LDOUSDT,2026-03-13T15:04:59.999000+00:00,2,68.5,2.858,1.0373,0.5305,15,6.6857,-0.2687,0.0,runner_trail,1
06bfdc25-814d-4427-b900-c3bfbb8e2716,ENAUSDT,2026-05-10T15:44:59.999000+00:00,2,67.4,2.454,1.422,0.4871,15,20.6043,-0.0076,0.0,runner_trail,1
