symbol,tier,deployed,n,v645_avg,v645_R,scale_avg,scale_R,scale_wr,test_n,test_scale_avg,test_scale_R
WIFUSDT,proven,proven,14,0.222,3.11,0.147,2.063,0.357,5,-0.014,-0.072
CRVUSDT,proven,proven,12,0.093,1.112,0.098,1.171,0.417,11,0.126,1.381
RAVEUSDT,proven,proven,14,-0.031,-0.434,0.057,0.795,0.786,6,0.015,0.092
BLUAIUSDT,proven,proven,24,0.136,3.262,0.023,0.543,0.625,0,,0.0
NEARUSDT,proven,proven,25,-0.044,-1.091,0.015,0.381,0.44,20,0.014,0.275
XRPUSDT,proven,proven,35,-0.033,-1.157,0.011,0.374,0.343,19,0.029,0.547
DEXEUSDT,proven,proven,24,-0.117,-2.798,0.015,0.355,0.333,0,,0.0
LDOUSDT,experimental,experimental,21,-0.212,-4.457,0.015,0.31,0.429,6,-0.044,-0.264
DOTUSDT,proven,proven,50,0.025,1.26,0.0,0.011,0.5,22,-0.012,-0.261
IRYSUSDT,proven,proven,17,-0.112,-1.899,-0.001,-0.016,0.353,8,0.054,0.429
BERAUSDT,proven,proven,8,-0.027,-0.215,-0.009,-0.07,0.25,0,,0.0
ONTUSDT,proven,proven,3,-0.329,-0.988,-0.043,-0.13,0.333,0,,0.0
APTUSDT,proven,proven,27,-0.009,-0.249,-0.011,-0.299,0.296,8,-0.017,-0.136
EDGEUSDT,proven,proven,4,-0.534,-2.135,-0.087,-0.346,0.25,0,,0.0
KITEUSDT,proven,proven,16,-0.194,-3.1,-0.024,-0.383,0.5,0,,0.0
RUNEUSDT,proven,proven,10,-0.054,-0.539,-0.04,-0.398,0.2,10,-0.04,-0.398
1000PEPEUSDT,proven,proven,13,-0.055,-0.715,-0.046,-0.593,0.308,12,-0.049,-0.593
TONUSDT,proven,proven,25,-0.055,-1.363,-0.024,-0.609,0.28,19,-0.02,-0.383
ENAUSDT,experimental,experimental,22,-0.183,-4.031,-0.032,-0.696,0.273,8,0.06,0.482
SEIUSDT,experimental,experimental,5,-0.566,-2.828,-0.141,-0.707,0.2,1,-0.24,-0.24
ZECUSDT,proven,proven,22,-0.21,-4.627,-0.033,-0.727,0.409,6,-0.011,-0.065
FETUSDT,proven,proven,11,-0.273,-3.004,-0.068,-0.745,0.273,4,-0.148,-0.591
CHZUSDT,proven,proven,11,-0.235,-2.584,-0.07,-0.768,0.364,3,-0.063,-0.189
1000BONKUSDT,experimental,experimental,16,-0.178,-2.855,-0.052,-0.834,0.375,7,-0.028,-0.194
ARBUSDT,proven,proven,12,-0.157,-1.884,-0.07,-0.843,0.333,2,-0.232,-0.464
1000LUNCUSDT,proven,proven,11,-0.334,-3.679,-0.08,-0.875,0.364,1,-0.268,-0.268
WLDUSDT,proven,proven,35,-0.076,-2.663,-0.025,-0.884,0.4,14,-0.095,-1.335
DASHUSDT,proven,proven,7,-0.423,-2.961,-0.128,-0.898,0.143,2,0.014,0.028
ETHUSDT,experimental,experimental,7,-0.517,-3.618,-0.129,-0.905,0.143,4,-0.128,-0.514
PENDLEUSDT,proven,proven,24,-0.014,-0.335,-0.039,-0.931,0.375,14,-0.039,-0.543
ENJUSDT,proven,proven,14,-0.292,-4.091,-0.07,-0.981,0.214,0,,0.0
QNTUSDT,proven,proven,11,-0.46,-5.059,-0.1,-1.104,0.273,1,-0.209,-0.209
FILUSDT,experimental,experimental,33,-0.02,-0.654,-0.034,-1.129,0.242,32,-0.025,-0.809
KAITOUSDT,proven,proven,27,-0.095,-2.573,-0.042,-1.135,0.296,10,-0.076,-0.765
SOLUSDT,proven,proven,34,-0.078,-2.654,-0.034,-1.141,0.382,20,-0.044,-0.889
MEGAUSDT,proven,proven,13,-0.208,-2.7,-0.089,-1.156,0.154,8,-0.117,-0.937
BNBUSDT,proven,proven,14,-0.267,-3.738,-0.094,-1.318,0.286,6,-0.156,-0.937
NMRUSDT,proven,proven,23,-0.071,-1.628,-0.06,-1.382,0.304,3,-0.175,-0.524
UNIUSDT,proven,proven,9,-0.658,-5.921,-0.192,-1.732,0.333,4,-0.368,-1.474
TAOUSDT,proven,proven,23,-0.283,-6.514,-0.079,-1.809,0.174,8,-0.13,-1.044
SIRENUSDT,proven,proven,33,-0.143,-4.716,-0.059,-1.952,0.394,0,,0.0
