symbol,tier,n,v645_avg,v645_totR,scale_avg,scale_totR
FILUSDT,experimental,33,-0.02,-0.654,-0.034,-1.129
SEIUSDT,experimental,5,-0.566,-2.828,-0.141,-0.707
1000BONKUSDT,experimental,16,-0.178,-2.855,-0.052,-0.834
ETHUSDT,experimental,7,-0.517,-3.618,-0.129,-0.905
ENAUSDT,experimental,22,-0.183,-4.031,-0.032,-0.696
LDOUSDT,experimental,21,-0.212,-4.457,0.015,0.31
BLUAIUSDT,proven,24,0.136,3.262,0.023,0.543
WIFUSDT,proven,14,0.222,3.11,0.147,2.063
DOTUSDT,proven,50,0.025,1.26,0.0,0.011
CRVUSDT,proven,12,0.093,1.112,0.098,1.171
BERAUSDT,proven,8,-0.027,-0.215,-0.009,-0.07
APTUSDT,proven,27,-0.009,-0.249,-0.011,-0.299
PENDLEUSDT,proven,24,-0.014,-0.335,-0.039,-0.931
RAVEUSDT,proven,14,-0.031,-0.434,0.057,0.795
RUNEUSDT,proven,10,-0.054,-0.539,-0.04,-0.398
1000PEPEUSDT,proven,13,-0.055,-0.715,-0.046,-0.593
ONTUSDT,proven,3,-0.329,-0.988,-0.043,-0.13
NEARUSDT,proven,25,-0.044,-1.091,0.015,0.381
XRPUSDT,proven,35,-0.033,-1.157,0.011,0.374
TONUSDT,proven,25,-0.055,-1.363,-0.024,-0.609
NMRUSDT,proven,23,-0.071,-1.628,-0.06,-1.382
ARBUSDT,proven,12,-0.157,-1.884,-0.07,-0.843
IRYSUSDT,proven,17,-0.112,-1.899,-0.001,-0.016
EDGEUSDT,proven,4,-0.534,-2.135,-0.087,-0.346
KAITOUSDT,proven,27,-0.095,-2.573,-0.042,-1.135
CHZUSDT,proven,11,-0.235,-2.584,-0.07,-0.768
SOLUSDT,proven,34,-0.078,-2.654,-0.034,-1.141
WLDUSDT,proven,35,-0.076,-2.663,-0.025,-0.884
MEGAUSDT,proven,13,-0.208,-2.7,-0.089,-1.156
DEXEUSDT,proven,24,-0.117,-2.798,0.015,0.355
DASHUSDT,proven,7,-0.423,-2.961,-0.128,-0.898
FETUSDT,proven,11,-0.273,-3.004,-0.068,-0.745
KITEUSDT,proven,16,-0.194,-3.1,-0.024,-0.383
1000LUNCUSDT,proven,11,-0.334,-3.679,-0.08,-0.875
BNBUSDT,proven,14,-0.267,-3.738,-0.094,-1.318
ENJUSDT,proven,14,-0.292,-4.091,-0.07,-0.981
ZECUSDT,proven,22,-0.21,-4.627,-0.033,-0.727
SIRENUSDT,proven,33,-0.143,-4.716,-0.059,-1.952
QNTUSDT,proven,11,-0.46,-5.059,-0.1,-1.104
UNIUSDT,proven,9,-0.658,-5.921,-0.192,-1.732
TAOUSDT,proven,23,-0.283,-6.514,-0.079,-1.809
