symbol,tier,test_n,test_scale_avg,test_scale_R,test_v645_avg
CRVUSDT,proven,11,0.126,1.381,0.177
XRPUSDT,proven,19,0.029,0.547,-0.011
ENAUSDT,experimental,8,0.06,0.482,-0.075
IRYSUSDT,proven,8,0.054,0.429,0.031
NEARUSDT,proven,20,0.014,0.275,-0.026
RAVEUSDT,proven,6,0.015,0.092,-0.069
DASHUSDT,proven,2,0.014,0.028,-0.319
ZECUSDT,proven,6,-0.011,-0.065,-0.164
WIFUSDT,proven,5,-0.014,-0.072,-0.13
APTUSDT,proven,8,-0.017,-0.136,-0.049
CHZUSDT,proven,3,-0.063,-0.189,-0.354
1000BONKUSDT,experimental,7,-0.028,-0.194,-0.077
QNTUSDT,proven,1,-0.209,-0.209,-0.837
SEIUSDT,experimental,1,-0.24,-0.24,-0.958
DOTUSDT,proven,22,-0.012,-0.261,0.043
LDOUSDT,experimental,6,-0.044,-0.264,-0.339
1000LUNCUSDT,proven,1,-0.268,-0.268,-1.073
TONUSDT,proven,19,-0.02,-0.383,-0.024
RUNEUSDT,proven,10,-0.04,-0.398,-0.054
ARBUSDT,proven,2,-0.232,-0.464,-0.927
ETHUSDT,experimental,4,-0.128,-0.514,-0.514
NMRUSDT,proven,3,-0.175,-0.524,-0.201
PENDLEUSDT,proven,14,-0.039,-0.543,-0.049
FETUSDT,proven,4,-0.148,-0.591,-0.589
1000PEPEUSDT,proven,12,-0.049,-0.593,-0.06
KAITOUSDT,proven,10,-0.076,-0.765,-0.084
FILUSDT,experimental,32,-0.025,-0.809,0.02
SOLUSDT,proven,20,-0.044,-0.889,-0.146
MEGAUSDT,proven,8,-0.117,-0.937,-0.322
BNBUSDT,proven,6,-0.156,-0.937,-0.499
TAOUSDT,proven,8,-0.13,-1.044,-0.209
WLDUSDT,proven,14,-0.095,-1.335,-0.29
UNIUSDT,proven,4,-0.368,-1.474,-1.474
