symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
ZKUSDT,2026-02-01T01:29:59.999000+00:00,2026-02-01T01:49:59.999000+00:00,0.02390478,0.0255273935,1.9034,761.38,vol_trail,8,80.8,4,0.0,3.0008,0.04,0.0003385714285714291,10756.29
ZKUSDT,2026-02-01T10:09:59.999000+00:00,2026-02-01T11:14:59.999000+00:00,0.031046208000000002,0.028539648071428572,-1.0099,-434.52,stop_loss,3,71.1,13,-0.9621,0.0,0.04,0.000997857142857143,10319.36
DEXEUSDT,2026-02-23T05:39:59.999000+00:00,2026-02-23T09:54:59.999000+00:00,2.6615322,2.7424513999999998,1.6967,700.36,vol_trail,6,77.5,51,-0.6175,2.619,0.04,0.018785714285714277,11009.2
DEXEUSDT,2026-02-23T15:19:59.999000+00:00,2026-02-23T15:34:59.999000+00:00,2.9015801999999997,2.8195431214285707,-1.0298,-453.5,stop_loss,1,66.3,3,-0.6675,0.0,0.04,0.03235714285714294,10548.58
TAGUSDT,2026-03-04T08:49:59.999000+00:00,2026-03-04T10:29:59.999000+00:00,0.0004245849,0.0004130780821428572,-1.0312,-435.09,stop_loss,1,64.1,20,-1.0935,0.732,0.04,4.535714285714287e-06,10106.38
DEXEUSDT,2026-03-09T01:44:59.999000+00:00,2026-03-09T05:34:59.999000+00:00,4.1418282,4.396477671428572,2.3349,943.9,vol_trail,1,61.2,46,0.0,3.3083,0.04,0.04328571428571437,11043.32
DEXEUSDT,2026-03-10T00:19:59.999000+00:00,2026-03-10T01:39:59.999000+00:00,4.70094,4.730482285714285,0.2732,120.66,vol_trail,3,71.4,16,-0.548,0.6577,0.04,0.0401428571428571,11154.67
DEXEUSDT,2026-03-12T00:44:59.999000+00:00,2026-03-12T01:09:59.999000+00:00,4.2538506,4.254291828571429,-0.0331,-14.78,vol_trail,9,83.7,5,0.0,0.8096,0.04,0.017785714285714134,11120.68
DEXEUSDT,2026-03-14T00:54:59.999000+00:00,2026-03-14T02:04:59.999000+00:00,4.6699338,4.678635514285714,0.0935,41.6,vol_trail,3,71.5,14,-0.241,0.723,0.04,0.02821428571428581,11149.03
TAGUSDT,2026-03-14T05:09:59.999000+00:00,2026-03-14T05:19:59.999000+00:00,0.0005936187,0.0005972983735714286,0.3351,149.44,vol_trail,7,80.0,2,0.0,1.5326,0.04,4.07142857142857e-06,11286.77
DEXEUSDT,2026-03-14T08:14:59.999000+00:00,2026-03-14T08:39:59.999000+00:00,4.770954,4.690311749999999,-1.0508,-474.42,stop_loss,1,61.9,5,-0.7873,0.0,0.04,0.031499999999999986,10800.04
TAGUSDT,2026-03-15T01:09:59.999000+00:00,2026-03-15T06:04:59.999000+00:00,0.00058471692,0.0005993229685714286,1.6089,695.04,vol_trail,2,68.2,59,-0.8641,2.7271,0.04,3.564285714285712e-06,11482.32
TAGUSDT,2026-03-15T13:49:59.999000+00:00,2026-03-15T16:29:59.999000+00:00,0.0006344268599999999,0.0006415645185714286,0.3324,152.65,vol_trail,2,68.4,32,0.0,1.0045,0.04,8.242857142857127e-06,11628.61
DEXEUSDT,2026-03-19T02:19:59.999000+00:00,2026-03-19T06:04:59.999000+00:00,5.75115,6.174479142857143,6.47,3009.49,vol_trail,1,55.7,45,-0.3077,8.6615,0.04,0.026000000000000054,14619.58
DEXEUSDT,2026-03-20T00:09:59.999000+00:00,2026-03-20T03:29:59.999000+00:00,6.2162429999999995,6.215042457142857,-0.0408,-23.89,vol_trail,3,71.9,40,-0.7051,0.3577,0.04,0.039142857142857146,14578.98
DEXEUSDT,2026-03-20T08:59:59.999000+00:00,2026-03-20T13:14:59.999000+00:00,6.1952388,6.0945665571428576,-1.053,-614.04,stop_loss,1,59.6,51,-1.2218,0.224,0.04,0.039285714285714146,13948.38
TAGUSDT,2026-04-02T18:24:59.999000+00:00,2026-04-02T21:09:59.999000+00:00,0.00077535504,0.0008284128557142857,1.8949,1057.23,vol_trail,1,59.7,33,-0.1223,2.8342,0.04,1.1121428571428567e-05,14998.62
DEXEUSDT,2026-04-15T01:09:59.999000+00:00,2026-04-15T01:14:59.999000+00:00,10.319063400000001,10.426914200000002,0.6225,373.47,vol_trail,5,75.6,1,0.0,1.4362,0.04,0.06628571428571396,15355.28
DEXEUSDT,2026-04-17T00:09:59.999000+00:00,2026-04-17T03:04:59.999000+00:00,11.180235600000001,11.180513450000001,-0.0411,-25.23,vol_trail,7,80.8,35,-0.7086,0.4753,0.04,0.04628571428571439,15303.34
DEXEUSDT,2026-04-17T10:19:59.999000+00:00,2026-04-17T10:34:59.999000+00:00,12.1034202,11.88201597857143,-1.0468,-640.8,stop_loss,9,83.8,3,-0.8956,0.0,0.04,0.08664285714285722,14647.15
TAGUSDT,2026-04-30T00:39:59.999000+00:00,2026-04-30T02:14:59.999000+00:00,0.0005469093599999999,0.0005411381792857142,-1.083,-634.53,stop_loss,1,64.9,19,-1.6566,0.1981,0.04,2.221428571428575e-06,13986.65
XVGUSDT,2026-05-01T03:24:59.999000+00:00,2026-05-01T04:59:59.999000+00:00,0.003095619,0.0030686718571428574,-1.1016,-616.33,stop_loss,3,73.1,19,-0.9722,0.0389,0.04,1.0285714285714258e-05,13340.01
TAGUSDT,2026-05-05T05:29:59.999000+00:00,2026-05-05T08:04:59.999000+00:00,0.00141708336,0.0014816036199999999,0.8743,466.52,vol_trail,6,77.8,31,-0.7517,1.7088,0.04,2.9214285714285705e-05,13801.86
