symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.3542,141.67,vol_trail,1,59.2,71,-0.7208,1.3861,0.04,0.01442857142857133,10125.31
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3914,158.51,vol_trail,9,82.8,5,-0.1772,0.7443,0.04,0.011285714285714375,10262.22
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.9627,1216.16,vol_trail,2,68.6,46,0.0,3.7478,0.04,2.0257142857142867,11456.54
ZECUSDT,2026-02-14T19:19:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,298.51969199999996,308.63254685714287,1.6022,734.25,vol_trail,1,61.6,10,-0.0771,3.2177,0.04,2.489999999999997,12180.9
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,2.1392,1042.27,vol_trail,8,82.1,33,-0.1329,2.8272,0.04,0.6621428571428579,13198.5
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.5633,297.39,vol_trail,3,72.8,7,-0.272,1.1534,0.04,2.3235714285714346,13483.66
TAOUSDT,2026-02-16T19:34:59.999000+00:00,2026-02-16T19:49:59.999000+00:00,192.698532,193.09851542857143,0.1188,64.07,vol_trail,3,72.0,3,-0.0493,0.7626,0.04,1.0542857142857156,13529.98
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,2.1001,1136.56,vol_trail,5,75.8,1,0.0,3.1231,0.04,0.0037142857142857494,14596.6
APTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.8336667,0.8417030542857143,1.4106,761.58,vol_trail,2,70.4,1,0.0,3.1132,0.04,0.0021714285714285702,15358.18
ARBUSDT,2026-02-25T01:19:59.999000+00:00,2026-02-25T02:29:59.999000+00:00,0.09511902,0.09513097,-0.0243,-14.95,vol_trail,9,84.0,14,-0.3155,0.1577,0.04,0.0005071428571428538,15322.49
DOTUSDT,2026-02-25T08:54:59.999000+00:00,2026-02-25T10:14:59.999000+00:00,1.2852569999999999,1.3152369,2.5715,1572.74,vol_trail,1,66.2,16,0.0,3.675,0.04,0.004571428571428575,16790.68
APTUSDT,2026-02-25T08:54:59.999000+00:00,2026-02-25T10:54:59.999000+00:00,0.8544708599999999,0.8575963035714285,0.484,295.39,vol_trail,7,80.3,24,-0.1767,1.3779,0.04,0.002264285714285711,17086.07
DOTUSDT,2026-02-25T13:39:59.999000+00:00,2026-02-25T15:54:59.999000+00:00,1.4792958,1.5126974,0.5854,400.1,vol_trail,3,71.6,27,-0.3399,1.0019,0.04,0.02235714285714287,17456.65
APTUSDT,2026-02-25T13:59:59.999000+00:00,2026-02-25T17:59:59.999000+00:00,0.8905780799999999,0.9860241842857143,7.42,5068.72,vol_trail,1,54.9,48,0.0,9.06,0.04,0.005121428571428547,22525.38
ARBUSDT,2026-02-25T08:54:59.999000+00:00,2026-02-25T19:14:59.999000+00:00,0.09361872,0.10202959,10.4097,6380.11,vol_trail,1,66.5,124,-0.1244,12.0711,0.04,0.0003214285714285727,28905.49
DOTUSDT,2026-02-25T19:49:59.999000+00:00,2026-02-25T20:04:59.999000+00:00,1.6183236,1.6224968642857143,0.0807,93.28,vol_trail,9,83.0,3,0.0,0.3983,0.04,0.017071428571428564,28979.04
1000LUNCUSDT,2026-02-27T01:34:59.999000+00:00,2026-02-27T02:29:59.999000+00:00,0.039197838000000006,0.040956449928571434,1.9568,2268.28,vol_trail,8,81.0,11,-0.4273,2.1365,0.04,0.0003557142857142851,31224.33
1000LUNCUSDT,2026-02-27T15:29:59.999000+00:00,2026-02-27T15:39:59.999000+00:00,0.041468292,0.03997343228571428,-1.0232,-1277.93,stop_loss,5,76.2,2,-0.8928,0.0,0.04,0.0005914285714285707,29930.64
DOTUSDT,2026-02-28T18:14:59.999000+00:00,2026-02-28T22:04:59.999000+00:00,1.5583116000000001,1.6302453142857145,2.5235,3021.26,vol_trail,2,67.1,46,-0.4962,3.8633,0.04,0.01128571428571428,32922.14
PENDLEUSDT,2026-03-01T02:09:59.999000+00:00,2026-03-01T02:24:59.999000+00:00,1.38157626,1.3510475935714286,-1.0385,-1367.59,stop_loss,8,82.1,3,-0.9839,0.0,0.04,0.011992857142857123,31527.24
NEARUSDT,2026-03-02T00:19:59.999000+00:00,2026-03-02T01:24:59.999000+00:00,1.1662332,1.1701944857142856,0.1943,245.01,vol_trail,2,67.2,13,-0.3394,1.1313,0.04,0.00707142857142857,31589.27
XLMUSDT,2026-03-02T01:09:59.999000+00:00,2026-03-02T02:14:59.999000+00:00,0.156511296,0.15488473114285714,-1.0844,-1362.0,stop_loss,3,71.6,13,-1.0037,0.3068,0.04,0.000625714285714287,30227.27
