symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after
RENDERUSDT,2026-03-13T00:19:59.999000+00:00,2026-03-13T02:19:59.999000+00:00,1.715343,1.7212271142857143,0.149,59.61,vol_trail,7,80.3,24,-0.4375,0.8167,0.04,0.013714285714285743,10050.61
RENDERUSDT,2026-03-13T05:19:59.999000+00:00,2026-03-13T07:24:59.999000+00:00,1.8073614,1.8543076357142856,1.3958,561.15,vol_trail,8,81.7,25,-0.3027,2.5427,0.04,0.013214285714285734,10601.86
RENDERUSDT,2026-03-13T14:14:59.999000+00:00,2026-03-13T14:39:59.999000+00:00,1.9423884,1.8812665285714285,-1.0267,-435.4,stop_loss,1,55.4,5,-1.4249,0.0,0.04,0.024142857142857115,10160.32
RENDERUSDT,2026-03-15T01:24:59.999000+00:00,2026-03-15T03:34:59.999000+00:00,1.9083816,1.9087610285714287,-0.0145,-5.9,vol_trail,1,65.8,26,0.0,0.9989,0.04,0.013214285714285703,10143.86
RENDERUSDT,2026-03-15T21:44:59.999000+00:00,2026-03-15T22:09:59.999000+00:00,1.9073814,1.8809094571428573,-1.0624,-431.07,stop_loss,7,80.4,5,-1.0111,0.0,0.04,0.010285714285714247,9699.25
RUNEUSDT,2026-04-22T00:39:59.999000+00:00,2026-04-22T08:24:59.999000+00:00,0.46969392000000004,0.4984645728571429,3.6834,1429.05,vol_trail,2,68.9,93,-0.8903,5.1097,0.04,0.0031000000000000034,11117.72
RUNEUSDT,2026-04-22T16:34:59.999000+00:00,2026-04-22T17:44:59.999000+00:00,0.49989996000000003,0.49136242214285714,-1.0503,-467.07,stop_loss,2,69.6,14,-0.8994,0.5636,0.04,0.003335714285714283,10638.65
RUNEUSDT,2026-04-24T06:09:59.999000+00:00,2026-04-24T06:29:59.999000+00:00,0.47779554,0.47478359571428574,-1.1432,-486.51,stop_loss,2,68.3,4,-1.2405,0.2481,0.04,0.0011285714285714193,10119.72
RUNEUSDT,2026-04-26T15:24:59.999000+00:00,2026-04-26T19:09:59.999000+00:00,0.49249848,0.5066058014285715,3.7548,1519.9,vol_trail,8,81.3,45,-0.1082,4.8696,0.04,0.0014785714285714205,11615.35
RUNEUSDT,2026-04-29T01:04:59.999000+00:00,2026-04-29T02:04:59.999000+00:00,0.5126025,0.5178535514285715,1.4636,680.0,vol_trail,6,78.7,12,-0.6417,3.0042,0.04,0.0013714285714285632,12264.09
RUNEUSDT,2026-04-29T23:09:59.999000+00:00,2026-04-30T00:34:59.999000+00:00,0.4965993,0.49760045999999997,0.4226,207.3,vol_trail,3,70.8,17,-0.6524,0.7612,0.04,0.0007357142857142721,12411.79
RUNEUSDT,2026-05-01T13:04:59.999000+00:00,2026-05-01T14:34:59.999000+00:00,0.50840166,0.5097480300000001,0.34,168.78,vol_trail,2,69.9,18,-0.1522,1.5522,0.04,0.0013142857142857043,12546.0
RUNEUSDT,2026-05-08T09:09:59.999000+00:00,2026-05-08T13:04:59.999000+00:00,0.56081214,0.5961021842857143,15.2033,7629.6,vol_trail,2,70.4,47,0.0,19.8822,0.04,0.000921428571428581,20120.62
RUNEUSDT,2026-05-10T16:14:59.999000+00:00,2026-05-10T17:19:59.999000+00:00,0.6144228599999999,0.6072499542857143,-1.0747,-864.95,stop_loss,3,71.0,13,-0.8082,0.0866,0.04,0.0027714285714285597,19223.55
