date,n_trades,total_R,avg_R,win_rate,best_trade,worst_trade,cum_R
2026-06-19,33,8.48,0.257,60.6,2.9328968903436685,-2.9332113449222446,8.47702200794015
2026-06-20,46,69.07,1.502,67.4,9.230874785591778,-2.582354411397095,77.54687225396174
2026-06-21,72,170.21,2.364,72.2,9.772903225806497,-8.913709677419268,247.75972963689725
2026-06-22,86,-17.95,-0.209,39.5,3.72845953002604,-4.402061855670104,229.81445183644112
2026-06-23,62,39.33,0.634,67.7,3.833333333333305,-4.681114551083614,269.146801829434
2026-06-24,85,44.58,0.524,62.4,7.597796143250723,-7.276073619631967,313.72887108857674
2026-06-25,93,-100.34,-1.079,51.6,5.075294117646986,-19.693913816081796,213.38563873162022
2026-06-26,73,76.82,1.052,67.1,6.049668874172192,-5.41288782816231,290.20603900344554
2026-06-27,54,-33.7,-0.624,40.7,4.532374100719401,-5.385863267670815,256.5084986341001
2026-06-28,63,30.79,0.489,63.5,3.9906542056074468,-4.894561598224163,287.29985126605726
2026-06-29,42,47.68,1.135,59.5,8.682844243792264,-5.090909090909117,334.9846423757775
2026-06-30,78,78.33,1.004,74.4,7.0642201834862846,-8.50366911274167,413.31370085839444
2026-07-01,64,96.61,1.509,67.2,10.460227272727213,-10.237500000000022,509.9210892945494
