state,n_transitions,expectancy_R,win_rate_pct,avg_R,profit_factor,n_up,n_down
late_high_pos_high,20,1.9253501777562985,85.0,1.925,36.90407901911988,17.0,2.0
late_high_pos_med,18,1.688206868777293,66.7,1.688,9.165723764764572,12.0,6.0
late_med_pos_low,20,1.4818212986681307,60.0,1.482,2.7086980733842347,12.0,8.0
late_med_pos_med,21,1.4737650034288552,76.2,1.474,4.460194236739857,16.0,5.0
late_med_pos_high,21,1.4206434188779533,76.2,1.421,12.458963227795692,16.0,5.0
late_low_pos_high,17,1.362865812253976,58.8,1.363,3.999166956680127,10.0,6.0
late_low_pos_med,22,1.1786160982518636,68.2,1.179,2.2277794536480644,15.0,7.0
late_med_neg_high,6,1.0532260108290739,50.0,1.053,6.241669664291659,3.0,3.0
ny_med_pos_low,121,0.6541169585663176,53.7,0.654,1.940547370058136,65.0,54.0
london_low_pos_high,101,0.6038185436744387,58.4,0.604,1.603652132616686,59.0,42.0
london_med_pos_high,103,0.5943944871061966,68.0,0.594,1.5284068271702531,70.0,33.0
ny_high_pos_low,90,0.5533122243803672,56.7,0.553,1.944708952551143,51.0,39.0
ny_low_neg_high,51,0.553191293983756,62.7,0.553,1.8392761913865747,32.0,19.0
ny_high_neg_low,95,0.5368386366088858,63.2,0.537,1.7257458196376556,60.0,35.0
ny_low_pos_low,133,0.5270195119409048,56.4,0.527,1.6027741796021593,75.0,57.0
asia_med_pos_med,76,0.46832398069831827,63.2,0.468,1.5580633390431746,48.0,28.0
asia_high_pos_high,74,0.4579877702220714,59.5,0.458,1.454441428568046,44.0,30.0
ny_med_pos_med,110,0.4232557747578162,60.0,0.423,1.5360820019998764,66.0,44.0
asia_low_neg_high,54,0.361402803710897,44.4,0.361,1.3047346862565599,24.0,30.0
asia_med_pos_high,79,0.3514282379013639,59.5,0.351,1.2910960107444134,47.0,32.0
asia_med_pos_low,66,0.3379187536445147,60.6,0.338,1.303016725909329,40.0,26.0
asia_high_pos_low,50,0.2280437726112341,62.0,0.228,1.1518871174088816,31.0,19.0
asia_low_pos_low,77,0.21483699796376177,53.2,0.215,1.1540077272748446,41.0,35.0
london_low_neg_low,31,0.1826962043041096,45.2,0.183,1.1889456127585558,14.0,17.0
london_med_pos_low,56,0.178489494123995,58.9,0.178,1.1254151176566443,33.0,23.0
london_low_pos_med,63,0.1408043088543434,46.0,0.141,1.0989734521953065,29.0,34.0
ny_high_neg_high,50,0.1057382057070293,58.0,0.106,1.1130719205105202,29.0,21.0
asia_low_pos_high,57,0.07989214513205552,63.2,0.08,1.0569571751617095,36.0,21.0
london_med_pos_med,73,0.07307902439927112,53.4,0.073,1.0482402481033586,39.0,33.0
asia_low_neg_low,52,0.06488056830104486,50.0,0.065,1.0447495998158216,26.0,25.0
ny_low_pos_med,95,0.03711468783454269,54.7,0.037,1.0352812384963594,52.0,43.0
