cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
stratxsym=nony_momentum|ZECUSDT,144,56.2,56.2,0.0324,1.84,4.7,42,0.11,"[48.1,64.1]",41.1,1.77e-04,0.007,83,54.2,0.039,Y,61,59.0,0.023,Y,0.047,0.024,0.025,4,0.8,YES
decbxsession=D10|london,1162,50.9,50.9,0.0258,1.23,29.9,60,0.17,"[48.0,53.7]",45.8,2.75e-04,0.010,670,50.1,0.028,Y,492,51.8,0.023,Y,0.035,0.033,0.01,9,10.2,YES
regimexside=bear|LONG,2996,52.4,52.4,0.0184,1.19,55.2,21,0.32,"[50.6,54.2]",48.0,7.49e-07,0.000,1978,51.8,0.02,Y,1018,53.4,0.015,Y,0.02,0.011,0.021,38,22.3,YES
regimexstrat=neutral|fade_3h_london,48,39.6,39.6,0.0374,1.27,1.8,8,1.19,"[27.0,53.7]",34.0,2.51e-01,0.892,47,38.3,0.013,N,1,100.0,1.172,N,0.013,,1.172,7,2.7,NO
stratxsidexregime=fade_3h_london|LONG|neutral,48,39.6,39.6,0.0374,1.27,1.8,8,1.19,"[27.0,53.7]",34.0,2.51e-01,0.892,47,38.3,0.013,N,1,100.0,1.172,N,0.013,,1.172,7,2.7,NO
stratxweekdayxregime=london_burst_fade|3|bear,66,68.2,68.2,0.1714,2.83,11.3,2,0.94,"[56.2,78.2]",43.1,3.48e-05,0.002,65,67.7,0.164,Y,1,100.0,0.632,N,0.164,,0.632,5,2.4,NO
stratxweekdayxhourb=follow_3h_all|0|18-23,31,58.1,58.1,0.0741,1.44,2.3,5,2.2,"[40.8,73.6]",49.0,2.03e-01,0.813,27,55.6,0.014,N,4,75.0,0.479,N,0.217,-0.392,0.479,5,3.6,NO
stratxregimexadxb=ny_flush_buy_4h|bull|20-30,59,62.7,62.7,0.1847,3.91,10.9,9,0.54,"[50.0,73.9]",30.1,2.27e-07,0.000,40,52.5,0.07,Y,19,84.2,0.427,Y,0.056,0.085,0.427,6,1.8,NO
rvbxstrat=<2|fade_3h_london,43,39.5,39.5,0.0589,1.42,2.5,13,0.55,"[26.4,54.4]",31.6,1.69e-01,0.759,36,36.1,-0.003,N,7,57.1,0.377,N,-0.003,,0.377,11,2.6,NO
stratxregimexdecb=london_burst_fade|bear|D4-9,52,59.6,59.6,0.1196,2.05,6.2,10,0.51,"[46.1,71.8]",41.8,7.34e-03,0.103,45,57.8,0.083,N,7,71.4,0.357,N,0.083,,0.357,7,2.6,NO
