cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
strategyxregimexadx=asia_burst_fade|bull|NA,33,81.8,0.2051,8.77,6.8,1,1.0,0.24,33,0.205,0,,0.06,0,,
strategyxregimexbreadth=asia_burst_fade|bull|NA,33,81.8,0.2051,8.77,6.8,1,1.0,0.24,33,0.205,0,,0.06,0,,
strategyxweekdayxregime=asia_pump_short_4h|0|neutral,35,80.0,0.2188,3.33,7.7,5,0.47,0.32,23,0.276,12,0.109,0.0,11,81.8,
strategyxweekdayxregime=late_fade|5|neutral,55,78.2,0.0726,4.91,4.0,5,0.91,0.19,36,0.093,19,0.035,0.16,19,63.2,
strategyxweekdayxregime=ny_flush_buy_4h|6|bull,35,77.1,0.1202,4.83,4.2,1,1.0,0.16,0,,35,0.12,0.0,6,33.3,
strategyxweekday=follow_3h_all|3,37,75.7,0.2055,5.57,7.6,5,0.59,0.23,33,0.228,4,0.02,0.0,4,50.0,
strategyxweekdayxhour_band=ny_flush_buy_4h|4|18-23,50,74.0,0.1837,3.12,9.2,8,0.64,0.24,20,0.097,30,0.242,0.0,17,52.9,
strategyxweekdayxregime=ny_flush_buy_4h|5|bull,34,73.5,0.1294,3.24,4.4,2,0.72,0.31,0,,34,0.129,0.0,9,55.6,
strategyxweekdayxregime=nony_momentum|0|bull,97,73.2,0.0804,4.14,7.8,1,1.0,0.12,0,,97,0.08,0.09,42,66.7,
strategyxregimexbreadth=nony_momentum|bear|>=4,52,73.1,0.0502,2.43,2.6,5,0.38,0.28,29,0.055,23,0.044,0.1,26,84.6,
strategyxweekday=ny_flush_buy_4h|5,55,72.7,0.0927,1.81,5.1,7,0.63,0.46,15,0.174,40,0.062,0.0,20,65.0,
strategyxregimexdecile_band=follow_3h_all|bear|D10,43,72.1,0.1414,2.84,6.1,7,0.79,0.15,41,0.136,2,0.245,0.0,4,100.0,
strategyxregimexdecile_band=nony_momentum|bear|D10,46,71.7,0.1114,4.36,5.1,10,0.8,0.12,38,0.121,8,0.067,0.24,8,87.5,
hour_bandxstrategy=12-17|follow_3h_all,145,71.7,0.1607,3.83,23.3,24,0.33,0.15,121,0.189,24,0.017,0.0,21,57.1,Y
strategyxregimexadx=nony_momentum|bear|20-30,102,71.6,0.0375,1.68,3.8,10,0.27,0.24,49,0.043,53,0.032,0.11,69,72.5,Y
symbolxv3=1000LUNCUSDT|N,58,70.7,0.0786,2.77,4.6,18,0.27,1.0,30,0.057,28,0.102,0.07,8,87.5,Y
strategyxweekday=asia_pump_short_4h|0,64,70.3,0.1164,2.07,7.5,8,0.48,0.29,26,0.276,38,0.007,0.0,25,60.0,
strategyxweekdayxhour_band=asia_pump_short_4h|3|0-5,63,69.8,0.056,1.36,3.5,8,0.72,0.5,28,0.137,35,-0.009,0.0,25,68.0,
strategyxregimexbreadth=ny_flush_buy_4h|bear|>=4,49,69.4,0.0977,1.73,4.8,5,1.05,0.17,15,0.095,34,0.099,0.0,9,44.4,
strategyxweekdayxregime=ny_flush_buy_4h|2|bull,80,68.8,0.2052,4.82,16.4,6,0.48,0.27,28,0.084,52,0.271,0.0,14,57.1,
mktbxstrategy=30-60|ny_flush_buy_4h,102,68.6,0.0752,2.08,7.7,4,0.55,0.21,0,,102,0.075,0.0,17,47.1,
strategyxweekdayxregime=follow_3h_all|1|neutral,51,68.6,0.187,3.3,9.5,5,0.57,0.18,48,0.178,3,0.333,0.0,4,100.0,
strategyxweekday=asia_pump_short_4h|3,73,68.5,0.0363,1.21,2.7,8,0.96,0.55,32,0.155,41,-0.056,0.0,27,66.7,
strategyxweekdayxregime=london_burst_fade|3|bear,66,68.2,0.1721,2.84,11.4,2,0.94,0.33,65,0.165,1,0.636,0.21,1,100.0,
atrpxstrategy=NA|asia_pump_short_4h,47,68.1,0.1886,4.37,8.9,6,0.47,0.46,10,0.499,37,0.105,0.0,44,65.9,
strategyxvolz=asia_pump_short_4h|NA,47,68.1,0.1886,4.37,8.9,6,0.47,0.46,10,0.499,37,0.105,0.0,44,65.9,
strategyxsymbol=burst_follow|BCHUSDT,31,67.7,0.0372,1.89,1.2,8,0.47,1.0,0,,31,0.037,0.03,2,0.0,
strategyxregimexdecile_band=burst_follow|NA|D10,34,67.6,0.1379,4.42,4.7,2,1.02,0.16,30,0.159,0,,0.5,0,,
strategyxsymbol=asia_pump_short_4h|SOLUSDT,55,67.3,0.054,1.33,3.0,43,0.45,1.0,24,0.151,31,-0.021,0.0,20,55.0,
strategyxsym_state=ny_flush_buy_4h|bear,64,67.2,0.0972,1.94,6.2,16,0.42,0.3,32,0.128,32,0.067,0.0,22,59.1,
strategyxregimexadx=ny_flush_buy_4h|bear|20-30,70,67.1,0.085,1.63,5.9,6,0.79,0.22,21,0.126,49,0.067,0.0,18,50.0,
strategyxvolz=follow_3h_all|>=5,133,66.9,0.0752,1.79,10.0,28,0.49,0.2,89,0.096,44,0.033,0.0,30,60.0,
strategyxsymbol=burst_follow|AAVEUSDT,51,66.7,0.0217,1.39,1.1,9,1.13,1.0,0,,51,0.022,0.04,11,54.5,
strategyxsymbol=burst_follow|LINKUSDT,30,66.7,0.0023,1.03,0.1,7,7.69,1.0,0,,30,0.002,0.03,2,100.0,
strategyxweekdayxregime=asia_pump_short_4h|3|bull,36,66.7,-0.009,0.96,-0.3,4,inf,inf,8,0.331,28,-0.106,0.0,12,66.7,
strategyxweekdayxhour_band=nony_momentum|1|6-11,89,66.3,0.0494,2.55,4.4,8,0.5,0.26,23,0.075,60,0.055,0.06,43,67.4,
strategyxweekdayxregime=nony_momentum|0|bear,83,66.3,0.0785,3.18,6.5,2,0.86,0.17,76,0.073,7,0.134,0.2,7,85.7,
strategyxweekdayxhour_band=nony_momentum|0|0-5,174,66.1,0.0511,2.83,8.9,7,0.53,0.21,88,0.015,86,0.088,0.07,41,70.7,
strategyxweekdayxhour_band=asia_pump_short_4h|0|0-5,50,66.0,0.1048,1.8,5.2,8,0.63,0.33,20,0.301,30,-0.026,0.0,19,52.6,
concxstrategy=NA|asia_pump_short_4h,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
fundxstrategy=NA|asia_pump_short_4h,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
mktbxstrategy=NA|asia_pump_short_4h,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
regimexstrategy=NA|asia_pump_short_4h,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
symbolxv3=PENDLEUSDT|N,44,65.9,0.0007,1.01,0.0,14,20.86,1.0,30,0.019,14,-0.038,0.05,5,40.0,
strategyxregimexadx=asia_pump_short_4h|NA|NA,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
strategyxsidexregime=asia_pump_short_4h|SHORT|NA,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
strategyxregimexbreadth=asia_pump_short_4h|NA|NA,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
strategyxregimextrig=asia_pump_short_4h|NA|burst_backfill,44,65.9,0.1823,4.05,8.0,5,0.52,0.51,7,0.593,37,0.105,0.0,44,65.9,
oidxsymbol=<-0.5|AAVEUSDT,41,65.9,0.0123,1.15,0.5,6,0.73,1.0,0,,41,0.012,0.02,4,100.0,
strategyxweekday=follow_3h_all|4,52,65.4,0.1182,2.68,6.1,6,0.68,0.35,32,0.157,20,0.056,0.0,14,50.0,
mktbxstrategy=30-60|nony_momentum,198,65.2,0.0604,3.45,12.0,4,0.65,0.13,0,,198,0.06,0.08,91,63.7,
strategyxsymbol=nony_momentum|BNBUSDT,66,65.2,0.0412,1.81,2.7,27,0.34,1.0,36,0.031,27,0.062,0.09,6,83.3,Y
regimexstrategy=bear|ny_flush_buy_4h,80,65.0,0.0684,1.49,5.5,7,0.62,0.22,27,0.128,53,0.038,0.0,21,47.6,
strategyxsidexregime=ny_flush_buy_4h|LONG|bear,80,65.0,0.0684,1.49,5.5,7,0.62,0.22,27,0.128,53,0.038,0.0,21,47.6,
strategyxregimextrig=ny_flush_buy_4h|bear|burst,80,65.0,0.0684,1.49,5.5,7,0.62,0.22,27,0.128,53,0.038,0.0,21,47.6,
strategyxsymbol=setup_follow|AVAXUSDT,37,64.9,0.0836,3.0,3.1,10,0.28,1.0,0,,37,0.084,0.22,18,66.7,
strategyxweekdayxhour_band=ny_flush_buy_4h|2|18-23,54,64.8,0.1544,2.52,8.3,8,0.75,0.24,28,0.171,26,0.137,0.0,15,33.3,
oidxsymbol=<-0.5|LINKUSDT,34,64.7,0.021,1.3,0.7,9,1.4,1.0,0,,34,0.021,0.06,12,58.3,
