segment_type,dims,n,WR_net%,WR_gross%,avg_win_R,avg_loss_R,E_net,PF_net,sumR_net,max_losing_streak,maxDD_R,days,top_day_share,wilson_lo%,wilson_hi%,breakeven_WR%,p_vs_be,confidence
strat,strat=asia_burst_fade,2627,45.0,45.0,0.33,0.307,-0.0205,0.88,-53.8,24,55.0,55,inf,43.1,46.9,48.2,1.00e+00,OK
strat,strat=asia_pump_short_4h,463,57.5,57.5,0.345,0.428,0.0161,1.09,7.5,14,33.3,52,0.93,52.9,61.9,55.4,1.96e-01,OK
strat,strat=burst_follow,8379,53.3,53.3,0.122,0.141,-0.0004,0.99,-3.2,40,59.0,57,inf,52.3,54.4,53.5,6.11e-01,OK
strat,strat=fade_3h_asia,120,34.2,34.2,0.265,0.343,-0.1355,0.4,-16.3,16,18.1,17,inf,26.3,43.0,56.4,1.00e+00,OK
strat,strat=fade_3h_late,99,45.5,45.5,0.374,0.261,0.028,1.2,2.8,11,5.0,20,1.71,36.0,55.2,41.0,2.14e-01,OK
strat,strat=fade_3h_london,103,47.6,47.6,0.51,0.274,0.0987,1.69,10.2,9,2.8,19,0.47,38.2,57.1,35.0,5.69e-03,OK
strat,strat=follow_3h_all,602,58.8,58.8,0.267,0.268,0.047,1.43,28.3,16,11.0,37,0.27,54.8,62.7,50.0,9.15e-06,OK
strat,strat=late_fade,797,47.8,47.8,0.128,0.097,0.0107,1.21,8.5,22,8.2,53,1.04,44.4,51.3,43.0,3.81e-03,OK
strat,strat=london_burst_fade,2137,46.7,46.7,0.37,0.331,-0.0037,0.98,-7.9,23,39.2,54,inf,44.5,48.8,47.2,6.95e-01,OK
strat,strat=nony_momentum,1992,54.8,54.8,0.124,0.139,0.0049,1.08,9.8,30,17.9,57,0.79,52.6,56.9,52.9,4.92e-02,OK
strat,strat=ny_burst_fade,64,53.1,53.1,0.254,0.26,0.0131,1.11,0.8,6,2.4,2,2.72,41.1,64.8,50.6,3.89e-01,OK
strat,strat=ny_burst_follow,63,41.3,41.3,0.099,0.085,-0.0088,0.82,-0.6,6,1.6,2,inf,30.0,53.6,46.1,8.13e-01,OK
strat,strat=ny_flush_buy_4h,804,53.6,53.6,0.288,0.323,0.0045,1.03,3.6,30,26.6,51,2.15,50.2,57.0,52.9,3.50e-01,OK
strat,strat=setup_fade,5280,49.3,49.3,0.361,0.353,-0.001,0.99,-5.5,16,49.8,63,inf,47.9,50.6,49.4,5.89e-01,OK
strat,strat=setup_follow,5258,49.5,49.5,0.143,0.142,-0.0011,0.98,-6.0,14,28.4,63,inf,48.2,50.9,49.9,7.24e-01,OK
strat,strat=v65_strict_long,59,44.1,44.1,0.419,0.286,0.0248,1.16,1.5,9,3.4,15,1.57,32.2,56.7,40.5,3.36e-01,OK
strat,strat=v65_strict_ny_long,59,44.1,44.1,0.419,0.286,0.0248,1.16,1.5,9,3.4,15,1.57,32.2,56.7,40.5,3.36e-01,OK
session,session=asia,10400,50.3,50.3,0.226,0.235,-0.0032,0.97,-33.4,14,45.8,62,inf,49.4,51.3,51.0,9.24e-01,OK
session,session=late,2807,49.3,49.3,0.168,0.182,-0.0094,0.9,-26.4,23,38.4,61,inf,47.4,51.1,52.0,9.98e-01,OK
session,session=london,8019,50.6,50.6,0.245,0.237,0.0069,1.06,55.1,14,26.4,62,0.22,49.5,51.7,49.2,5.62e-03,OK
session,session=ny,7680,51.4,51.4,0.2,0.215,-0.0018,0.98,-14.0,37,51.9,61,inf,50.2,52.5,51.8,7.83e-01,OK
sym,sym=1000LUNCUSDT,405,52.3,52.3,0.247,0.257,0.0066,1.05,2.7,3,3.4,60,0.6,47.5,57.2,51.0,3.17e-01,OK
sym,sym=1000PEPEUSDT,1413,50.5,50.5,0.224,0.228,0.0004,1.0,0.5,5,8.8,62,5.2,47.9,53.1,50.5,4.87e-01,OK
sym,sym=AAVEUSDT,158,57.0,57.0,0.218,0.248,0.0174,1.16,2.8,4,2.1,10,0.61,49.2,64.4,53.2,1.94e-01,OK
sym,sym=ADAUSDT,1152,49.8,49.8,0.207,0.211,-0.0025,0.98,-2.9,5,8.9,63,inf,46.9,52.7,50.4,6.69e-01,OK
sym,sym=APTUSDT,597,51.1,51.1,0.252,0.223,0.0195,1.18,11.6,4,6.1,61,0.16,47.1,55.1,47.0,2.47e-02,OK
sym,sym=ARBUSDT,622,49.7,49.7,0.248,0.237,0.0037,1.03,2.3,6,4.7,60,0.86,45.8,53.6,48.9,3.66e-01,OK
sym,sym=AVAXUSDT,123,52.0,52.0,0.197,0.308,-0.0452,0.69,-5.6,3,6.5,10,inf,43.3,60.7,61.0,9.83e-01,OK
sym,sym=BCHUSDT,121,56.2,56.2,0.174,0.248,-0.0108,0.9,-1.3,4,3.8,10,inf,47.3,64.7,58.8,7.48e-01,OK
sym,sym=BNBUSDT,908,52.3,52.3,0.22,0.266,-0.0116,0.91,-10.5,6,12.8,59,inf,49.1,55.5,54.7,9.30e-01,OK
sym,sym=BTCUSDT,17,70.6,70.6,0.447,0.223,0.2503,4.82,4.3,2,0.5,5,0.52,46.9,86.7,33.3,1.84e-03,LOW-N
sym,sym=CHZUSDT,503,48.5,48.5,0.248,0.228,0.003,1.03,1.5,5,3.3,58,0.76,44.2,52.9,47.9,4.05e-01,OK
sym,sym=DASHUSDT,538,47.8,47.8,0.23,0.224,-0.0071,0.94,-3.8,5,5.7,58,inf,43.6,52.0,49.3,7.79e-01,OK
sym,sym=DOGEUSDT,250,50.4,50.4,0.205,0.202,0.0033,1.03,0.8,4,3.7,10,2.27,44.2,56.5,49.6,4.24e-01,OK
sym,sym=DOTUSDT,645,49.0,49.0,0.242,0.253,-0.0102,0.92,-6.6,7,9.9,58,inf,45.2,52.8,51.1,8.62e-01,OK
sym,sym=ENAUSDT,1243,50.4,50.4,0.219,0.204,0.009,1.09,11.2,6,5.1,61,0.29,47.6,53.1,48.2,7.07e-02,OK
